'Time and date','I','aVF','ABP','PAP','CVP','PLETH','CO2','RESP'
'[23:17:37.118 12/03/1996]',-0.041,-0.251,88.300,22.375,8.325,0.299,29.300,-0.495
'[23:17:37.120 12/03/1996]',-0.041,-0.251,87.700,21.800,8.387,0.348,29.483,-0.496
'[23:17:37.122 12/03/1996]',-0.041,-0.251,87.700,21.800,8.387,0.348,29.483,-0.496
'[23:17:37.124 12/03/1996]',-0.042,-0.251,87.700,21.800,8.387,0.348,29.483,-0.496
'[23:17:37.126 12/03/1996]',-0.043,-0.250,87.700,21.800,8.387,0.348,29.483,-0.496
'[23:17:37.128 12/03/1996]',-0.044,-0.250,87.000,21.800,8.387,0.390,29.683,-0.497
'[23:17:37.130 12/03/1996]',-0.045,-0.250,87.000,21.800,8.387,0.390,29.683,-0.497
'[23:17:37.132 12/03/1996]',-0.046,-0.251,87.000,21.800,8.387,0.390,29.683,-0.497
'[23:17:37.134 12/03/1996]',-0.048,-0.252,87.000,21.800,8.387,0.390,29.683,-0.497
'[23:17:37.136 12/03/1996]',-0.048,-0.253,86.350,21.975,8.387,0.426,29.883,-0.498
'[23:17:37.138 12/03/1996]',-0.048,-0.254,86.350,21.975,8.387,0.426,29.883,-0.498
'[23:17:37.140 12/03/1996]',-0.048,-0.255,86.350,21.975,8.387,0.426,29.883,-0.498
'[23:17:37.142 12/03/1996]',-0.048,-0.256,86.350,21.975,8.387,0.426,29.883,-0.498
'[23:17:37.144 12/03/1996]',-0.049,-0.257,85.750,22.150,8.325,0.454,30.083,-0.499
'[23:17:37.146 12/03/1996]',-0.049,-0.257,85.750,22.150,8.325,0.454,30.083,-0.499
'[23:17:37.148 12/03/1996]',-0.050,-0.257,85.750,22.150,8.325,0.454,30.083,-0.499
'[23:17:37.150 12/03/1996]',-0.051,-0.256,85.750,22.150,8.325,0.454,30.083,-0.499
'[23:17:37.152 12/03/1996]',-0.052,-0.257,85.200,22.150,8.200,0.477,30.283,-0.500
'[23:17:37.154 12/03/1996]',-0.053,-0.257,85.200,22.150,8.200,0.477,30.283,-0.500
'[23:17:37.156 12/03/1996]',-0.054,-0.258,85.200,22.150,8.200,0.477,30.283,-0.500
'[23:17:37.158 12/03/1996]',-0.055,-0.259,85.200,22.150,8.200,0.477,30.283,-0.500
'[23:17:37.160 12/03/1996]',-0.055,-0.260,84.400,22.025,8.150,0.491,30.250,-0.500
'[23:17:37.162 12/03/1996]',-0.055,-0.260,84.400,22.025,8.150,0.491,30.250,-0.500
'[23:17:37.164 12/03/1996]',-0.054,-0.259,84.400,22.025,8.150,0.491,30.250,-0.500
'[23:17:37.166 12/03/1996]',-0.054,-0.258,84.400,22.025,8.150,0.491,30.250,-0.500
'[23:17:37.168 12/03/1996]',-0.052,-0.256,83.500,21.675,8.025,0.498,30.250,-0.501
'[23:17:37.170 12/03/1996]',-0.051,-0.253,83.500,21.675,8.025,0.498,30.250,-0.501
'[23:17:37.172 12/03/1996]',-0.049,-0.249,83.500,21.675,8.025,0.498,30.250,-0.501
'[23:17:37.174 12/03/1996]',-0.046,-0.246,83.500,21.675,8.025,0.498,30.250,-0.501
'[23:17:37.176 12/03/1996]',-0.043,-0.241,82.550,21.200,7.975,0.499,30.250,-0.501
'[23:17:37.178 12/03/1996]',-0.040,-0.236,82.550,21.200,7.975,0.499,30.250,-0.501
'[23:17:37.180 12/03/1996]',-0.038,-0.231,82.550,21.200,7.975,0.499,30.250,-0.501
'[23:17:37.182 12/03/1996]',-0.036,-0.226,82.550,21.200,7.975,0.499,30.250,-0.501
'[23:17:37.184 12/03/1996]',-0.034,-0.222,81.700,20.675,7.850,0.491,30.250,-0.502
'[23:17:37.186 12/03/1996]',-0.032,-0.217,81.700,20.675,7.850,0.491,30.250,-0.502
'[23:17:37.188 12/03/1996]',-0.030,-0.214,81.700,20.675,7.850,0.491,30.250,-0.502
'[23:17:37.190 12/03/1996]',-0.028,-0.212,81.700,20.675,7.850,0.491,30.250,-0.502
'[23:17:37.192 12/03/1996]',-0.025,-0.211,81.000,20.275,7.737,0.480,30.183,-0.502
'[23:17:37.194 12/03/1996]',-0.022,-0.211,81.000,20.275,7.737,0.480,30.183,-0.502
'[23:17:37.196 12/03/1996]',-0.019,-0.213,81.000,20.275,7.737,0.480,30.183,-0.502
'[23:17:37.198 12/03/1996]',-0.016,-0.215,81.000,20.275,7.737,0.480,30.183,-0.502
'[23:17:37.200 12/03/1996]',-0.013,-0.217,80.300,19.925,7.562,0.461,30.133,-0.503
'[23:17:37.202 12/03/1996]',-0.010,-0.220,80.300,19.925,7.562,0.461,30.133,-0.503
'[23:17:37.204 12/03/1996]',-0.006,-0.220,80.300,19.925,7.562,0.461,30.133,-0.503
'[23:17:37.206 12/03/1996]',-0.002,-0.219,80.300,19.925,7.562,0.461,30.133,-0.503
'[23:17:37.208 12/03/1996]',0.001,-0.215,79.600,19.500,7.388,0.435,30.083,-0.503
'[23:17:37.210 12/03/1996]',0.004,-0.211,79.600,19.500,7.388,0.435,30.083,-0.503
'[23:17:37.212 12/03/1996]',0.006,-0.207,79.600,19.500,7.388,0.435,30.083,-0.503
'[23:17:37.214 12/03/1996]',0.008,-0.204,79.600,19.500,7.388,0.435,30.083,-0.503
'[23:17:37.216 12/03/1996]',0.010,-0.203,78.950,19.100,7.213,0.409,30.033,-0.504
'[23:17:37.218 12/03/1996]',0.012,-0.202,78.950,19.100,7.213,0.409,30.033,-0.504
'[23:17:37.220 12/03/1996]',0.013,-0.204,78.950,19.100,7.213,0.409,30.033,-0.504
'[23:17:37.222 12/03/1996]',0.014,-0.206,78.950,19.100,7.213,0.409,30.033,-0.504
'[23:17:37.224 12/03/1996]',0.015,-0.210,78.400,18.700,7.037,0.380,29.967,-0.504
'[23:17:37.226 12/03/1996]',0.015,-0.215,78.400,18.700,7.037,0.380,29.967,-0.504
'[23:17:37.228 12/03/1996]',0.015,-0.220,78.400,18.700,7.037,0.380,29.967,-0.504
'[23:17:37.230 12/03/1996]',0.014,-0.224,78.400,18.700,7.037,0.380,29.967,-0.504
'[23:17:37.232 12/03/1996]',0.013,-0.227,77.800,18.225,6.862,0.348,29.900,-0.505
'[23:17:37.234 12/03/1996]',0.013,-0.230,77.800,18.225,6.862,0.348,29.900,-0.505
'[23:17:37.236 12/03/1996]',0.011,-0.232,77.800,18.225,6.862,0.348,29.900,-0.505
'[23:17:37.238 12/03/1996]',0.009,-0.234,77.800,18.225,6.862,0.348,29.900,-0.505
'[23:17:37.240 12/03/1996]',0.004,-0.237,77.200,17.875,6.625,0.314,29.833,-0.506
'[23:17:37.242 12/03/1996]',0.000,-0.241,77.200,17.875,6.625,0.314,29.833,-0.506
'[23:17:37.244 12/03/1996]',-0.007,-0.245,77.200,17.875,6.625,0.314,29.833,-0.506
'[23:17:37.246 12/03/1996]',-0.014,-0.250,77.200,17.875,6.625,0.314,29.833,-0.506
'[23:17:37.248 12/03/1996]',-0.021,-0.255,76.700,17.625,6.450,0.279,29.767,-0.507
'[23:17:37.250 12/03/1996]',-0.028,-0.260,76.700,17.625,6.450,0.279,29.767,-0.507
'[23:17:37.252 12/03/1996]',-0.033,-0.267,76.700,17.625,6.450,0.279,29.767,-0.507
'[23:17:37.254 12/03/1996]',-0.038,-0.273,76.700,17.625,6.450,0.279,29.767,-0.507
'[23:17:37.256 12/03/1996]',-0.041,-0.280,76.200,17.575,6.150,0.246,29.583,-0.509
'[23:17:37.258 12/03/1996]',-0.043,-0.286,76.200,17.575,6.150,0.246,29.583,-0.509
'[23:17:37.260 12/03/1996]',-0.045,-0.291,76.200,17.575,6.150,0.246,29.583,-0.509
'[23:17:37.262 12/03/1996]',-0.047,-0.296,76.200,17.575,6.150,0.246,29.583,-0.509
'[23:17:37.264 12/03/1996]',-0.049,-0.299,75.750,17.625,5.925,0.211,29.400,-0.511
'[23:17:37.266 12/03/1996]',-0.051,-0.302,75.750,17.625,5.925,0.211,29.400,-0.511
'[23:17:37.268 12/03/1996]',-0.053,-0.303,75.750,17.625,5.925,0.211,29.400,-0.511
'[23:17:37.270 12/03/1996]',-0.055,-0.304,75.750,17.625,5.925,0.211,29.400,-0.511
'[23:17:37.272 12/03/1996]',-0.058,-0.304,75.350,17.750,5.688,0.176,29.217,-0.513
'[23:17:37.274 12/03/1996]',-0.060,-0.304,75.350,17.750,5.688,0.176,29.217,-0.513
'[23:17:37.276 12/03/1996]',-0.061,-0.304,75.350,17.750,5.688,0.176,29.217,-0.513
'[23:17:37.278 12/03/1996]',-0.063,-0.304,75.350,17.750,5.688,0.176,29.217,-0.513
'[23:17:37.280 12/03/1996]',-0.063,-0.303,75.050,17.875,5.513,0.142,29.033,-0.515
'[23:17:37.282 12/03/1996]',-0.063,-0.303,75.050,17.875,5.513,0.142,29.033,-0.515
'[23:17:37.284 12/03/1996]',-0.062,-0.301,75.050,17.875,5.513,0.142,29.033,-0.515
'[23:17:37.286 12/03/1996]',-0.062,-0.300,75.050,17.875,5.513,0.142,29.033,-0.515
'[23:17:37.288 12/03/1996]',-0.060,-0.299,74.750,17.875,5.388,0.108,28.917,-0.516
'[23:17:37.290 12/03/1996]',-0.059,-0.299,74.750,17.875,5.388,0.108,28.917,-0.516
'[23:17:37.292 12/03/1996]',-0.057,-0.298,74.750,17.875,5.388,0.108,28.917,-0.516
'[23:17:37.294 12/03/1996]',-0.055,-0.297,74.750,17.875,5.388,0.108,28.917,-0.516
'[23:17:37.296 12/03/1996]',-0.055,-0.296,74.500,17.800,5.275,0.076,28.817,-0.517
'[23:17:37.298 12/03/1996]',-0.055,-0.296,74.500,17.800,5.275,0.076,28.817,-0.517
'[23:17:37.300 12/03/1996]',-0.056,-0.296,74.500,17.800,5.275,0.076,28.817,-0.517
'[23:17:37.302 12/03/1996]',-0.056,-0.296,74.500,17.800,5.275,0.076,28.817,-0.517
'[23:17:37.304 12/03/1996]',-0.058,-0.296,74.200,17.700,5.213,0.043,28.717,-0.518
'[23:17:37.306 12/03/1996]',-0.059,-0.296,74.200,17.700,5.213,0.043,28.717,-0.518
'[23:17:37.308 12/03/1996]',-0.059,-0.296,74.200,17.700,5.213,0.043,28.717,-0.518
'[23:17:37.310 12/03/1996]',-0.059,-0.297,74.200,17.700,5.213,0.043,28.717,-0.518
'[23:17:37.312 12/03/1996]',-0.059,-0.298,74.000,17.625,5.213,0.012,28.617,-0.518
'[23:17:37.314 12/03/1996]',-0.060,-0.299,74.000,17.625,5.213,0.012,28.617,-0.518
'[23:17:37.316 12/03/1996]',-0.061,-0.299,74.000,17.625,5.213,0.012,28.617,-0.518
'[23:17:37.318 12/03/1996]',-0.062,-0.299,74.000,17.625,5.213,0.012,28.617,-0.518
'[23:17:37.320 12/03/1996]',-0.063,-0.298,73.800,17.525,5.275,-0.021,28.433,-0.519
'[23:17:37.322 12/03/1996]',-0.064,-0.297,73.800,17.525,5.275,-0.021,28.433,-0.519
'[23:17:37.324 12/03/1996]',-0.065,-0.296,73.800,17.525,5.275,-0.021,28.433,-0.519
'[23:17:37.326 12/03/1996]',-0.065,-0.296,73.800,17.525,5.275,-0.021,28.433,-0.519
'[23:17:37.328 12/03/1996]',-0.065,-0.295,73.700,17.275,5.388,-0.052,28.300,-0.521
'[23:17:37.330 12/03/1996]',-0.064,-0.295,73.700,17.275,5.388,-0.052,28.300,-0.521
'[23:17:37.332 12/03/1996]',-0.064,-0.294,73.700,17.275,5.388,-0.052,28.300,-0.521
'[23:17:37.334 12/03/1996]',-0.064,-0.293,73.700,17.275,5.388,-0.052,28.300,-0.521
'[23:17:37.336 12/03/1996]',-0.064,-0.293,73.600,16.875,5.625,-0.080,28.167,-0.522
'[23:17:37.338 12/03/1996]',-0.064,-0.293,73.600,16.875,5.625,-0.080,28.167,-0.522
'[23:17:37.340 12/03/1996]',-0.064,-0.293,73.600,16.875,5.625,-0.080,28.167,-0.522
'[23:17:37.342 12/03/1996]',-0.064,-0.293,73.600,16.875,5.625,-0.080,28.167,-0.522
'[23:17:37.344 12/03/1996]',-0.064,-0.293,73.450,16.175,5.925,-0.108,28.033,-0.524
'[23:17:37.346 12/03/1996]',-0.063,-0.293,73.450,16.175,5.925,-0.108,28.033,-0.524
'[23:17:37.348 12/03/1996]',-0.063,-0.293,73.450,16.175,5.925,-0.108,28.033,-0.524
'[23:17:37.350 12/03/1996]',-0.063,-0.293,73.450,16.175,5.925,-0.108,28.033,-0.524
'[23:17:37.352 12/03/1996]',-0.065,-0.293,73.300,15.350,6.213,-0.136,27.950,-0.525
'[23:17:37.354 12/03/1996]',-0.066,-0.293,73.300,15.350,6.213,-0.136,27.950,-0.525
'[23:17:37.356 12/03/1996]',-0.067,-0.293,73.300,15.350,6.213,-0.136,27.950,-0.525
'[23:17:37.358 12/03/1996]',-0.067,-0.293,73.300,15.350,6.213,-0.136,27.950,-0.525
'[23:17:37.360 12/03/1996]',-0.066,-0.293,73.050,14.350,6.562,-0.163,27.883,-0.527
'[23:17:37.362 12/03/1996]',-0.065,-0.294,73.050,14.350,6.562,-0.163,27.883,-0.527
'[23:17:37.364 12/03/1996]',-0.063,-0.295,73.050,14.350,6.562,-0.163,27.883,-0.527
'[23:17:37.366 12/03/1996]',-0.061,-0.296,73.050,14.350,6.562,-0.163,27.883,-0.527
'[23:17:37.368 12/03/1996]',-0.055,-0.294,72.950,13.175,6.800,-0.187,27.817,-0.528
'[23:17:37.370 12/03/1996]',-0.049,-0.293,72.950,13.175,6.800,-0.187,27.817,-0.528
'[23:17:37.372 12/03/1996]',-0.034,-0.284,72.950,13.175,6.800,-0.187,27.817,-0.528
'[23:17:37.374 12/03/1996]',-0.019,-0.275,72.950,13.175,6.800,-0.187,27.817,-0.528
'[23:17:37.376 12/03/1996]',0.009,-0.258,72.850,12.075,6.975,-0.210,27.750,-0.530
'[23:17:37.378 12/03/1996]',0.038,-0.240,72.850,12.075,6.975,-0.210,27.750,-0.530
'[23:17:37.380 12/03/1996]',0.082,-0.216,72.850,12.075,6.975,-0.210,27.750,-0.530
'[23:17:37.382 12/03/1996]',0.125,-0.192,72.850,12.075,6.975,-0.210,27.750,-0.530
'[23:17:37.384 12/03/1996]',0.180,-0.165,72.950,11.125,7.037,-0.231,27.650,-0.531
'[23:17:37.386 12/03/1996]',0.236,-0.138,72.950,11.125,7.037,-0.231,27.650,-0.531
'[23:17:37.388 12/03/1996]',0.296,-0.113,72.950,11.125,7.037,-0.231,27.650,-0.531
'[23:17:37.390 12/03/1996]',0.356,-0.087,72.950,11.125,7.037,-0.231,27.650,-0.531
'[23:17:37.392 12/03/1996]',0.413,-0.068,72.950,10.550,7.037,-0.251,27.583,-0.531
'[23:17:37.394 12/03/1996]',0.470,-0.048,72.950,10.550,7.037,-0.251,27.583,-0.531
'[23:17:37.396 12/03/1996]',0.516,-0.037,72.950,10.550,7.037,-0.251,27.583,-0.531
'[23:17:37.398 12/03/1996]',0.562,-0.027,72.950,10.550,7.037,-0.251,27.583,-0.531
'[23:17:37.400 12/03/1996]',0.590,-0.024,72.800,10.375,7.037,-0.268,27.517,-0.531
'[23:17:37.402 12/03/1996]',0.617,-0.020,72.800,10.375,7.037,-0.268,27.517,-0.531
'[23:17:37.404 12/03/1996]',0.623,-0.021,72.800,10.375,7.037,-0.268,27.517,-0.531
'[23:17:37.406 12/03/1996]',0.629,-0.021,72.800,10.375,7.037,-0.268,27.517,-0.531
'[23:17:37.408 12/03/1996]',0.612,-0.018,72.650,10.550,7.037,-0.284,27.450,-0.531
'[23:17:37.410 12/03/1996]',0.595,-0.015,72.650,10.550,7.037,-0.284,27.450,-0.531
'[23:17:37.412 12/03/1996]',0.558,-0.008,72.650,10.550,7.037,-0.284,27.450,-0.531
'[23:17:37.414 12/03/1996]',0.521,-0.001,72.650,10.550,7.037,-0.284,27.450,-0.531
'[23:17:37.416 12/03/1996]',0.471,0.007,72.450,11.075,6.975,-0.299,27.450,-0.531
'[23:17:37.418 12/03/1996]',0.421,0.016,72.450,11.075,6.975,-0.299,27.450,-0.531
'[23:17:37.420 12/03/1996]',0.367,0.022,72.450,11.075,6.975,-0.299,27.450,-0.531
'[23:17:37.422 12/03/1996]',0.313,0.028,72.450,11.075,6.975,-0.299,27.450,-0.531
'[23:17:37.424 12/03/1996]',0.265,0.030,72.400,11.900,6.800,-0.313,27.483,-0.531
'[23:17:37.426 12/03/1996]',0.217,0.033,72.400,11.900,6.800,-0.313,27.483,-0.531
'[23:17:37.428 12/03/1996]',0.181,0.034,72.400,11.900,6.800,-0.313,27.483,-0.531
'[23:17:37.430 12/03/1996]',0.145,0.034,72.400,11.900,6.800,-0.313,27.483,-0.531
'[23:17:37.432 12/03/1996]',0.120,0.033,72.350,12.875,6.625,-0.326,27.517,-0.531
'[23:17:37.434 12/03/1996]',0.096,0.032,72.350,12.875,6.625,-0.326,27.517,-0.531
'[23:17:37.436 12/03/1996]',0.080,0.030,72.350,12.875,6.625,-0.326,27.517,-0.531
'[23:17:37.438 12/03/1996]',0.063,0.028,72.350,12.875,6.625,-0.326,27.517,-0.531
'[23:17:37.440 12/03/1996]',0.052,0.021,72.150,14.125,6.388,-0.339,27.550,-0.531
'[23:17:37.442 12/03/1996]',0.042,0.013,72.150,14.125,6.388,-0.339,27.550,-0.531
'[23:17:37.444 12/03/1996]',0.034,-0.004,72.150,14.125,6.388,-0.339,27.550,-0.531
'[23:17:37.446 12/03/1996]',0.026,-0.021,72.150,14.125,6.388,-0.339,27.550,-0.531
'[23:17:37.448 12/03/1996]',0.018,-0.046,72.050,15.350,6.100,-0.350,27.533,-0.531
'[23:17:37.450 12/03/1996]',0.009,-0.072,72.050,15.350,6.100,-0.350,27.533,-0.531
'[23:17:37.452 12/03/1996]',-0.002,-0.105,72.050,15.350,6.100,-0.350,27.533,-0.531
'[23:17:37.454 12/03/1996]',-0.012,-0.138,72.050,15.350,6.100,-0.350,27.533,-0.531
'[23:17:37.456 12/03/1996]',-0.025,-0.176,72.000,16.450,5.862,-0.360,27.567,-0.531
'[23:17:37.458 12/03/1996]',-0.037,-0.214,72.000,16.450,5.862,-0.360,27.567,-0.531
'[23:17:37.460 12/03/1996]',-0.051,-0.254,72.000,16.450,5.862,-0.360,27.567,-0.531
'[23:17:37.462 12/03/1996]',-0.064,-0.294,72.000,16.450,5.862,-0.360,27.567,-0.531
'[23:17:37.464 12/03/1996]',-0.076,-0.329,72.050,17.350,5.688,-0.372,27.600,-0.531
'[23:17:37.466 12/03/1996]',-0.089,-0.363,72.050,17.350,5.688,-0.372,27.600,-0.531
'[23:17:37.468 12/03/1996]',-0.098,-0.387,72.050,17.350,5.688,-0.372,27.600,-0.531
'[23:17:37.470 12/03/1996]',-0.107,-0.411,72.050,17.350,5.688,-0.372,27.600,-0.531
'[23:17:37.472 12/03/1996]',-0.114,-0.423,72.100,17.750,5.513,-0.384,27.633,-0.531
'[23:17:37.474 12/03/1996]',-0.120,-0.435,72.100,17.750,5.513,-0.384,27.633,-0.531
'[23:17:37.476 12/03/1996]',-0.124,-0.437,72.100,17.750,5.513,-0.384,27.633,-0.531
'[23:17:37.478 12/03/1996]',-0.129,-0.439,72.100,17.750,5.513,-0.384,27.633,-0.531
'[23:17:37.480 12/03/1996]',-0.132,-0.433,72.100,17.625,5.338,-0.393,27.567,-0.531
'[23:17:37.482 12/03/1996]',-0.134,-0.428,72.100,17.625,5.338,-0.393,27.567,-0.531
'[23:17:37.484 12/03/1996]',-0.137,-0.417,72.100,17.625,5.338,-0.393,27.567,-0.531
'[23:17:37.486 12/03/1996]',-0.139,-0.406,72.100,17.625,5.338,-0.393,27.567,-0.531
'[23:17:37.488 12/03/1996]',-0.141,-0.393,72.050,16.925,5.213,-0.405,27.550,-0.532
'[23:17:37.490 12/03/1996]',-0.144,-0.380,72.050,16.925,5.213,-0.405,27.550,-0.532
'[23:17:37.492 12/03/1996]',-0.145,-0.368,72.050,16.925,5.213,-0.405,27.550,-0.532
'[23:17:37.494 12/03/1996]',-0.147,-0.356,72.050,16.925,5.213,-0.405,27.550,-0.532
'[23:17:37.496 12/03/1996]',-0.147,-0.344,72.000,16.000,5.100,-0.414,27.533,-0.533
'[23:17:37.498 12/03/1996]',-0.147,-0.332,72.000,16.000,5.100,-0.414,27.533,-0.533
'[23:17:37.500 12/03/1996]',-0.147,-0.321,72.000,16.000,5.100,-0.414,27.533,-0.533
'[23:17:37.502 12/03/1996]',-0.148,-0.309,72.000,16.000,5.100,-0.414,27.533,-0.533
'[23:17:37.504 12/03/1996]',-0.149,-0.299,72.000,15.125,5.037,-0.426,27.517,-0.535
'[23:17:37.506 12/03/1996]',-0.150,-0.290,72.000,15.125,5.037,-0.426,27.517,-0.535
'[23:17:37.508 12/03/1996]',-0.150,-0.282,72.000,15.125,5.037,-0.426,27.517,-0.535
'[23:17:37.510 12/03/1996]',-0.150,-0.274,72.000,15.125,5.037,-0.426,27.517,-0.535
'[23:17:37.512 12/03/1996]',-0.150,-0.268,72.050,14.825,4.987,-0.434,27.450,-0.536
'[23:17:37.514 12/03/1996]',-0.150,-0.262,72.050,14.825,4.987,-0.434,27.450,-0.536
'[23:17:37.516 12/03/1996]',-0.150,-0.258,72.050,14.825,4.987,-0.434,27.450,-0.536
'[23:17:37.518 12/03/1996]',-0.150,-0.254,72.050,14.825,4.987,-0.434,27.450,-0.536
