'Time and date','I','aVL','ABP','PAP','CVP','PLETH','CO2'
'[16:39:45.066 01/04/1996]',0.005,0.011,94.650,39.658,30.663,0.082,35.867
'[16:39:45.068 01/04/1996]',0.004,0.001,94.650,39.658,30.663,0.082,35.867
'[16:39:45.070 01/04/1996]',0.003,0.001,94.650,39.658,30.663,0.082,35.867
'[16:39:45.072 01/04/1996]',0.001,0.001,92.050,41.985,31.012,0.076,35.983
'[16:39:45.074 01/04/1996]',-0.001,-0.009,92.050,41.985,31.012,0.076,35.983
'[16:39:45.076 01/04/1996]',-0.003,-0.009,92.050,41.985,31.012,0.076,35.983
'[16:39:45.078 01/04/1996]',-0.004,-0.019,92.050,41.985,31.012,0.076,35.983
'[16:39:45.080 01/04/1996]',-0.005,-0.019,90.450,45.813,31.300,0.073,36.100
'[16:39:45.082 01/04/1996]',-0.007,-0.019,90.450,45.813,31.300,0.073,36.100
'[16:39:45.084 01/04/1996]',-0.008,-0.019,90.450,45.813,31.300,0.073,36.100
'[16:39:45.086 01/04/1996]',-0.008,-0.019,90.450,45.813,31.300,0.073,36.100
'[16:39:45.088 01/04/1996]',-0.009,-0.019,90.000,49.566,31.600,0.070,36.217
'[16:39:45.090 01/04/1996]',-0.009,-0.019,90.000,49.566,31.600,0.070,36.217
'[16:39:45.092 01/04/1996]',-0.008,-0.019,90.000,49.566,31.600,0.070,36.217
'[16:39:45.094 01/04/1996]',-0.006,-0.019,90.000,49.566,31.600,0.070,36.217
'[16:39:45.096 01/04/1996]',-0.003,-0.019,90.550,51.443,31.837,0.065,36.517
'[16:39:45.098 01/04/1996]',0.001,-0.019,90.550,51.443,31.837,0.065,36.517
'[16:39:45.100 01/04/1996]',0.005,-0.019,90.550,51.443,31.837,0.065,36.517
'[16:39:45.102 01/04/1996]',0.009,-0.019,90.550,51.443,31.837,0.065,36.517
'[16:39:45.104 01/04/1996]',0.013,-0.009,92.050,50.917,32.062,0.056,36.833
'[16:39:45.106 01/04/1996]',0.016,-0.009,92.050,50.917,32.062,0.056,36.833
'[16:39:45.108 01/04/1996]',0.018,0.001,92.050,50.917,32.062,0.056,36.833
'[16:39:45.110 01/04/1996]',0.021,0.001,92.050,50.917,32.062,0.056,36.833
'[16:39:45.112 01/04/1996]',0.021,0.001,94.450,48.490,32.300,0.052,37.150
'[16:39:45.114 01/04/1996]',0.020,0.001,94.450,48.490,32.300,0.052,37.150
'[16:39:45.116 01/04/1996]',0.019,0.001,94.450,48.490,32.300,0.052,37.150
'[16:39:45.118 01/04/1996]',0.017,-0.009,94.450,48.490,32.300,0.052,37.150
'[16:39:45.120 01/04/1996]',0.016,0.001,97.400,45.113,32.587,0.044,37.467
'[16:39:45.122 01/04/1996]',0.015,-0.009,97.400,45.113,32.587,0.044,37.467
'[16:39:45.124 01/04/1996]',0.014,-0.009,97.400,45.113,32.587,0.044,37.467
'[16:39:45.126 01/04/1996]',0.012,-0.019,97.400,45.113,32.587,0.044,37.467
'[16:39:45.128 01/04/1996]',0.011,-0.019,100.700,41.885,32.825,0.038,37.533
'[16:39:45.130 01/04/1996]',0.010,-0.019,100.700,41.885,32.825,0.038,37.533
'[16:39:45.132 01/04/1996]',0.008,-0.009,100.700,41.885,32.825,0.038,37.533
'[16:39:45.134 01/04/1996]',0.006,0.001,100.700,41.885,32.825,0.038,37.533
'[16:39:45.136 01/04/1996]',0.003,0.001,103.850,39.358,33.000,0.029,37.617
'[16:39:45.138 01/04/1996]',-0.001,-0.009,103.850,39.358,33.000,0.029,37.617
'[16:39:45.140 01/04/1996]',-0.005,-0.019,103.850,39.358,33.000,0.029,37.617
'[16:39:45.142 01/04/1996]',-0.009,-0.019,103.850,39.358,33.000,0.029,37.617
'[16:39:45.144 01/04/1996]',-0.013,-0.019,106.650,37.356,33.175,0.024,37.700
'[16:39:45.146 01/04/1996]',-0.017,-0.019,106.650,37.356,33.175,0.024,37.700
'[16:39:45.148 01/04/1996]',-0.021,-0.029,106.650,37.356,33.175,0.024,37.700
'[16:39:45.150 01/04/1996]',-0.024,-0.029,106.650,37.356,33.175,0.024,37.700
'[16:39:45.152 01/04/1996]',-0.027,-0.029,108.900,35.354,33.350,0.018,37.783
'[16:39:45.154 01/04/1996]',-0.030,-0.029,108.900,35.354,33.350,0.018,37.783
'[16:39:45.156 01/04/1996]',-0.032,-0.019,108.900,35.354,33.350,0.018,37.783
'[16:39:45.158 01/04/1996]',-0.034,-0.019,108.900,35.354,33.350,0.018,37.783
'[16:39:45.160 01/04/1996]',-0.035,-0.019,110.500,33.303,33.525,0.009,37.867
'[16:39:45.162 01/04/1996]',-0.037,-0.019,110.500,33.303,33.525,0.009,37.867
'[16:39:45.164 01/04/1996]',-0.039,-0.009,110.500,33.303,33.525,0.009,37.867
'[16:39:45.166 01/04/1996]',-0.041,-0.019,110.500,33.303,33.525,0.009,37.867
'[16:39:45.168 01/04/1996]',-0.043,-0.019,111.300,31.726,33.712,0.006,37.950
'[16:39:45.170 01/04/1996]',-0.046,-0.019,111.300,31.726,33.712,0.006,37.950
'[16:39:45.172 01/04/1996]',-0.047,-0.019,111.300,31.726,33.712,0.006,37.950
'[16:39:45.174 01/04/1996]',-0.048,-0.019,111.300,31.726,33.712,0.006,37.950
'[16:39:45.176 01/04/1996]',-0.046,-0.019,111.400,31.201,33.888,0.003,38.033
'[16:39:45.178 01/04/1996]',-0.045,-0.029,111.400,31.201,33.888,0.003,38.033
'[16:39:45.180 01/04/1996]',-0.042,-0.040,111.400,31.201,33.888,0.003,38.033
'[16:39:45.182 01/04/1996]',-0.039,-0.029,111.400,31.201,33.888,0.003,38.033
'[16:39:45.184 01/04/1996]',-0.036,-0.019,110.800,31.601,34.000,-0.003,38.117
'[16:39:45.186 01/04/1996]',-0.034,-0.019,110.800,31.601,34.000,-0.003,38.117
'[16:39:45.188 01/04/1996]',-0.032,-0.019,110.800,31.601,34.000,-0.003,38.117
'[16:39:45.190 01/04/1996]',-0.030,-0.019,110.800,31.601,34.000,-0.003,38.117
'[16:39:45.192 01/04/1996]',-0.029,-0.019,109.600,32.427,34.062,-0.005,38.150
'[16:39:45.194 01/04/1996]',-0.029,-0.019,109.600,32.427,34.062,-0.005,38.150
'[16:39:45.196 01/04/1996]',-0.029,-0.009,109.600,32.427,34.062,-0.005,38.150
'[16:39:45.198 01/04/1996]',-0.029,-0.009,109.600,32.427,34.062,-0.005,38.150
'[16:39:45.200 01/04/1996]',-0.029,-0.019,108.000,33.378,34.000,-0.003,38.183
'[16:39:45.202 01/04/1996]',-0.029,-0.019,108.000,33.378,34.000,-0.003,38.183
'[16:39:45.204 01/04/1996]',-0.029,-0.019,108.000,33.378,34.000,-0.003,38.183
'[16:39:45.206 01/04/1996]',-0.029,-0.019,108.000,33.378,34.000,-0.003,38.183
'[16:39:45.208 01/04/1996]',-0.029,-0.009,106.250,34.304,33.938,-0.003,38.217
'[16:39:45.210 01/04/1996]',-0.029,-0.019,106.250,34.304,33.938,-0.003,38.217
'[16:39:45.212 01/04/1996]',-0.031,-0.019,106.250,34.304,33.938,-0.003,38.217
'[16:39:45.214 01/04/1996]',-0.032,-0.009,106.250,34.304,33.938,-0.003,38.217
'[16:39:45.216 01/04/1996]',-0.035,-0.009,104.450,35.179,33.825,-0.005,38.250
'[16:39:45.218 01/04/1996]',-0.037,-0.019,104.450,35.179,33.825,-0.005,38.250
'[16:39:45.220 01/04/1996]',-0.040,-0.019,104.450,35.179,33.825,-0.005,38.250
'[16:39:45.222 01/04/1996]',-0.043,-0.029,104.450,35.179,33.825,-0.005,38.250
'[16:39:45.224 01/04/1996]',-0.045,-0.029,102.650,36.180,33.712,-0.003,38.283
'[16:39:45.226 01/04/1996]',-0.047,-0.040,102.650,36.180,33.712,-0.003,38.283
'[16:39:45.228 01/04/1996]',-0.045,-0.029,102.650,36.180,33.712,-0.003,38.283
'[16:39:45.230 01/04/1996]',-0.043,-0.019,102.650,36.180,33.712,-0.003,38.283
'[16:39:45.232 01/04/1996]',-0.035,-0.019,101.000,37.231,33.712,-0.003,38.367
'[16:39:45.234 01/04/1996]',-0.026,-0.009,101.000,37.231,33.712,-0.003,38.367
'[16:39:45.236 01/04/1996]',-0.008,0.001,101.000,37.231,33.712,-0.003,38.367
'[16:39:45.238 01/04/1996]',0.009,0.001,101.000,37.231,33.712,-0.003,38.367
'[16:39:45.240 01/04/1996]',0.039,0.011,99.650,38.182,33.825,0.000,38.450
'[16:39:45.242 01/04/1996]',0.069,0.021,99.650,38.182,33.825,0.000,38.450
'[16:39:45.244 01/04/1996]',0.106,0.041,99.650,38.182,33.825,0.000,38.450
'[16:39:45.246 01/04/1996]',0.143,0.071,99.650,38.182,33.825,0.000,38.450
'[16:39:45.248 01/04/1996]',0.178,0.112,98.450,38.707,33.938,-0.003,38.533
'[16:39:45.250 01/04/1996]',0.214,0.172,98.450,38.707,33.938,-0.003,38.533
'[16:39:45.252 01/04/1996]',0.234,0.243,98.450,38.707,33.938,-0.003,38.533
'[16:39:45.254 01/04/1996]',0.254,0.304,98.450,38.707,33.938,-0.003,38.533
'[16:39:45.256 01/04/1996]',0.251,0.354,97.500,38.757,34.112,0.000,38.583
'[16:39:45.258 01/04/1996]',0.247,0.385,97.500,38.757,34.112,0.000,38.583
'[16:39:45.260 01/04/1996]',0.220,0.385,97.500,38.757,34.112,0.000,38.583
'[16:39:45.262 01/04/1996]',0.193,0.354,97.500,38.757,34.112,0.000,38.583
'[16:39:45.264 01/04/1996]',0.151,0.324,96.700,38.357,34.350,-0.005,38.650
'[16:39:45.266 01/04/1996]',0.110,0.284,96.700,38.357,34.350,-0.005,38.650
'[16:39:45.268 01/04/1996]',0.067,0.213,96.700,38.357,34.350,-0.005,38.650
'[16:39:45.270 01/04/1996]',0.025,0.122,96.700,38.357,34.350,-0.005,38.650
'[16:39:45.272 01/04/1996]',-0.007,0.041,96.150,37.706,34.587,-0.005,38.717
'[16:39:45.274 01/04/1996]',-0.039,-0.019,96.150,37.706,34.587,-0.005,38.717
'[16:39:45.276 01/04/1996]',-0.059,-0.070,96.150,37.706,34.587,-0.005,38.717
'[16:39:45.278 01/04/1996]',-0.079,-0.100,96.150,37.706,34.587,-0.005,38.717
'[16:39:45.280 01/04/1996]',-0.092,-0.100,95.700,37.131,34.763,-0.011,38.783
'[16:39:45.282 01/04/1996]',-0.104,-0.100,95.700,37.131,34.763,-0.011,38.783
'[16:39:45.284 01/04/1996]',-0.117,-0.080,95.700,37.131,34.763,-0.011,38.783
'[16:39:45.286 01/04/1996]',-0.129,-0.070,95.700,37.131,34.763,-0.011,38.783
'[16:39:45.288 01/04/1996]',-0.146,-0.060,95.350,36.781,34.938,-0.018,38.900
'[16:39:45.290 01/04/1996]',-0.162,-0.070,95.350,36.781,34.938,-0.018,38.900
'[16:39:45.292 01/04/1996]',-0.182,-0.070,95.350,36.781,34.938,-0.018,38.900
'[16:39:45.294 01/04/1996]',-0.202,-0.080,95.350,36.781,34.938,-0.018,38.900
'[16:39:45.296 01/04/1996]',-0.223,-0.100,95.150,36.831,35.112,-0.021,39.017
'[16:39:45.298 01/04/1996]',-0.243,-0.121,95.150,36.831,35.112,-0.021,39.017
'[16:39:45.300 01/04/1996]',-0.262,-0.141,95.150,36.831,35.112,-0.021,39.017
'[16:39:45.302 01/04/1996]',-0.281,-0.161,95.150,36.831,35.112,-0.021,39.017
'[16:39:45.304 01/04/1996]',-0.296,-0.171,94.900,37.131,35.288,-0.026,39.133
'[16:39:45.306 01/04/1996]',-0.312,-0.181,94.900,37.131,35.288,-0.026,39.133
'[16:39:45.308 01/04/1996]',-0.322,-0.211,94.900,37.131,35.288,-0.026,39.133
'[16:39:45.310 01/04/1996]',-0.332,-0.232,94.900,37.131,35.288,-0.026,39.133
'[16:39:45.312 01/04/1996]',-0.334,-0.232,94.700,37.606,35.400,-0.029,39.250
'[16:39:45.314 01/04/1996]',-0.337,-0.242,94.700,37.606,35.400,-0.029,39.250
'[16:39:45.316 01/04/1996]',-0.329,-0.242,94.700,37.606,35.400,-0.029,39.250
'[16:39:45.318 01/04/1996]',-0.322,-0.242,94.700,37.606,35.400,-0.029,39.250
'[16:39:45.320 01/04/1996]',-0.304,-0.242,94.500,38.057,35.462,-0.029,39.333
'[16:39:45.322 01/04/1996]',-0.286,-0.242,94.500,38.057,35.462,-0.029,39.333
'[16:39:45.324 01/04/1996]',-0.260,-0.232,94.500,38.057,35.462,-0.029,39.333
'[16:39:45.326 01/04/1996]',-0.233,-0.211,94.500,38.057,35.462,-0.029,39.333
'[16:39:45.328 01/04/1996]',-0.204,-0.181,94.250,38.482,35.525,-0.032,39.467
'[16:39:45.330 01/04/1996]',-0.175,-0.161,94.250,38.482,35.525,-0.032,39.467
'[16:39:45.332 01/04/1996]',-0.146,-0.131,94.250,38.482,35.525,-0.032,39.467
'[16:39:45.334 01/04/1996]',-0.117,-0.111,94.250,38.482,35.525,-0.032,39.467
'[16:39:45.336 01/04/1996]',-0.093,-0.090,94.000,38.657,35.525,-0.032,39.600
'[16:39:45.338 01/04/1996]',-0.069,-0.070,94.000,38.657,35.525,-0.032,39.600
'[16:39:45.340 01/04/1996]',-0.049,-0.060,94.000,38.657,35.525,-0.032,39.600
'[16:39:45.342 01/04/1996]',-0.030,-0.040,94.000,38.657,35.525,-0.032,39.600
'[16:39:45.344 01/04/1996]',-0.016,-0.019,93.800,38.532,35.525,-0.032,39.733
'[16:39:45.346 01/04/1996]',-0.002,-0.009,93.800,38.532,35.525,-0.032,39.733
'[16:39:45.348 01/04/1996]',0.007,0.001,93.800,38.532,35.525,-0.032,39.733
'[16:39:45.350 01/04/1996]',0.017,0.021,93.800,38.532,35.525,-0.032,39.733
'[16:39:45.352 01/04/1996]',0.022,0.031,93.550,38.232,35.525,-0.032,39.767
'[16:39:45.354 01/04/1996]',0.028,0.031,93.550,38.232,35.525,-0.032,39.767
'[16:39:45.356 01/04/1996]',0.031,0.041,93.550,38.232,35.525,-0.032,39.767
'[16:39:45.358 01/04/1996]',0.033,0.031,93.550,38.232,35.525,-0.032,39.767
'[16:39:45.360 01/04/1996]',0.034,0.031,93.350,38.357,35.587,-0.029,39.850
'[16:39:45.362 01/04/1996]',0.035,0.021,93.350,38.357,35.587,-0.029,39.850
'[16:39:45.364 01/04/1996]',0.035,0.021,93.350,38.357,35.587,-0.029,39.850
'[16:39:45.366 01/04/1996]',0.036,0.021,93.350,38.357,35.587,-0.029,39.850
'[16:39:45.368 01/04/1996]',0.036,0.031,93.250,39.533,35.587,-0.026,39.933
'[16:39:45.370 01/04/1996]',0.036,0.041,93.250,39.533,35.587,-0.026,39.933
'[16:39:45.372 01/04/1996]',0.036,0.031,93.250,39.533,35.587,-0.026,39.933
'[16:39:45.374 01/04/1996]',0.035,0.031,93.250,39.533,35.587,-0.026,39.933
'[16:39:45.376 01/04/1996]',0.034,0.041,93.200,41.810,35.587,-0.026,40.017
'[16:39:45.378 01/04/1996]',0.032,0.031,93.200,41.810,35.587,-0.026,40.017
'[16:39:45.380 01/04/1996]',0.031,0.031,93.200,41.810,35.587,-0.026,40.017
'[16:39:45.382 01/04/1996]',0.031,0.031,93.200,41.810,35.587,-0.026,40.017
'[16:39:45.384 01/04/1996]',0.032,0.031,93.150,44.987,35.638,-0.026,40.033
'[16:39:45.386 01/04/1996]',0.033,0.021,93.150,44.987,35.638,-0.026,40.033
'[16:39:45.388 01/04/1996]',0.036,0.021,93.150,44.987,35.638,-0.026,40.033
'[16:39:45.390 01/04/1996]',0.039,0.011,93.150,44.987,35.638,-0.026,40.033
'[16:39:45.392 01/04/1996]',0.043,0.011,93.200,48.490,35.700,-0.021,40.083
'[16:39:45.394 01/04/1996]',0.048,0.011,93.200,48.490,35.700,-0.021,40.083
'[16:39:45.396 01/04/1996]',0.052,0.021,93.200,48.490,35.700,-0.021,40.083
'[16:39:45.398 01/04/1996]',0.057,0.021,93.200,48.490,35.700,-0.021,40.083
'[16:39:45.400 01/04/1996]',0.060,0.031,93.250,51.493,35.700,-0.023,40.133
'[16:39:45.402 01/04/1996]',0.064,0.041,93.250,51.493,35.700,-0.023,40.133
'[16:39:45.404 01/04/1996]',0.066,0.041,93.250,51.493,35.700,-0.023,40.133
'[16:39:45.406 01/04/1996]',0.068,0.041,93.250,51.493,35.700,-0.023,40.133
'[16:39:45.408 01/04/1996]',0.069,0.051,93.600,53.495,35.700,-0.026,40.183
'[16:39:45.410 01/04/1996]',0.069,0.041,93.600,53.495,35.700,-0.026,40.183
'[16:39:45.412 01/04/1996]',0.069,0.051,93.600,53.495,35.700,-0.026,40.183
'[16:39:45.414 01/04/1996]',0.069,0.051,93.600,53.495,35.700,-0.026,40.183
'[16:39:45.416 01/04/1996]',0.068,0.041,94.300,54.370,35.700,-0.029,40.150
'[16:39:45.418 01/04/1996]',0.068,0.031,94.300,54.370,35.700,-0.029,40.150
'[16:39:45.420 01/04/1996]',0.068,0.041,94.300,54.370,35.700,-0.029,40.150
'[16:39:45.422 01/04/1996]',0.068,0.041,94.300,54.370,35.700,-0.029,40.150
'[16:39:45.424 01/04/1996]',0.068,0.041,95.900,54.420,35.638,-0.032,40.167
'[16:39:45.426 01/04/1996]',0.069,0.041,95.900,54.420,35.638,-0.032,40.167
'[16:39:45.428 01/04/1996]',0.069,0.041,95.900,54.420,35.638,-0.032,40.167
'[16:39:45.430 01/04/1996]',0.070,0.041,95.900,54.420,35.638,-0.032,40.167
'[16:39:45.432 01/04/1996]',0.071,0.031,98.900,54.120,35.525,-0.035,40.183
'[16:39:45.434 01/04/1996]',0.073,0.031,98.900,54.120,35.525,-0.035,40.183
'[16:39:45.436 01/04/1996]',0.074,0.031,98.900,54.120,35.525,-0.035,40.183
'[16:39:45.438 01/04/1996]',0.074,0.021,98.900,54.120,35.525,-0.035,40.183
'[16:39:45.440 01/04/1996]',0.075,0.021,103.550,53.770,35.400,-0.038,40.200
'[16:39:45.442 01/04/1996]',0.076,0.021,103.550,53.770,35.400,-0.038,40.200
'[16:39:45.444 01/04/1996]',0.078,0.031,103.550,53.770,35.400,-0.038,40.200
'[16:39:45.446 01/04/1996]',0.079,0.031,103.550,53.770,35.400,-0.038,40.200
'[16:39:45.448 01/04/1996]',0.081,0.031,109.850,53.545,35.225,-0.041,40.283
'[16:39:45.450 01/04/1996]',0.082,0.031,109.850,53.545,35.225,-0.041,40.283
'[16:39:45.452 01/04/1996]',0.084,0.021,109.850,53.545,35.225,-0.041,40.283
'[16:39:45.454 01/04/1996]',0.087,0.021,109.850,53.545,35.225,-0.041,40.283
'[16:39:45.456 01/04/1996]',0.090,0.021,117.100,53.319,35.175,-0.041,40.400
'[16:39:45.458 01/04/1996]',0.092,0.021,117.100,53.319,35.175,-0.041,40.400
'[16:39:45.460 01/04/1996]',0.096,0.021,117.100,53.319,35.175,-0.041,40.400
'[16:39:45.462 01/04/1996]',0.100,0.041,117.100,53.319,35.175,-0.041,40.400
'[16:39:45.464 01/04/1996]',0.104,0.051,124.800,53.019,35.225,-0.038,40.517
'[16:39:45.466 01/04/1996]',0.108,0.051,124.800,53.019,35.225,-0.038,40.517
'[16:39:45.468 01/04/1996]',0.112,0.051,124.800,53.019,35.225,-0.038,40.517
'[16:39:45.470 01/04/1996]',0.116,0.041,124.800,53.019,35.225,-0.038,40.517
'[16:39:45.472 01/04/1996]',0.122,0.041,132.100,52.544,35.225,-0.029,40.633
'[16:39:45.474 01/04/1996]',0.127,0.031,132.100,52.544,35.225,-0.029,40.633
'[16:39:45.476 01/04/1996]',0.134,0.051,132.100,52.544,35.225,-0.029,40.633
'[16:39:45.478 01/04/1996]',0.140,0.051,132.100,52.544,35.225,-0.029,40.633
'[16:39:45.480 01/04/1996]',0.145,0.061,138.350,51.843,35.225,-0.018,40.600
'[16:39:45.482 01/04/1996]',0.151,0.071,138.350,51.843,35.225,-0.018,40.600
'[16:39:45.484 01/04/1996]',0.155,0.082,138.350,51.843,35.225,-0.018,40.600
'[16:39:45.486 01/04/1996]',0.158,0.102,138.350,51.843,35.225,-0.018,40.600
'[16:39:45.488 01/04/1996]',0.158,0.102,143.200,51.193,35.175,-0.005,40.617
'[16:39:45.490 01/04/1996]',0.157,0.092,143.200,51.193,35.175,-0.005,40.617
'[16:39:45.492 01/04/1996]',0.155,0.092,143.200,51.193,35.175,-0.005,40.617
'[16:39:45.494 01/04/1996]',0.152,0.082,143.200,51.193,35.175,-0.005,40.617
'[16:39:45.496 01/04/1996]',0.148,0.082,146.250,50.742,34.938,0.009,40.633
'[16:39:45.498 01/04/1996]',0.143,0.071,146.250,50.742,34.938,0.009,40.633
'[16:39:45.500 01/04/1996]',0.139,0.071,146.250,50.742,34.938,0.009,40.633
'[16:39:45.502 01/04/1996]',0.135,0.071,146.250,50.742,34.938,0.009,40.633
'[16:39:45.504 01/04/1996]',0.131,0.071,147.300,50.442,34.700,0.026,40.650
'[16:39:45.506 01/04/1996]',0.128,0.061,147.300,50.442,34.700,0.026,40.650
'[16:39:45.508 01/04/1996]',0.125,0.061,147.300,50.442,34.700,0.026,40.650
'[16:39:45.510 01/04/1996]',0.123,0.071,147.300,50.442,34.700,0.026,40.650
'[16:39:45.512 01/04/1996]',0.121,0.061,146.450,50.317,34.587,0.044,40.717
'[16:39:45.514 01/04/1996]',0.120,0.061,146.450,50.317,34.587,0.044,40.717
'[16:39:45.516 01/04/1996]',0.119,0.061,146.450,50.317,34.587,0.044,40.717
'[16:39:45.518 01/04/1996]',0.119,0.061,146.450,50.317,34.587,0.044,40.717
'[16:39:45.520 01/04/1996]',0.119,0.061,144.100,50.367,34.525,0.059,40.833
'[16:39:45.522 01/04/1996]',0.119,0.061,144.100,50.367,34.525,0.059,40.833
'[16:39:45.524 01/04/1996]',0.117,0.071,144.100,50.367,34.525,0.059,40.833
'[16:39:45.526 01/04/1996]',0.116,0.071,144.100,50.367,34.525,0.059,40.833
'[16:39:45.528 01/04/1996]',0.112,0.082,140.550,50.492,34.700,0.070,40.950
'[16:39:45.530 01/04/1996]',0.109,0.082,140.550,50.492,34.700,0.070,40.950
'[16:39:45.532 01/04/1996]',0.103,0.071,140.550,50.492,34.700,0.070,40.950
'[16:39:45.534 01/04/1996]',0.098,0.071,140.550,50.492,34.700,0.070,40.950
'[16:39:45.536 01/04/1996]',0.091,0.071,136.250,50.667,34.938,0.085,41.067
'[16:39:45.538 01/04/1996]',0.085,0.051,136.250,50.667,34.938,0.085,41.067
'[16:39:45.540 01/04/1996]',0.079,0.051,136.250,50.667,34.938,0.085,41.067
'[16:39:45.542 01/04/1996]',0.073,0.051,136.250,50.667,34.938,0.085,41.067
'[16:39:45.544 01/04/1996]',0.068,0.051,131.700,50.542,35.350,0.090,41.133
'[16:39:45.546 01/04/1996]',0.062,0.051,131.700,50.542,35.350,0.090,41.133
'[16:39:45.548 01/04/1996]',0.057,0.041,131.700,50.542,35.350,0.090,41.133
'[16:39:45.550 01/04/1996]',0.052,0.041,131.700,50.542,35.350,0.090,41.133
'[16:39:45.552 01/04/1996]',0.049,0.041,127.250,49.917,35.700,0.093,41.217
'[16:39:45.554 01/04/1996]',0.045,0.031,127.250,49.917,35.700,0.093,41.217
'[16:39:45.556 01/04/1996]',0.043,0.021,127.250,49.917,35.700,0.093,41.217
'[16:39:45.558 01/04/1996]',0.040,0.021,127.250,49.917,35.700,0.093,41.217
'[16:39:45.560 01/04/1996]',0.039,0.021,123.000,48.791,36.050,0.100,41.300
'[16:39:45.562 01/04/1996]',0.037,0.021,123.000,48.791,36.050,0.100,41.300
'[16:39:45.564 01/04/1996]',0.036,0.021,123.000,48.791,36.050,0.100,41.300
'[16:39:45.566 01/04/1996]',0.035,0.021,123.000,48.791,36.050,0.100,41.300
'[16:39:45.568 01/04/1996]',0.034,0.021,119.100,47.389,36.337,0.097,41.383
'[16:39:45.570 01/04/1996]',0.033,0.021,119.100,47.389,36.337,0.097,41.383
'[16:39:45.572 01/04/1996]',0.030,0.021,119.100,47.389,36.337,0.097,41.383
'[16:39:45.574 01/04/1996]',0.028,0.021,119.100,47.389,36.337,0.097,41.383
'[16:39:45.576 01/04/1996]',0.025,0.021,115.450,46.163,36.575,0.093,41.417
'[16:39:45.578 01/04/1996]',0.023,0.021,115.450,46.163,36.575,0.093,41.417
'[16:39:45.580 01/04/1996]',0.021,0.011,115.450,46.163,36.575,0.093,41.417
'[16:39:45.582 01/04/1996]',0.018,0.001,115.450,46.163,36.575,0.093,41.417
'[16:39:45.584 01/04/1996]',0.016,0.011,111.950,45.288,36.750,0.097,41.500
