'Time and date','II ','MCL1 ','V ','ABP ','RESP '
'[14:17:55.082 18/05/1995]',0.124,0.062,0.010,88.748,0.260
'[14:17:55.084 18/05/1995]',0.103,0.062,0.020,88.748,0.260
'[14:17:55.086 18/05/1995]',0.103,0.062,0.020,88.748,0.260
'[14:17:55.088 18/05/1995]',0.103,0.062,0.010,91.653,0.246
'[14:17:55.090 18/05/1995]',0.103,0.053,0.001,91.653,0.246
'[14:17:55.092 18/05/1995]',0.103,0.053,0.001,91.653,0.246
'[14:17:55.094 18/05/1995]',0.103,0.044,0.001,91.653,0.246
'[14:17:55.096 18/05/1995]',0.103,0.035,0.001,93.556,0.233
'[14:17:55.098 18/05/1995]',0.083,0.035,0.001,93.556,0.233
'[14:17:55.100 18/05/1995]',0.062,0.027,0.001,93.556,0.233
'[14:17:55.102 18/05/1995]',0.062,0.018,0.001,93.556,0.233
'[14:17:55.104 18/05/1995]',0.062,0.018,0.001,94.708,0.218
'[14:17:55.106 18/05/1995]',0.083,0.027,0.001,94.708,0.218
'[14:17:55.108 18/05/1995]',0.083,0.027,0.001,94.708,0.218
'[14:17:55.110 18/05/1995]',0.062,0.018,0.001,94.708,0.218
'[14:17:55.112 18/05/1995]',0.062,0.018,0.001,94.808,0.204
'[14:17:55.114 18/05/1995]',0.042,0.009,0.001,94.808,0.204
'[14:17:55.116 18/05/1995]',0.042,0.009,0.001,94.808,0.204
'[14:17:55.118 18/05/1995]',0.021,0.001,0.001,94.808,0.204
'[14:17:55.120 18/05/1995]',0.021,0.009,0.001,94.107,0.190
'[14:17:55.122 18/05/1995]',0.021,0.001,0.001,94.107,0.190
'[14:17:55.124 18/05/1995]',0.021,0.001,0.001,94.107,0.190
'[14:17:55.126 18/05/1995]',0.021,0.009,0.001,94.107,0.190
'[14:17:55.128 18/05/1995]',0.021,0.001,0.001,92.654,0.176
'[14:17:55.130 18/05/1995]',0.021,0.001,0.001,92.654,0.176
'[14:17:55.132 18/05/1995]',0.002,0.001,0.001,92.654,0.176
'[14:17:55.134 18/05/1995]',0.002,0.001,0.010,92.654,0.176
'[14:17:55.136 18/05/1995]',0.002,0.001,0.001,90.451,0.162
'[14:17:55.138 18/05/1995]',0.002,0.001,0.001,90.451,0.162
'[14:17:55.140 18/05/1995]',0.002,0.001,0.001,90.451,0.162
'[14:17:55.142 18/05/1995]',0.021,0.001,0.001,90.451,0.162
'[14:17:55.144 18/05/1995]',0.002,0.001,0.001,87.746,0.148
'[14:17:55.146 18/05/1995]',0.002,0.001,0.001,87.746,0.148
'[14:17:55.148 18/05/1995]',0.002,0.001,0.001,87.746,0.148
'[14:17:55.150 18/05/1995]',0.002,-0.008,0.001,87.746,0.148
'[14:17:55.152 18/05/1995]',0.002,-0.008,0.001,84.641,0.135
'[14:17:55.154 18/05/1995]',0.002,0.001,0.001,84.641,0.135
'[14:17:55.156 18/05/1995]',0.002,0.001,0.001,84.641,0.135
'[14:17:55.158 18/05/1995]',0.002,0.001,0.001,84.641,0.135
'[14:17:55.160 18/05/1995]',0.002,0.001,0.001,81.436,0.121
'[14:17:55.162 18/05/1995]',0.002,0.001,0.001,81.436,0.121
'[14:17:55.164 18/05/1995]',0.002,0.001,0.010,81.436,0.121
'[14:17:55.166 18/05/1995]',0.002,0.001,0.010,81.436,0.121
'[14:17:55.168 18/05/1995]',0.002,0.001,0.010,78.230,0.107
'[14:17:55.170 18/05/1995]',-0.019,0.001,0.010,78.230,0.107
'[14:17:55.172 18/05/1995]',0.002,0.001,0.001,78.230,0.107
'[14:17:55.174 18/05/1995]',0.002,0.001,0.001,78.230,0.107
'[14:17:55.176 18/05/1995]',0.002,0.001,0.001,75.175,0.091
'[14:17:55.178 18/05/1995]',0.002,0.001,0.001,75.175,0.091
'[14:17:55.180 18/05/1995]',0.002,0.001,0.010,75.175,0.091
'[14:17:55.182 18/05/1995]',0.002,0.001,0.001,75.175,0.091
'[14:17:55.184 18/05/1995]',-0.019,0.001,0.001,72.521,0.075
'[14:17:55.186 18/05/1995]',-0.019,0.001,0.001,72.521,0.075
'[14:17:55.188 18/05/1995]',0.002,0.001,0.001,72.521,0.075
'[14:17:55.190 18/05/1995]',0.002,0.001,0.001,72.521,0.075
'[14:17:55.192 18/05/1995]',0.002,0.001,0.001,70.167,0.059
'[14:17:55.194 18/05/1995]',0.002,0.001,0.001,70.167,0.059
'[14:17:55.196 18/05/1995]',0.002,0.001,0.001,70.167,0.059
'[14:17:55.198 18/05/1995]',0.002,0.001,0.010,70.167,0.059
'[14:17:55.200 18/05/1995]',0.002,0.001,0.020,68.113,0.043
'[14:17:55.202 18/05/1995]',-0.019,0.001,0.020,68.113,0.043
'[14:17:55.204 18/05/1995]',-0.019,0.001,0.010,68.113,0.043
'[14:17:55.206 18/05/1995]',-0.019,0.001,0.001,68.113,0.043
'[14:17:55.208 18/05/1995]',-0.019,0.001,0.001,66.461,0.026
'[14:17:55.210 18/05/1995]',-0.019,-0.008,0.001,66.461,0.026
'[14:17:55.212 18/05/1995]',-0.039,-0.008,0.001,66.461,0.026
'[14:17:55.214 18/05/1995]',-0.039,-0.017,0.020,66.461,0.026
'[14:17:55.216 18/05/1995]',-0.039,-0.008,0.020,65.108,0.011
'[14:17:55.218 18/05/1995]',-0.039,-0.017,0.030,65.108,0.011
'[14:17:55.220 18/05/1995]',-0.039,-0.017,0.010,65.108,0.011
'[14:17:55.222 18/05/1995]',-0.060,-0.017,0.010,65.108,0.011
'[14:17:55.224 18/05/1995]',-0.060,-0.025,0.001,64.057,-0.005
'[14:17:55.226 18/05/1995]',-0.080,-0.034,0.001,64.057,-0.005
'[14:17:55.228 18/05/1995]',-0.100,-0.060,0.001,64.057,-0.005
'[14:17:55.230 18/05/1995]',-0.121,-0.078,0.001,64.057,-0.005
'[14:17:55.232 18/05/1995]',-0.162,-0.104,0.001,63.305,-0.020
'[14:17:55.234 18/05/1995]',-0.182,-0.113,-0.009,63.305,-0.020
'[14:17:55.236 18/05/1995]',-0.203,-0.130,-0.019,63.305,-0.020
'[14:17:55.238 18/05/1995]',-0.223,-0.130,-0.028,63.305,-0.020
'[14:17:55.240 18/05/1995]',-0.264,-0.148,-0.028,62.654,-0.035
'[14:17:55.242 18/05/1995]',-0.285,-0.148,-0.019,62.654,-0.035
'[14:17:55.244 18/05/1995]',-0.304,-0.156,-0.019,62.654,-0.035
'[14:17:55.246 18/05/1995]',-0.345,-0.165,-0.009,62.654,-0.035
'[14:17:55.248 18/05/1995]',-0.386,-0.165,0.001,62.204,-0.049
'[14:17:55.250 18/05/1995]',-0.427,-0.191,0.001,62.204,-0.049
'[14:17:55.252 18/05/1995]',-0.468,-0.217,-0.009,62.204,-0.049
'[14:17:55.254 18/05/1995]',-0.488,-0.244,-0.028,62.204,-0.049
'[14:17:55.256 18/05/1995]',-0.509,-0.261,-0.038,61.953,-0.062
'[14:17:55.258 18/05/1995]',-0.529,-0.278,-0.058,61.953,-0.062
'[14:17:55.260 18/05/1995]',-0.550,-0.305,-0.058,61.953,-0.062
'[14:17:55.262 18/05/1995]',-0.550,-0.331,-0.067,61.953,-0.062
'[14:17:55.264 18/05/1995]',-0.550,-0.340,-0.067,61.803,-0.075
'[14:17:55.266 18/05/1995]',-0.570,-0.357,-0.067,61.803,-0.075
'[14:17:55.268 18/05/1995]',-0.570,-0.357,-0.067,61.803,-0.075
'[14:17:55.270 18/05/1995]',-0.590,-0.366,-0.067,61.803,-0.075
'[14:17:55.272 18/05/1995]',-0.610,-0.374,-0.058,61.803,-0.087
'[14:17:55.274 18/05/1995]',-0.610,-0.357,-0.048,61.803,-0.087
'[14:17:55.276 18/05/1995]',-0.610,-0.357,-0.038,61.803,-0.087
'[14:17:55.278 18/05/1995]',-0.651,-0.357,-0.028,61.803,-0.087
'[14:17:55.280 18/05/1995]',-0.651,-0.348,-0.009,61.853,-0.100
'[14:17:55.282 18/05/1995]',-0.672,-0.357,0.001,61.853,-0.100
'[14:17:55.284 18/05/1995]',-0.713,-0.357,0.001,61.853,-0.100
'[14:17:55.286 18/05/1995]',-0.733,-0.340,0.001,61.853,-0.100
'[14:17:55.288 18/05/1995]',-0.733,-0.331,0.001,62.053,-0.112
'[14:17:55.290 18/05/1995]',-0.733,-0.322,0.010,62.053,-0.112
'[14:17:55.292 18/05/1995]',-0.733,-0.322,0.020,62.053,-0.112
'[14:17:55.294 18/05/1995]',-0.733,-0.305,0.040,62.053,-0.112
'[14:17:55.296 18/05/1995]',-0.753,-0.296,0.040,62.204,-0.124
'[14:17:55.298 18/05/1995]',-0.753,-0.287,0.059,62.204,-0.124
'[14:17:55.300 18/05/1995]',-0.753,-0.270,0.069,62.204,-0.124
'[14:17:55.302 18/05/1995]',-0.733,-0.261,0.069,62.204,-0.124
'[14:17:55.304 18/05/1995]',-0.713,-0.261,0.059,62.404,-0.138
'[14:17:55.306 18/05/1995]',-0.672,-0.252,0.049,62.404,-0.138
'[14:17:55.308 18/05/1995]',-0.651,-0.244,0.040,62.404,-0.138
'[14:17:55.310 18/05/1995]',-0.590,-0.226,0.040,62.404,-0.138
'[14:17:55.312 18/05/1995]',-0.550,-0.209,0.040,62.604,-0.151
'[14:17:55.314 18/05/1995]',-0.509,-0.200,0.040,62.604,-0.151
'[14:17:55.316 18/05/1995]',-0.468,-0.183,0.040,62.604,-0.151
'[14:17:55.318 18/05/1995]',-0.427,-0.156,0.040,62.604,-0.151
'[14:17:55.320 18/05/1995]',-0.386,-0.139,0.040,62.805,-0.166
'[14:17:55.322 18/05/1995]',-0.325,-0.113,0.040,62.805,-0.166
'[14:17:55.324 18/05/1995]',-0.285,-0.095,0.030,62.805,-0.166
'[14:17:55.326 18/05/1995]',-0.264,-0.078,0.030,62.805,-0.166
'[14:17:55.328 18/05/1995]',-0.223,-0.060,0.040,63.055,-0.179
'[14:17:55.330 18/05/1995]',-0.203,-0.052,0.040,63.055,-0.179
'[14:17:55.332 18/05/1995]',-0.162,-0.034,0.040,63.055,-0.179
'[14:17:55.334 18/05/1995]',-0.162,-0.034,0.040,63.055,-0.179
'[14:17:55.336 18/05/1995]',-0.141,-0.025,0.030,63.305,-0.194
'[14:17:55.338 18/05/1995]',-0.141,-0.008,0.030,63.305,-0.194
'[14:17:55.340 18/05/1995]',-0.121,0.001,0.030,63.305,-0.194
'[14:17:55.342 18/05/1995]',-0.100,0.001,0.030,63.305,-0.194
'[14:17:55.344 18/05/1995]',-0.060,0.009,0.030,63.456,-0.208
'[14:17:55.346 18/05/1995]',-0.039,0.027,0.040,63.456,-0.208
'[14:17:55.348 18/05/1995]',-0.019,0.035,0.040,63.456,-0.208
'[14:17:55.350 18/05/1995]',0.002,0.044,0.040,63.456,-0.208
'[14:17:55.352 18/05/1995]',0.021,0.062,0.040,63.656,-0.222
'[14:17:55.354 18/05/1995]',0.042,0.070,0.030,63.656,-0.222
'[14:17:55.356 18/05/1995]',0.062,0.079,0.030,63.656,-0.222
'[14:17:55.358 18/05/1995]',0.083,0.097,0.030,63.656,-0.222
'[14:17:55.360 18/05/1995]',0.103,0.105,0.020,63.806,-0.236
'[14:17:55.362 18/05/1995]',0.124,0.114,0.030,63.806,-0.236
'[14:17:55.364 18/05/1995]',0.124,0.123,0.040,63.806,-0.236
'[14:17:55.366 18/05/1995]',0.124,0.123,0.040,63.806,-0.236
'[14:17:55.368 18/05/1995]',0.124,0.123,0.040,63.856,-0.250
'[14:17:55.370 18/05/1995]',0.144,0.131,0.030,63.856,-0.250
'[14:17:55.372 18/05/1995]',0.165,0.131,0.020,63.856,-0.250
'[14:17:55.374 18/05/1995]',0.165,0.131,0.030,63.856,-0.250
'[14:17:55.376 18/05/1995]',0.165,0.131,0.030,63.906,-0.264
'[14:17:55.378 18/05/1995]',0.165,0.140,0.040,63.906,-0.264
'[14:17:55.380 18/05/1995]',0.185,0.140,0.040,63.906,-0.264
'[14:17:55.382 18/05/1995]',0.185,0.131,0.040,63.906,-0.264
'[14:17:55.384 18/05/1995]',0.185,0.131,0.040,64.007,-0.277
'[14:17:55.386 18/05/1995]',0.185,0.131,0.020,64.007,-0.277
'[14:17:55.388 18/05/1995]',0.206,0.131,0.020,64.007,-0.277
'[14:17:55.390 18/05/1995]',0.206,0.131,0.010,64.007,-0.277
'[14:17:55.392 18/05/1995]',0.206,0.131,0.010,64.007,-0.290
'[14:17:55.394 18/05/1995]',0.226,0.131,0.020,64.007,-0.290
'[14:17:55.396 18/05/1995]',0.226,0.131,0.020,64.007,-0.290
'[14:17:55.398 18/05/1995]',0.226,0.131,0.030,64.007,-0.290
'[14:17:55.400 18/05/1995]',0.206,0.131,0.030,64.007,-0.302
'[14:17:55.402 18/05/1995]',0.206,0.140,0.030,64.007,-0.302
'[14:17:55.404 18/05/1995]',0.206,0.140,0.020,64.007,-0.302
'[14:17:55.406 18/05/1995]',0.226,0.149,0.020,64.007,-0.302
'[14:17:55.408 18/05/1995]',0.247,0.157,0.010,63.906,-0.315
'[14:17:55.410 18/05/1995]',0.267,0.149,0.010,63.906,-0.315
'[14:17:55.412 18/05/1995]',0.267,0.157,0.020,63.906,-0.315
'[14:17:55.414 18/05/1995]',0.247,0.149,0.020,63.906,-0.315
'[14:17:55.416 18/05/1995]',0.247,0.149,0.030,63.806,-0.327
'[14:17:55.418 18/05/1995]',0.247,0.149,0.010,63.806,-0.327
'[14:17:55.420 18/05/1995]',0.247,0.157,0.010,63.806,-0.327
'[14:17:55.422 18/05/1995]',0.267,0.149,0.001,63.806,-0.327
'[14:17:55.424 18/05/1995]',0.287,0.157,0.001,63.756,-0.338
'[14:17:55.426 18/05/1995]',0.287,0.149,0.001,63.756,-0.338
'[14:17:55.428 18/05/1995]',0.287,0.140,0.001,63.756,-0.338
'[14:17:55.430 18/05/1995]',0.287,0.140,0.001,63.756,-0.338
'[14:17:55.432 18/05/1995]',0.267,0.131,0.001,63.656,-0.348
'[14:17:55.434 18/05/1995]',0.267,0.140,0.010,63.656,-0.348
'[14:17:55.436 18/05/1995]',0.267,0.140,0.001,63.656,-0.348
'[14:17:55.438 18/05/1995]',0.267,0.149,0.001,63.656,-0.348
'[14:17:55.440 18/05/1995]',0.287,0.149,0.001,63.556,-0.357
'[14:17:55.442 18/05/1995]',0.287,0.149,0.001,63.556,-0.357
'[14:17:55.444 18/05/1995]',0.267,0.149,0.001,63.556,-0.357
'[14:17:55.446 18/05/1995]',0.267,0.149,0.010,63.556,-0.357
'[14:17:55.448 18/05/1995]',0.267,0.140,0.010,63.556,-0.366
'[14:17:55.450 18/05/1995]',0.267,0.131,0.001,63.556,-0.366
'[14:17:55.452 18/05/1995]',0.267,0.131,0.001,63.556,-0.366
'[14:17:55.454 18/05/1995]',0.267,0.140,0.001,63.556,-0.366
'[14:17:55.456 18/05/1995]',0.287,0.149,0.001,63.656,-0.376
'[14:17:55.458 18/05/1995]',0.287,0.149,0.001,63.656,-0.376
'[14:17:55.460 18/05/1995]',0.287,0.131,0.001,63.656,-0.376
'[14:17:55.462 18/05/1995]',0.267,0.131,0.001,63.656,-0.376
'[14:17:55.464 18/05/1995]',0.267,0.131,0.001,63.906,-0.385
'[14:17:55.466 18/05/1995]',0.267,0.131,0.001,63.906,-0.385
'[14:17:55.468 18/05/1995]',0.267,0.131,0.001,63.906,-0.385
'[14:17:55.470 18/05/1995]',0.267,0.131,0.001,63.906,-0.385
'[14:17:55.472 18/05/1995]',0.287,0.131,0.001,64.557,-0.395
'[14:17:55.474 18/05/1995]',0.267,0.131,0.001,64.557,-0.395
'[14:17:55.476 18/05/1995]',0.267,0.131,0.001,64.557,-0.395
'[14:17:55.478 18/05/1995]',0.267,0.131,0.001,64.557,-0.395
'[14:17:55.480 18/05/1995]',0.267,0.131,0.001,65.709,-0.404
'[14:17:55.482 18/05/1995]',0.247,0.131,0.001,65.709,-0.404
'[14:17:55.484 18/05/1995]',0.226,0.114,0.001,65.709,-0.404
'[14:17:55.486 18/05/1995]',0.226,0.114,0.001,65.709,-0.404
'[14:17:55.488 18/05/1995]',0.226,0.114,0.001,67.212,-0.411
'[14:17:55.490 18/05/1995]',0.226,0.114,0.001,67.212,-0.411
'[14:17:55.492 18/05/1995]',0.226,0.114,0.001,67.212,-0.411
'[14:17:55.494 18/05/1995]',0.226,0.105,0.001,67.212,-0.411
'[14:17:55.496 18/05/1995]',0.226,0.105,0.001,69.215,-0.418
'[14:17:55.498 18/05/1995]',0.206,0.097,0.010,69.215,-0.418
'[14:17:55.500 18/05/1995]',0.206,0.097,0.010,69.215,-0.418
'[14:17:55.502 18/05/1995]',0.185,0.088,0.001,69.215,-0.418
'[14:17:55.504 18/05/1995]',0.165,0.097,0.010,71.569,-0.424
'[14:17:55.506 18/05/1995]',0.165,0.097,0.001,71.569,-0.424
'[14:17:55.508 18/05/1995]',0.165,0.088,0.001,71.569,-0.424
'[14:17:55.510 18/05/1995]',0.165,0.088,0.001,71.569,-0.424
'[14:17:55.512 18/05/1995]',0.144,0.079,0.010,74.073,-0.429
'[14:17:55.514 18/05/1995]',0.144,0.079,0.020,74.073,-0.429
'[14:17:55.516 18/05/1995]',0.124,0.070,0.020,74.073,-0.429
'[14:17:55.518 18/05/1995]',0.103,0.062,0.010,74.073,-0.429
'[14:17:55.520 18/05/1995]',0.103,0.070,0.001,76.728,-0.433
'[14:17:55.522 18/05/1995]',0.103,0.062,0.001,76.728,-0.433
'[14:17:55.524 18/05/1995]',0.103,0.070,0.001,76.728,-0.433
'[14:17:55.526 18/05/1995]',0.103,0.062,0.001,76.728,-0.433
'[14:17:55.528 18/05/1995]',0.103,0.070,0.010,79.332,-0.437
'[14:17:55.530 18/05/1995]',0.083,0.062,0.020,79.332,-0.437
'[14:17:55.532 18/05/1995]',0.062,0.062,0.030,79.332,-0.437
'[14:17:55.534 18/05/1995]',0.062,0.062,0.030,79.332,-0.437
'[14:17:55.536 18/05/1995]',0.062,0.062,0.020,81.636,-0.440
'[14:17:55.538 18/05/1995]',0.062,0.062,0.010,81.636,-0.440
'[14:17:55.540 18/05/1995]',0.062,0.062,0.010,81.636,-0.440
'[14:17:55.542 18/05/1995]',0.083,0.062,0.010,81.636,-0.440
'[14:17:55.544 18/05/1995]',0.062,0.053,0.001,83.589,-0.443
'[14:17:55.546 18/05/1995]',0.062,0.044,0.010,83.589,-0.443
'[14:17:55.548 18/05/1995]',0.042,0.053,0.020,83.589,-0.443
'[14:17:55.550 18/05/1995]',0.042,0.044,0.030,83.589,-0.443
'[14:17:55.552 18/05/1995]',0.042,0.044,0.020,85.042,-0.445
'[14:17:55.554 18/05/1995]',0.021,0.035,0.020,85.042,-0.445
'[14:17:55.556 18/05/1995]',0.021,0.035,0.010,85.042,-0.445
'[14:17:55.558 18/05/1995]',0.021,0.035,0.001,85.042,-0.445
'[14:17:55.560 18/05/1995]',0.021,0.035,0.010,85.893,-0.448
'[14:17:55.562 18/05/1995]',0.021,0.035,0.010,85.893,-0.448
'[14:17:55.564 18/05/1995]',0.002,0.027,0.020,85.893,-0.448
'[14:17:55.566 18/05/1995]',0.002,0.018,0.020,85.893,-0.448
'[14:17:55.568 18/05/1995]',0.002,0.027,0.020,86.093,-0.451
'[14:17:55.570 18/05/1995]',0.002,0.027,0.020,86.093,-0.451
'[14:17:55.572 18/05/1995]',0.002,0.027,0.010,86.093,-0.451
'[14:17:55.574 18/05/1995]',0.002,0.027,0.010,86.093,-0.451
'[14:17:55.576 18/05/1995]',0.002,0.035,0.010,85.743,-0.454
'[14:17:55.578 18/05/1995]',0.002,0.027,0.020,85.743,-0.454
'[14:17:55.580 18/05/1995]',0.002,0.027,0.020,85.743,-0.454
'[14:17:55.582 18/05/1995]',-0.019,0.018,0.020,85.743,-0.454
'[14:17:55.584 18/05/1995]',-0.019,0.009,0.020,84.691,-0.457
'[14:17:55.586 18/05/1995]',-0.019,0.009,0.020,84.691,-0.457
'[14:17:55.588 18/05/1995]',-0.019,0.009,0.010,84.691,-0.457
'[14:17:55.590 18/05/1995]',-0.019,0.018,0.010,84.691,-0.457
'[14:17:55.592 18/05/1995]',-0.019,0.018,0.010,83.138,-0.459
'[14:17:55.594 18/05/1995]',0.002,0.018,0.010,83.138,-0.459
'[14:17:55.596 18/05/1995]',-0.019,0.001,0.010,83.138,-0.459
'[14:17:55.598 18/05/1995]',-0.019,0.001,0.010,83.138,-0.459
'[14:17:55.600 18/05/1995]',-0.019,0.001,0.020,81.135,-0.461
'[14:17:55.602 18/05/1995]',-0.019,0.001,0.010,81.135,-0.461
'[14:17:55.604 18/05/1995]',-0.019,0.001,0.010,81.135,-0.461
'[14:17:55.606 18/05/1995]',-0.019,0.001,0.001,81.135,-0.461
'[14:17:55.608 18/05/1995]',0.002,0.001,0.001,78.881,-0.463
'[14:17:55.610 18/05/1995]',0.002,0.009,0.001,78.881,-0.463
'[14:17:55.612 18/05/1995]',0.002,0.009,0.010,78.881,-0.463
'[14:17:55.614 18/05/1995]',-0.019,0.001,0.020,78.881,-0.463
'[14:17:55.616 18/05/1995]',-0.019,0.001,0.020,76.527,-0.466
'[14:17:55.618 18/05/1995]',-0.039,0.001,0.010,76.527,-0.466
'[14:17:55.620 18/05/1995]',-0.039,0.001,0.010,76.527,-0.466
'[14:17:55.622 18/05/1995]',-0.019,0.001,0.001,76.527,-0.466
'[14:17:55.624 18/05/1995]',-0.019,0.001,0.001,74.374,-0.469
'[14:17:55.626 18/05/1995]',0.002,0.001,0.001,74.374,-0.469
'[14:17:55.628 18/05/1995]',0.002,0.001,0.001,74.374,-0.469
'[14:17:55.630 18/05/1995]',0.002,0.001,0.001,74.374,-0.469
'[14:17:55.632 18/05/1995]',-0.019,0.001,0.001,72.320,-0.472
'[14:17:55.634 18/05/1995]',-0.039,0.001,0.010,72.320,-0.472
'[14:17:55.636 18/05/1995]',-0.039,0.001,0.001,72.320,-0.472
'[14:17:55.638 18/05/1995]',-0.039,0.001,0.001,72.320,-0.472
'[14:17:55.640 18/05/1995]',-0.039,0.001,0.001,70.517,-0.475
'[14:17:55.642 18/05/1995]',-0.019,0.001,0.001,70.517,-0.475
'[14:17:55.644 18/05/1995]',-0.019,0.001,0.001,70.517,-0.475
'[14:17:55.646 18/05/1995]',-0.039,-0.008,0.001,70.517,-0.475
'[14:17:55.648 18/05/1995]',-0.039,0.001,0.010,68.965,-0.478
'[14:17:55.650 18/05/1995]',-0.039,0.001,0.010,68.965,-0.478
'[14:17:55.652 18/05/1995]',-0.039,0.001,0.001,68.965,-0.478
'[14:17:55.654 18/05/1995]',-0.039,0.001,0.001,68.965,-0.478
'[14:17:55.656 18/05/1995]',-0.039,0.001,0.001,67.663,-0.479
'[14:17:55.658 18/05/1995]',-0.039,0.001,0.001,67.663,-0.479
'[14:17:55.660 18/05/1995]',-0.019,0.001,0.001,67.663,-0.479
'[14:17:55.662 18/05/1995]',-0.039,0.001,0.001,67.663,-0.479
'[14:17:55.664 18/05/1995]',-0.039,0.001,0.001,66.611,-0.480
'[14:17:55.666 18/05/1995]',-0.039,-0.008,0.001,66.611,-0.480
'[14:17:55.668 18/05/1995]',-0.039,-0.008,0.001,66.611,-0.480
'[14:17:55.670 18/05/1995]',-0.039,-0.008,0.001,66.611,-0.480
'[14:17:55.672 18/05/1995]',-0.019,-0.008,0.001,65.759,-0.481
'[14:17:55.674 18/05/1995]',-0.019,-0.017,-0.009,65.759,-0.481
'[14:17:55.676 18/05/1995]',-0.019,-0.017,-0.009,65.759,-0.481
'[14:17:55.678 18/05/1995]',0.002,-0.017,0.001,65.759,-0.481
'[14:17:55.680 18/05/1995]',-0.019,-0.025,0.001,65.058,-0.481
'[14:17:55.682 18/05/1995]',-0.019,-0.017,0.001,65.058,-0.481
'[14:17:55.684 18/05/1995]',-0.039,-0.017,0.001,65.058,-0.481
'[14:17:55.686 18/05/1995]',-0.019,-0.008,0.001,65.058,-0.481
'[14:17:55.688 18/05/1995]',-0.019,0.001,0.001,64.507,-0.481
'[14:17:55.690 18/05/1995]',-0.019,0.009,0.001,64.507,-0.481
'[14:17:55.692 18/05/1995]',0.002,0.018,0.001,64.507,-0.481
'[14:17:55.694 18/05/1995]',0.002,0.027,0.010,64.507,-0.481
'[14:17:55.696 18/05/1995]',0.002,0.027,0.010,64.107,-0.480
'[14:17:55.698 18/05/1995]',0.021,0.027,0.020,64.107,-0.480
'[14:17:55.700 18/05/1995]',0.002,0.027,0.020,64.107,-0.480
'[14:17:55.702 18/05/1995]',0.021,0.035,0.020,64.107,-0.480
'[14:17:55.704 18/05/1995]',0.021,0.053,0.020,63.806,-0.480
