'Time and date','I','aVL','ABP','PAP','CVP','PLETH','CO2'
'[07:01:26.138 19/03/1996]',-0.457,-0.561,100.000,37.175,14.015,0.000,34.350
'[07:01:26.140 19/03/1996]',-0.457,-0.562,100.000,37.175,14.015,0.000,34.350
'[07:01:26.142 19/03/1996]',-0.457,-0.564,100.000,37.175,14.015,0.000,34.350
'[07:01:26.144 19/03/1996]',-0.457,-0.566,98.450,36.575,14.718,0.000,34.417
'[07:01:26.146 19/03/1996]',-0.456,-0.567,98.450,36.575,14.718,0.000,34.417
'[07:01:26.148 19/03/1996]',-0.455,-0.567,98.450,36.575,14.718,0.000,34.417
'[07:01:26.150 19/03/1996]',-0.454,-0.567,98.450,36.575,14.718,0.000,34.417
'[07:01:26.152 19/03/1996]',-0.454,-0.567,96.600,35.825,15.420,0.000,34.483
'[07:01:26.154 19/03/1996]',-0.453,-0.566,96.600,35.825,15.420,0.000,34.483
'[07:01:26.156 19/03/1996]',-0.453,-0.566,96.600,35.825,15.420,0.000,34.483
'[07:01:26.158 19/03/1996]',-0.453,-0.565,96.600,35.825,15.420,0.000,34.483
'[07:01:26.160 19/03/1996]',-0.452,-0.567,94.450,34.950,16.010,0.000,34.483
'[07:01:26.162 19/03/1996]',-0.451,-0.568,94.450,34.950,16.010,0.000,34.483
'[07:01:26.164 19/03/1996]',-0.451,-0.574,94.450,34.950,16.010,0.000,34.483
'[07:01:26.166 19/03/1996]',-0.450,-0.579,94.450,34.950,16.010,0.000,34.483
'[07:01:26.168 19/03/1996]',-0.450,-0.587,91.900,34.000,16.600,0.000,34.517
'[07:01:26.170 19/03/1996]',-0.450,-0.595,91.900,34.000,16.600,0.000,34.517
'[07:01:26.172 19/03/1996]',-0.451,-0.604,91.900,34.000,16.600,0.000,34.517
'[07:01:26.174 19/03/1996]',-0.451,-0.613,91.900,34.000,16.600,0.000,34.517
'[07:01:26.176 19/03/1996]',-0.452,-0.618,89.150,33.000,17.014,0.000,34.550
'[07:01:26.178 19/03/1996]',-0.453,-0.623,89.150,33.000,17.014,0.000,34.550
'[07:01:26.180 19/03/1996]',-0.454,-0.622,89.150,33.000,17.014,0.000,34.550
'[07:01:26.182 19/03/1996]',-0.454,-0.620,89.150,33.000,17.014,0.000,34.550
'[07:01:26.184 19/03/1996]',-0.454,-0.615,86.100,32.125,17.365,0.000,34.583
'[07:01:26.186 19/03/1996]',-0.453,-0.609,86.100,32.125,17.365,0.000,34.583
'[07:01:26.188 19/03/1996]',-0.452,-0.601,86.100,32.125,17.365,0.000,34.583
'[07:01:26.190 19/03/1996]',-0.451,-0.593,86.100,32.125,17.365,0.000,34.583
'[07:01:26.192 19/03/1996]',-0.451,-0.588,82.900,31.375,17.604,0.000,34.650
'[07:01:26.194 19/03/1996]',-0.450,-0.583,82.900,31.375,17.604,0.000,34.650
'[07:01:26.196 19/03/1996]',-0.450,-0.585,82.900,31.375,17.604,0.000,34.650
'[07:01:26.198 19/03/1996]',-0.450,-0.586,82.900,31.375,17.604,0.000,34.650
'[07:01:26.200 19/03/1996]',-0.450,-0.593,79.500,30.900,17.654,0.000,34.717
'[07:01:26.202 19/03/1996]',-0.450,-0.600,79.500,30.900,17.654,0.000,34.717
'[07:01:26.204 19/03/1996]',-0.450,-0.610,79.500,30.900,17.654,0.000,34.717
'[07:01:26.206 19/03/1996]',-0.450,-0.620,79.500,30.900,17.654,0.000,34.717
'[07:01:26.208 19/03/1996]',-0.450,-0.632,76.150,30.600,17.654,0.000,34.783
'[07:01:26.210 19/03/1996]',-0.450,-0.644,76.150,30.600,17.654,0.000,34.783
'[07:01:26.212 19/03/1996]',-0.450,-0.655,76.150,30.600,17.654,0.000,34.783
'[07:01:26.214 19/03/1996]',-0.450,-0.666,76.150,30.600,17.654,0.000,34.783
'[07:01:26.216 19/03/1996]',-0.450,-0.671,73.050,30.375,17.541,0.000,34.850
'[07:01:26.218 19/03/1996]',-0.450,-0.677,73.050,30.375,17.541,0.000,34.850
'[07:01:26.220 19/03/1996]',-0.450,-0.677,73.050,30.375,17.541,0.000,34.850
'[07:01:26.222 19/03/1996]',-0.450,-0.677,73.050,30.375,17.541,0.000,34.850
'[07:01:26.224 19/03/1996]',-0.450,-0.671,70.300,30.150,17.365,0.000,34.833
'[07:01:26.226 19/03/1996]',-0.450,-0.665,70.300,30.150,17.365,0.000,34.833
'[07:01:26.228 19/03/1996]',-0.450,-0.653,70.300,30.150,17.365,0.000,34.833
'[07:01:26.230 19/03/1996]',-0.450,-0.642,70.300,30.150,17.365,0.000,34.833
'[07:01:26.232 19/03/1996]',-0.449,-0.626,67.950,29.850,17.077,0.000,34.850
'[07:01:26.234 19/03/1996]',-0.448,-0.611,67.950,29.850,17.077,0.000,34.850
'[07:01:26.236 19/03/1996]',-0.446,-0.596,67.950,29.850,17.077,0.000,34.850
'[07:01:26.238 19/03/1996]',-0.443,-0.580,67.950,29.850,17.077,0.000,34.850
'[07:01:26.240 19/03/1996]',-0.441,-0.567,65.950,29.425,16.662,0.000,34.867
'[07:01:26.242 19/03/1996]',-0.438,-0.554,65.950,29.425,16.662,0.000,34.867
'[07:01:26.244 19/03/1996]',-0.436,-0.544,65.950,29.425,16.662,0.000,34.867
'[07:01:26.246 19/03/1996]',-0.435,-0.535,65.950,29.425,16.662,0.000,34.867
'[07:01:26.248 19/03/1996]',-0.433,-0.530,64.250,28.975,16.186,0.000,34.883
'[07:01:26.250 19/03/1996]',-0.431,-0.525,64.250,28.975,16.186,0.000,34.883
'[07:01:26.252 19/03/1996]',-0.429,-0.525,64.250,28.975,16.186,0.000,34.883
'[07:01:26.254 19/03/1996]',-0.427,-0.525,64.250,28.975,16.186,0.000,34.883
'[07:01:26.256 19/03/1996]',-0.425,-0.528,62.800,28.625,15.659,0.000,34.933
'[07:01:26.258 19/03/1996]',-0.424,-0.531,62.800,28.625,15.659,0.000,34.933
'[07:01:26.260 19/03/1996]',-0.422,-0.535,62.800,28.625,15.659,0.000,34.933
'[07:01:26.262 19/03/1996]',-0.420,-0.540,62.800,28.625,15.659,0.000,34.933
'[07:01:26.264 19/03/1996]',-0.418,-0.545,61.600,28.275,15.194,0.000,35.000
'[07:01:26.266 19/03/1996]',-0.416,-0.550,61.600,28.275,15.194,0.000,35.000
'[07:01:26.268 19/03/1996]',-0.415,-0.554,61.600,28.275,15.194,0.000,35.000
'[07:01:26.270 19/03/1996]',-0.414,-0.558,61.600,28.275,15.194,0.000,35.000
'[07:01:26.272 19/03/1996]',-0.413,-0.560,60.600,28.025,14.655,0.000,35.067
'[07:01:26.274 19/03/1996]',-0.413,-0.563,60.600,28.025,14.655,0.000,35.067
'[07:01:26.276 19/03/1996]',-0.413,-0.564,60.600,28.025,14.655,0.000,35.067
'[07:01:26.278 19/03/1996]',-0.414,-0.564,60.600,28.025,14.655,0.000,35.067
'[07:01:26.280 19/03/1996]',-0.414,-0.564,59.850,27.850,14.191,0.000,35.133
'[07:01:26.282 19/03/1996]',-0.415,-0.563,59.850,27.850,14.191,0.000,35.133
'[07:01:26.284 19/03/1996]',-0.416,-0.560,59.850,27.850,14.191,0.000,35.133
'[07:01:26.286 19/03/1996]',-0.418,-0.558,59.850,27.850,14.191,0.000,35.133
'[07:01:26.288 19/03/1996]',-0.420,-0.554,59.250,27.675,13.777,0.000,35.083
'[07:01:26.290 19/03/1996]',-0.422,-0.551,59.250,27.675,13.777,0.000,35.083
'[07:01:26.292 19/03/1996]',-0.424,-0.547,59.250,27.675,13.777,0.000,35.083
'[07:01:26.294 19/03/1996]',-0.427,-0.544,59.250,27.675,13.777,0.000,35.083
'[07:01:26.296 19/03/1996]',-0.431,-0.540,58.850,27.450,13.363,0.000,35.083
'[07:01:26.298 19/03/1996]',-0.435,-0.537,58.850,27.450,13.363,0.000,35.083
'[07:01:26.300 19/03/1996]',-0.439,-0.534,58.850,27.450,13.363,0.000,35.083
'[07:01:26.302 19/03/1996]',-0.442,-0.531,58.850,27.450,13.363,0.000,35.083
'[07:01:26.304 19/03/1996]',-0.444,-0.529,58.550,27.200,13.011,0.000,35.083
'[07:01:26.306 19/03/1996]',-0.446,-0.527,58.550,27.200,13.011,0.000,35.083
'[07:01:26.308 19/03/1996]',-0.447,-0.525,58.550,27.200,13.011,0.000,35.083
'[07:01:26.310 19/03/1996]',-0.447,-0.524,58.550,27.200,13.011,0.000,35.083
'[07:01:26.312 19/03/1996]',-0.447,-0.523,58.400,27.025,12.773,0.000,35.083
'[07:01:26.314 19/03/1996]',-0.447,-0.522,58.400,27.025,12.773,0.000,35.083
'[07:01:26.316 19/03/1996]',-0.447,-0.520,58.400,27.025,12.773,0.000,35.083
'[07:01:26.318 19/03/1996]',-0.447,-0.519,58.400,27.025,12.773,0.000,35.083
'[07:01:26.320 19/03/1996]',-0.448,-0.517,58.300,26.925,12.597,0.000,35.117
'[07:01:26.322 19/03/1996]',-0.448,-0.516,58.300,26.925,12.597,0.000,35.117
'[07:01:26.324 19/03/1996]',-0.449,-0.516,58.300,26.925,12.597,0.000,35.117
'[07:01:26.326 19/03/1996]',-0.450,-0.516,58.300,26.925,12.597,0.000,35.117
'[07:01:26.328 19/03/1996]',-0.450,-0.516,58.200,26.850,12.597,0.000,35.183
'[07:01:26.330 19/03/1996]',-0.450,-0.516,58.200,26.850,12.597,0.000,35.183
'[07:01:26.332 19/03/1996]',-0.450,-0.515,58.200,26.850,12.597,0.000,35.183
'[07:01:26.334 19/03/1996]',-0.450,-0.515,58.200,26.850,12.597,0.000,35.183
'[07:01:26.336 19/03/1996]',-0.450,-0.514,58.150,26.925,12.660,0.000,35.250
'[07:01:26.338 19/03/1996]',-0.449,-0.513,58.150,26.925,12.660,0.000,35.250
'[07:01:26.340 19/03/1996]',-0.447,-0.511,58.150,26.925,12.660,0.000,35.250
'[07:01:26.342 19/03/1996]',-0.444,-0.509,58.150,26.925,12.660,0.000,35.250
'[07:01:26.344 19/03/1996]',-0.439,-0.503,58.100,26.850,12.836,0.000,35.317
'[07:01:26.346 19/03/1996]',-0.434,-0.497,58.100,26.850,12.836,0.000,35.317
'[07:01:26.348 19/03/1996]',-0.425,-0.483,58.100,26.850,12.836,0.000,35.317
'[07:01:26.350 19/03/1996]',-0.417,-0.469,58.100,26.850,12.836,0.000,35.317
'[07:01:26.352 19/03/1996]',-0.402,-0.441,58.050,26.800,13.137,0.000,35.233
'[07:01:26.354 19/03/1996]',-0.386,-0.413,58.050,26.800,13.137,0.000,35.233
'[07:01:26.356 19/03/1996]',-0.358,-0.367,58.050,26.800,13.137,0.000,35.233
'[07:01:26.358 19/03/1996]',-0.331,-0.321,58.050,26.800,13.137,0.000,35.233
'[07:01:26.360 19/03/1996]',-0.291,-0.258,58.050,26.625,13.538,0.000,35.200
'[07:01:26.362 19/03/1996]',-0.252,-0.195,58.050,26.625,13.538,0.000,35.200
'[07:01:26.364 19/03/1996]',-0.202,-0.120,58.050,26.625,13.538,0.000,35.200
'[07:01:26.366 19/03/1996]',-0.152,-0.045,58.050,26.625,13.538,0.000,35.200
'[07:01:26.368 19/03/1996]',-0.096,0.031,58.050,26.400,14.015,0.000,35.167
'[07:01:26.370 19/03/1996]',-0.040,0.107,58.050,26.400,14.015,0.000,35.167
'[07:01:26.372 19/03/1996]',0.011,0.170,58.050,26.400,14.015,0.000,35.167
'[07:01:26.374 19/03/1996]',0.061,0.233,58.050,26.400,14.015,0.000,35.167
'[07:01:26.376 19/03/1996]',0.094,0.267,58.050,26.100,14.605,0.000,35.133
'[07:01:26.378 19/03/1996]',0.127,0.301,58.050,26.100,14.605,0.000,35.133
'[07:01:26.380 19/03/1996]',0.133,0.295,58.050,26.100,14.605,0.000,35.133
'[07:01:26.382 19/03/1996]',0.138,0.290,58.050,26.100,14.605,0.000,35.133
'[07:01:26.384 19/03/1996]',0.114,0.247,58.100,25.800,15.132,0.000,35.183
'[07:01:26.386 19/03/1996]',0.090,0.205,58.100,25.800,15.132,0.000,35.183
'[07:01:26.388 19/03/1996]',0.042,0.134,58.100,25.800,15.132,0.000,35.183
'[07:01:26.390 19/03/1996]',-0.007,0.062,58.100,25.800,15.132,0.000,35.183
'[07:01:26.392 19/03/1996]',-0.067,-0.025,58.100,25.450,15.659,0.000,35.250
'[07:01:26.394 19/03/1996]',-0.126,-0.111,58.100,25.450,15.659,0.000,35.250
'[07:01:26.396 19/03/1996]',-0.181,-0.195,58.100,25.450,15.659,0.000,35.250
'[07:01:26.398 19/03/1996]',-0.236,-0.278,58.100,25.450,15.659,0.000,35.250
'[07:01:26.400 19/03/1996]',-0.278,-0.344,58.200,25.150,16.186,0.000,35.317
'[07:01:26.402 19/03/1996]',-0.319,-0.410,58.200,25.150,16.186,0.000,35.317
'[07:01:26.404 19/03/1996]',-0.344,-0.450,58.200,25.150,16.186,0.000,35.317
'[07:01:26.406 19/03/1996]',-0.369,-0.490,58.200,25.150,16.186,0.000,35.317
'[07:01:26.408 19/03/1996]',-0.383,-0.503,58.300,24.800,16.600,0.000,35.383
'[07:01:26.410 19/03/1996]',-0.396,-0.516,58.300,24.800,16.600,0.000,35.383
'[07:01:26.412 19/03/1996]',-0.401,-0.509,58.300,24.800,16.600,0.000,35.383
'[07:01:26.414 19/03/1996]',-0.405,-0.502,58.300,24.800,16.600,0.000,35.383
'[07:01:26.416 19/03/1996]',-0.406,-0.486,58.200,24.525,16.901,0.000,35.417
'[07:01:26.418 19/03/1996]',-0.407,-0.471,58.200,24.525,16.901,0.000,35.417
'[07:01:26.420 19/03/1996]',-0.406,-0.458,58.200,24.525,16.901,0.000,35.417
'[07:01:26.422 19/03/1996]',-0.406,-0.444,58.200,24.525,16.901,0.000,35.417
'[07:01:26.424 19/03/1996]',-0.406,-0.439,58.100,24.275,17.189,0.000,35.500
'[07:01:26.426 19/03/1996]',-0.406,-0.434,58.100,24.275,17.189,0.000,35.500
'[07:01:26.428 19/03/1996]',-0.406,-0.435,58.100,24.275,17.189,0.000,35.500
'[07:01:26.430 19/03/1996]',-0.407,-0.437,58.100,24.275,17.189,0.000,35.500
'[07:01:26.432 19/03/1996]',-0.408,-0.442,57.850,24.100,17.302,0.000,35.583
'[07:01:26.434 19/03/1996]',-0.409,-0.447,57.850,24.100,17.302,0.000,35.583
'[07:01:26.436 19/03/1996]',-0.410,-0.452,57.850,24.100,17.302,0.000,35.583
'[07:01:26.438 19/03/1996]',-0.411,-0.456,57.850,24.100,17.302,0.000,35.583
'[07:01:26.440 19/03/1996]',-0.410,-0.458,57.650,24.050,17.428,0.000,35.667
'[07:01:26.442 19/03/1996]',-0.409,-0.460,57.650,24.050,17.428,0.000,35.667
'[07:01:26.444 19/03/1996]',-0.407,-0.459,57.650,24.050,17.428,0.000,35.667
'[07:01:26.446 19/03/1996]',-0.406,-0.458,57.650,24.050,17.428,0.000,35.667
'[07:01:26.448 19/03/1996]',-0.405,-0.456,57.300,24.225,17.428,0.000,35.667
'[07:01:26.450 19/03/1996]',-0.403,-0.453,57.300,24.225,17.428,0.000,35.667
'[07:01:26.452 19/03/1996]',-0.403,-0.452,57.300,24.225,17.428,0.000,35.667
'[07:01:26.454 19/03/1996]',-0.403,-0.451,57.300,24.225,17.428,0.000,35.667
'[07:01:26.456 19/03/1996]',-0.405,-0.453,56.850,24.575,17.428,0.000,35.717
'[07:01:26.458 19/03/1996]',-0.406,-0.455,56.850,24.575,17.428,0.000,35.717
'[07:01:26.460 19/03/1996]',-0.406,-0.459,56.850,24.575,17.428,0.000,35.717
'[07:01:26.462 19/03/1996]',-0.407,-0.462,56.850,24.575,17.428,0.000,35.717
'[07:01:26.464 19/03/1996]',-0.406,-0.466,56.500,25.150,17.302,0.000,35.767
'[07:01:26.466 19/03/1996]',-0.405,-0.469,56.500,25.150,17.302,0.000,35.767
'[07:01:26.468 19/03/1996]',-0.404,-0.471,56.500,25.150,17.302,0.000,35.767
'[07:01:26.470 19/03/1996]',-0.403,-0.474,56.500,25.150,17.302,0.000,35.767
'[07:01:26.472 19/03/1996]',-0.402,-0.475,56.250,25.675,17.127,0.000,35.817
'[07:01:26.474 19/03/1996]',-0.401,-0.476,56.250,25.675,17.127,0.000,35.817
'[07:01:26.476 19/03/1996]',-0.400,-0.475,56.250,25.675,17.127,0.000,35.817
'[07:01:26.478 19/03/1996]',-0.399,-0.475,56.250,25.675,17.127,0.000,35.817
'[07:01:26.480 19/03/1996]',-0.397,-0.473,55.800,26.100,16.901,0.000,35.800
'[07:01:26.482 19/03/1996]',-0.395,-0.471,55.800,26.100,16.901,0.000,35.800
'[07:01:26.484 19/03/1996]',-0.395,-0.470,55.800,26.100,16.901,0.000,35.800
'[07:01:26.486 19/03/1996]',-0.394,-0.469,55.800,26.100,16.901,0.000,35.800
'[07:01:26.488 19/03/1996]',-0.393,-0.469,55.350,26.225,16.662,0.000,35.783
'[07:01:26.490 19/03/1996]',-0.392,-0.469,55.350,26.225,16.662,0.000,35.783
'[07:01:26.492 19/03/1996]',-0.392,-0.471,55.350,26.225,16.662,0.000,35.783
'[07:01:26.494 19/03/1996]',-0.391,-0.473,55.350,26.225,16.662,0.000,35.783
'[07:01:26.496 19/03/1996]',-0.391,-0.476,54.900,26.025,16.424,0.000,35.767
'[07:01:26.498 19/03/1996]',-0.390,-0.480,54.900,26.025,16.424,0.000,35.767
'[07:01:26.500 19/03/1996]',-0.389,-0.482,54.900,26.025,16.424,0.000,35.767
'[07:01:26.502 19/03/1996]',-0.388,-0.485,54.900,26.025,16.424,0.000,35.767
'[07:01:26.504 19/03/1996]',-0.386,-0.487,54.400,25.850,16.186,0.000,35.750
'[07:01:26.506 19/03/1996]',-0.384,-0.489,54.400,25.850,16.186,0.000,35.750
'[07:01:26.508 19/03/1996]',-0.383,-0.491,54.400,25.850,16.186,0.000,35.750
'[07:01:26.510 19/03/1996]',-0.381,-0.493,54.400,25.850,16.186,0.000,35.750
'[07:01:26.512 19/03/1996]',-0.381,-0.496,53.950,25.850,15.897,0.000,35.717
'[07:01:26.514 19/03/1996]',-0.380,-0.499,53.950,25.850,15.897,0.000,35.717
'[07:01:26.516 19/03/1996]',-0.381,-0.502,53.950,25.850,15.897,0.000,35.717
'[07:01:26.518 19/03/1996]',-0.381,-0.506,53.950,25.850,15.897,0.000,35.717
'[07:01:26.520 19/03/1996]',-0.381,-0.509,53.650,26.325,15.546,0.000,35.700
'[07:01:26.522 19/03/1996]',-0.381,-0.513,53.650,26.325,15.546,0.000,35.700
'[07:01:26.524 19/03/1996]',-0.381,-0.514,53.650,26.325,15.546,0.000,35.700
'[07:01:26.526 19/03/1996]',-0.381,-0.516,53.650,26.325,15.546,0.000,35.700
'[07:01:26.528 19/03/1996]',-0.381,-0.516,53.550,27.200,15.132,0.000,35.683
'[07:01:26.530 19/03/1996]',-0.380,-0.516,53.550,27.200,15.132,0.000,35.683
'[07:01:26.532 19/03/1996]',-0.379,-0.515,53.550,27.200,15.132,0.000,35.683
'[07:01:26.534 19/03/1996]',-0.377,-0.514,53.550,27.200,15.132,0.000,35.683
'[07:01:26.536 19/03/1996]',-0.374,-0.510,53.950,28.450,14.655,0.000,35.667
'[07:01:26.538 19/03/1996]',-0.372,-0.507,53.950,28.450,14.655,0.000,35.667
'[07:01:26.540 19/03/1996]',-0.370,-0.502,53.950,28.450,14.655,0.000,35.667
'[07:01:26.542 19/03/1996]',-0.368,-0.497,53.950,28.450,14.655,0.000,35.667
'[07:01:26.544 19/03/1996]',-0.365,-0.493,55.050,29.900,14.191,0.000,35.600
'[07:01:26.546 19/03/1996]',-0.362,-0.489,55.050,29.900,14.191,0.000,35.600
'[07:01:26.548 19/03/1996]',-0.359,-0.487,55.050,29.900,14.191,0.000,35.600
'[07:01:26.550 19/03/1996]',-0.357,-0.485,55.050,29.900,14.191,0.000,35.600
'[07:01:26.552 19/03/1996]',-0.355,-0.483,57.350,31.250,13.714,0.000,35.550
'[07:01:26.554 19/03/1996]',-0.353,-0.482,57.350,31.250,13.714,0.000,35.550
'[07:01:26.556 19/03/1996]',-0.350,-0.481,57.350,31.250,13.714,0.000,35.550
'[07:01:26.558 19/03/1996]',-0.348,-0.480,57.350,31.250,13.714,0.000,35.550
'[07:01:26.560 19/03/1996]',-0.345,-0.479,60.900,32.475,13.250,0.000,35.500
'[07:01:26.562 19/03/1996]',-0.342,-0.478,60.900,32.475,13.250,0.000,35.500
'[07:01:26.564 19/03/1996]',-0.339,-0.476,60.900,32.475,13.250,0.000,35.500
'[07:01:26.566 19/03/1996]',-0.336,-0.474,60.900,32.475,13.250,0.000,35.500
'[07:01:26.568 19/03/1996]',-0.334,-0.470,65.400,33.475,12.836,0.000,35.450
'[07:01:26.570 19/03/1996]',-0.331,-0.467,65.400,33.475,12.836,0.000,35.450
'[07:01:26.572 19/03/1996]',-0.328,-0.463,65.400,33.475,12.836,0.000,35.450
'[07:01:26.574 19/03/1996]',-0.324,-0.459,65.400,33.475,12.836,0.000,35.450
'[07:01:26.576 19/03/1996]',-0.321,-0.456,70.350,34.425,12.422,0.000,35.400
