'Time and date','MCL1 ','II ','V ','ABP ','PLETH '
'[13:41:09.090 12/05/1995]',-0.071,0.034,-0.087,70.952,-0.042
'[13:41:09.092 12/05/1995]',-0.065,0.050,-0.076,70.952,-0.042
'[13:41:09.094 12/05/1995]',-0.047,0.050,-0.070,70.952,-0.042
'[13:41:09.096 12/05/1995]',-0.047,0.066,-0.064,70.727,-0.057
'[13:41:09.098 12/05/1995]',-0.035,0.115,-0.035,70.727,-0.057
'[13:41:09.100 12/05/1995]',-0.047,0.197,-0.011,70.727,-0.057
'[13:41:09.102 12/05/1995]',-0.047,0.246,0.001,70.727,-0.057
'[13:41:09.104 12/05/1995]',-0.047,0.230,0.001,70.502,-0.083
'[13:41:09.106 12/05/1995]',-0.047,0.197,-0.005,70.502,-0.083
'[13:41:09.108 12/05/1995]',-0.035,0.148,-0.023,70.502,-0.083
'[13:41:09.110 12/05/1995]',-0.035,0.083,-0.029,70.502,-0.083
'[13:41:09.112 12/05/1995]',-0.029,0.034,-0.046,70.427,-0.103
'[13:41:09.114 12/05/1995]',-0.029,0.001,-0.046,70.427,-0.103
'[13:41:09.116 12/05/1995]',-0.023,0.001,-0.046,70.427,-0.103
'[13:41:09.118 12/05/1995]',-0.011,-0.015,-0.035,70.427,-0.103
'[13:41:09.120 12/05/1995]',-0.011,0.001,-0.023,70.427,-0.108
'[13:41:09.122 12/05/1995]',-0.011,0.017,-0.023,70.427,-0.108
'[13:41:09.124 12/05/1995]',-0.011,0.050,-0.011,70.427,-0.108
'[13:41:09.126 12/05/1995]',-0.029,0.083,-0.011,70.427,-0.108
'[13:41:09.128 12/05/1995]',-0.035,0.115,-0.011,70.577,-0.124
'[13:41:09.130 12/05/1995]',-0.035,0.099,-0.029,70.577,-0.124
'[13:41:09.132 12/05/1995]',-0.047,0.034,-0.046,70.577,-0.124
'[13:41:09.134 12/05/1995]',-0.053,0.001,-0.064,70.577,-0.124
'[13:41:09.136 12/05/1995]',-0.047,-0.015,-0.070,70.802,-0.134
'[13:41:09.138 12/05/1995]',-0.047,-0.015,-0.064,70.802,-0.134
'[13:41:09.140 12/05/1995]',-0.035,0.001,-0.064,70.802,-0.134
'[13:41:09.142 12/05/1995]',-0.035,0.001,-0.064,70.802,-0.134
'[13:41:09.144 12/05/1995]',-0.035,0.001,-0.064,71.027,-0.149
'[13:41:09.146 12/05/1995]',-0.035,0.001,-0.052,71.027,-0.149
'[13:41:09.148 12/05/1995]',-0.029,0.001,-0.052,71.027,-0.149
'[13:41:09.150 12/05/1995]',-0.023,-0.015,-0.052,71.027,-0.149
'[13:41:09.152 12/05/1995]',-0.023,-0.015,-0.046,71.327,-0.165
'[13:41:09.154 12/05/1995]',-0.029,-0.015,-0.035,71.327,-0.165
'[13:41:09.156 12/05/1995]',-0.029,0.001,-0.029,71.327,-0.165
'[13:41:09.158 12/05/1995]',-0.023,0.001,-0.023,71.327,-0.165
'[13:41:09.160 12/05/1995]',-0.011,0.001,-0.011,71.627,-0.180
'[13:41:09.162 12/05/1995]',-0.005,0.001,-0.005,71.627,-0.180
'[13:41:09.164 12/05/1995]',0.006,0.001,0.006,71.627,-0.180
'[13:41:09.166 12/05/1995]',0.036,0.001,0.030,71.627,-0.180
'[13:41:09.168 12/05/1995]',0.089,-0.015,0.065,71.852,-0.202
'[13:41:09.170 12/05/1995]',0.119,-0.031,0.094,71.852,-0.202
'[13:41:09.172 12/05/1995]',0.166,-0.031,0.141,71.852,-0.202
'[13:41:09.174 12/05/1995]',0.219,-0.048,0.193,71.852,-0.202
'[13:41:09.176 12/05/1995]',0.261,-0.031,0.223,72.077,-0.227
'[13:41:09.178 12/05/1995]',0.273,-0.015,0.240,72.077,-0.227
'[13:41:09.180 12/05/1995]',0.284,0.017,0.240,72.077,-0.227
'[13:41:09.182 12/05/1995]',0.284,0.050,0.229,72.077,-0.227
'[13:41:09.184 12/05/1995]',0.296,0.099,0.223,72.227,-0.237
'[13:41:09.186 12/05/1995]',0.273,0.148,0.193,72.227,-0.237
'[13:41:09.188 12/05/1995]',0.231,0.214,0.135,72.227,-0.237
'[13:41:09.190 12/05/1995]',0.184,0.295,0.071,72.227,-0.237
'[13:41:09.192 12/05/1995]',0.143,0.361,0.012,72.227,-0.129
'[13:41:09.194 12/05/1995]',0.131,0.377,-0.005,72.227,-0.129
'[13:41:09.196 12/05/1995]',0.131,0.328,-0.011,72.227,-0.129
'[13:41:09.198 12/05/1995]',0.137,0.230,-0.005,72.227,-0.129
'[13:41:09.200 12/05/1995]',0.137,0.083,0.006,72.152,-0.103
'[13:41:09.202 12/05/1995]',0.131,-0.080,0.047,72.152,-0.103
'[13:41:09.204 12/05/1995]',0.137,-0.244,0.088,72.152,-0.103
'[13:41:09.206 12/05/1995]',0.137,-0.358,0.117,72.152,-0.103
'[13:41:09.208 12/05/1995]',0.131,-0.440,0.117,71.927,-0.025
'[13:41:09.210 12/05/1995]',0.095,-0.489,0.100,71.927,-0.025
'[13:41:09.212 12/05/1995]',0.048,-0.505,0.071,71.927,-0.025
'[13:41:09.214 12/05/1995]',0.006,-0.522,0.035,71.927,-0.025
'[13:41:09.216 12/05/1995]',-0.011,-0.505,0.012,71.702,0.129
'[13:41:09.218 12/05/1995]',-0.029,-0.472,0.001,71.702,0.129
'[13:41:09.220 12/05/1995]',-0.035,-0.424,0.001,71.702,0.129
'[13:41:09.222 12/05/1995]',-0.035,-0.358,-0.005,71.702,0.129
'[13:41:09.224 12/05/1995]',-0.047,-0.293,-0.011,71.327,0.377
'[13:41:09.226 12/05/1995]',-0.065,-0.228,-0.035,71.327,0.377
'[13:41:09.228 12/05/1995]',-0.077,-0.146,-0.070,71.327,0.377
'[13:41:09.230 12/05/1995]',-0.094,-0.080,-0.087,71.327,0.377
'[13:41:09.232 12/05/1995]',-0.094,-0.031,-0.087,71.027,0.727
'[13:41:09.234 12/05/1995]',-0.094,0.001,-0.087,71.027,0.727
'[13:41:09.236 12/05/1995]',-0.088,0.001,-0.076,71.027,0.727
'[13:41:09.238 12/05/1995]',-0.077,0.017,-0.076,71.027,0.727
'[13:41:09.240 12/05/1995]',-0.077,0.017,-0.070,70.727,1.024
'[13:41:09.242 12/05/1995]',-0.077,0.017,-0.070,70.727,1.024
'[13:41:09.244 12/05/1995]',-0.071,0.017,-0.070,70.727,1.024
'[13:41:09.246 12/05/1995]',-0.071,0.017,-0.064,70.727,1.024
'[13:41:09.248 12/05/1995]',-0.077,0.017,-0.064,70.352,1.024
'[13:41:09.250 12/05/1995]',-0.071,0.017,-0.070,70.352,1.024
'[13:41:09.252 12/05/1995]',-0.071,0.017,-0.052,70.352,1.024
'[13:41:09.254 12/05/1995]',-0.065,0.017,-0.052,70.352,1.024
'[13:41:09.256 12/05/1995]',-0.065,0.017,-0.052,69.902,1.024
'[13:41:09.258 12/05/1995]',-0.065,0.017,-0.064,69.902,1.024
'[13:41:09.260 12/05/1995]',-0.065,0.017,-0.064,69.902,1.024
'[13:41:09.262 12/05/1995]',-0.065,0.017,-0.070,69.902,1.024
'[13:41:09.264 12/05/1995]',-0.071,0.017,-0.070,69.527,1.024
'[13:41:09.266 12/05/1995]',-0.053,0.017,-0.052,69.527,1.024
'[13:41:09.268 12/05/1995]',-0.053,0.017,-0.052,69.527,1.024
'[13:41:09.270 12/05/1995]',-0.053,0.017,-0.052,69.527,1.024
'[13:41:09.272 12/05/1995]',-0.053,0.017,-0.052,69.152,1.024
'[13:41:09.274 12/05/1995]',-0.053,0.017,-0.052,69.152,1.024
'[13:41:09.276 12/05/1995]',-0.065,0.034,-0.064,69.152,1.024
'[13:41:09.278 12/05/1995]',-0.065,0.034,-0.064,69.152,1.024
'[13:41:09.280 12/05/1995]',-0.065,0.034,-0.064,68.777,1.024
'[13:41:09.282 12/05/1995]',-0.071,0.034,-0.064,68.777,1.024
'[13:41:09.284 12/05/1995]',-0.065,0.050,-0.064,68.777,1.024
'[13:41:09.286 12/05/1995]',-0.053,0.050,-0.052,68.777,1.024
'[13:41:09.288 12/05/1995]',-0.053,0.050,-0.046,68.327,1.024
'[13:41:09.290 12/05/1995]',-0.053,0.050,-0.052,68.327,1.024
'[13:41:09.292 12/05/1995]',-0.053,0.050,-0.052,68.327,1.024
'[13:41:09.294 12/05/1995]',-0.047,0.034,-0.052,68.327,1.024
'[13:41:09.296 12/05/1995]',-0.053,0.034,-0.070,68.027,1.024
'[13:41:09.298 12/05/1995]',-0.053,0.034,-0.070,68.027,1.024
'[13:41:09.300 12/05/1995]',-0.053,0.034,-0.070,68.027,1.024
'[13:41:09.302 12/05/1995]',-0.053,0.034,-0.064,68.027,1.024
'[13:41:09.304 12/05/1995]',-0.053,0.034,-0.052,67.577,1.024
'[13:41:09.306 12/05/1995]',-0.053,0.050,-0.064,67.577,1.024
'[13:41:09.308 12/05/1995]',-0.053,0.050,-0.064,67.577,1.024
'[13:41:09.310 12/05/1995]',-0.053,0.050,-0.070,67.577,1.024
'[13:41:09.312 12/05/1995]',-0.047,0.050,-0.064,67.127,1.024
'[13:41:09.314 12/05/1995]',-0.053,0.066,-0.064,67.127,1.024
'[13:41:09.316 12/05/1995]',-0.047,0.066,-0.064,67.127,1.024
'[13:41:09.318 12/05/1995]',-0.053,0.050,-0.064,67.127,1.024
'[13:41:09.320 12/05/1995]',-0.047,0.050,-0.064,66.752,1.024
'[13:41:09.322 12/05/1995]',-0.047,0.050,-0.064,66.752,1.024
'[13:41:09.324 12/05/1995]',-0.047,0.050,-0.070,66.752,1.024
'[13:41:09.326 12/05/1995]',-0.047,0.050,-0.070,66.752,1.024
'[13:41:09.328 12/05/1995]',-0.047,0.050,-0.070,66.377,1.024
'[13:41:09.330 12/05/1995]',-0.047,0.050,-0.070,66.377,1.024
'[13:41:09.332 12/05/1995]',-0.047,0.034,-0.070,66.377,1.024
'[13:41:09.334 12/05/1995]',-0.047,0.034,-0.070,66.377,1.024
'[13:41:09.336 12/05/1995]',-0.047,0.050,-0.070,65.927,1.024
'[13:41:09.338 12/05/1995]',-0.035,0.050,-0.064,65.927,1.024
'[13:41:09.340 12/05/1995]',-0.047,0.034,-0.064,65.927,1.024
'[13:41:09.342 12/05/1995]',-0.035,0.034,-0.064,65.927,1.024
'[13:41:09.344 12/05/1995]',-0.047,0.050,-0.064,65.627,1.024
'[13:41:09.346 12/05/1995]',-0.047,0.050,-0.070,65.627,1.024
'[13:41:09.348 12/05/1995]',-0.047,0.050,-0.064,65.627,1.024
'[13:41:09.350 12/05/1995]',-0.047,0.050,-0.064,65.627,1.024
'[13:41:09.352 12/05/1995]',-0.047,0.050,-0.064,65.477,1.024
'[13:41:09.354 12/05/1995]',-0.047,0.050,-0.052,65.477,1.024
'[13:41:09.356 12/05/1995]',-0.035,0.050,-0.052,65.477,1.024
'[13:41:09.358 12/05/1995]',-0.047,0.050,-0.052,65.477,1.024
'[13:41:09.360 12/05/1995]',-0.047,0.050,-0.064,65.702,1.024
'[13:41:09.362 12/05/1995]',-0.047,0.066,-0.064,65.702,1.024
'[13:41:09.364 12/05/1995]',-0.047,0.066,-0.064,65.702,1.024
'[13:41:09.366 12/05/1995]',-0.047,0.066,-0.070,65.702,1.024
'[13:41:09.368 12/05/1995]',-0.047,0.066,-0.064,66.677,1.024
'[13:41:09.370 12/05/1995]',-0.047,0.050,-0.052,66.677,1.024
'[13:41:09.372 12/05/1995]',-0.047,0.050,-0.052,66.677,1.024
'[13:41:09.374 12/05/1995]',-0.047,0.050,-0.052,66.677,1.024
'[13:41:09.376 12/05/1995]',-0.047,0.066,-0.064,68.852,1.024
'[13:41:09.378 12/05/1995]',-0.047,0.066,-0.052,68.852,1.024
'[13:41:09.380 12/05/1995]',-0.047,0.066,-0.064,68.852,1.024
'[13:41:09.382 12/05/1995]',-0.035,0.066,-0.052,68.852,1.024
'[13:41:09.384 12/05/1995]',-0.035,0.066,-0.052,73.277,1.024
'[13:41:09.386 12/05/1995]',-0.035,0.066,-0.052,73.277,1.024
'[13:41:09.388 12/05/1995]',-0.035,0.066,-0.046,73.277,1.024
'[13:41:09.390 12/05/1995]',-0.035,0.066,-0.052,73.277,1.024
'[13:41:09.392 12/05/1995]',-0.035,0.066,-0.046,80.027,1.024
'[13:41:09.394 12/05/1995]',-0.029,0.066,-0.052,80.027,1.024
'[13:41:09.396 12/05/1995]',-0.029,0.066,-0.046,80.027,1.024
'[13:41:09.398 12/05/1995]',-0.035,0.066,-0.046,80.027,1.024
'[13:41:09.400 12/05/1995]',-0.035,0.066,-0.046,88.427,1.024
'[13:41:09.402 12/05/1995]',-0.035,0.066,-0.035,88.427,1.024
'[13:41:09.404 12/05/1995]',-0.029,0.050,-0.046,88.427,1.024
'[13:41:09.406 12/05/1995]',-0.029,0.050,-0.035,88.427,1.024
'[13:41:09.408 12/05/1995]',-0.023,0.050,-0.035,97.127,1.024
'[13:41:09.410 12/05/1995]',-0.023,0.050,-0.029,97.127,1.024
'[13:41:09.412 12/05/1995]',-0.023,0.050,-0.035,97.127,1.024
'[13:41:09.414 12/05/1995]',-0.023,0.050,-0.029,97.127,1.024
'[13:41:09.416 12/05/1995]',-0.023,0.050,-0.029,104.853,1.024
'[13:41:09.418 12/05/1995]',-0.023,0.050,-0.029,104.853,1.024
'[13:41:09.420 12/05/1995]',-0.023,0.050,-0.023,104.853,1.024
'[13:41:09.422 12/05/1995]',-0.011,0.050,-0.023,104.853,1.024
'[13:41:09.424 12/05/1995]',-0.011,0.050,-0.023,111.378,1.024
'[13:41:09.426 12/05/1995]',-0.011,0.050,-0.023,111.378,1.024
'[13:41:09.428 12/05/1995]',-0.011,0.050,-0.023,111.378,1.024
'[13:41:09.430 12/05/1995]',-0.005,0.050,-0.023,111.378,1.024
'[13:41:09.432 12/05/1995]',-0.005,0.050,-0.023,116.703,1.024
'[13:41:09.434 12/05/1995]',-0.005,0.050,-0.011,116.703,1.024
'[13:41:09.436 12/05/1995]',-0.005,0.034,-0.011,116.703,1.024
'[13:41:09.438 12/05/1995]',-0.005,0.034,-0.005,116.703,1.024
'[13:41:09.440 12/05/1995]',0.001,0.050,-0.005,120.828,1.024
'[13:41:09.442 12/05/1995]',-0.005,0.050,-0.005,120.828,1.024
'[13:41:09.444 12/05/1995]',0.001,0.066,0.001,120.828,1.024
'[13:41:09.446 12/05/1995]',0.001,0.083,0.006,120.828,1.024
'[13:41:09.448 12/05/1995]',0.001,0.099,0.012,123.753,1.024
'[13:41:09.450 12/05/1995]',0.001,0.099,0.006,123.753,1.024
'[13:41:09.452 12/05/1995]',0.001,0.083,0.012,123.753,1.024
'[13:41:09.454 12/05/1995]',0.001,0.066,0.012,123.753,1.024
'[13:41:09.456 12/05/1995]',0.001,0.066,0.012,125.628,1.024
'[13:41:09.458 12/05/1995]',0.001,0.066,0.024,125.628,1.024
'[13:41:09.460 12/05/1995]',0.006,0.050,0.012,125.628,1.024
'[13:41:09.462 12/05/1995]',0.012,0.034,0.006,125.628,1.024
'[13:41:09.464 12/05/1995]',0.012,0.017,0.006,126.903,1.024
'[13:41:09.466 12/05/1995]',0.012,0.017,0.006,126.903,1.024
'[13:41:09.468 12/05/1995]',0.012,0.017,0.012,126.903,1.024
'[13:41:09.470 12/05/1995]',0.006,0.017,0.012,126.903,1.024
'[13:41:09.472 12/05/1995]',0.024,0.017,0.024,127.803,1.024
'[13:41:09.474 12/05/1995]',0.012,0.001,0.012,127.803,1.024
'[13:41:09.476 12/05/1995]',0.024,0.001,0.012,127.803,1.024
'[13:41:09.478 12/05/1995]',0.024,-0.015,0.006,127.803,1.024
'[13:41:09.480 12/05/1995]',0.024,-0.015,0.012,128.253,1.024
'[13:41:09.482 12/05/1995]',0.030,-0.015,0.012,128.253,1.024
'[13:41:09.484 12/05/1995]',0.024,-0.015,0.012,128.253,1.024
'[13:41:09.486 12/05/1995]',0.024,-0.015,0.012,128.253,1.024
'[13:41:09.488 12/05/1995]',0.024,0.001,0.012,128.403,1.024
'[13:41:09.490 12/05/1995]',0.012,0.001,0.012,128.403,1.024
'[13:41:09.492 12/05/1995]',0.024,0.001,0.012,128.403,1.024
'[13:41:09.494 12/05/1995]',0.012,0.001,0.012,128.403,1.024
'[13:41:09.496 12/05/1995]',0.024,0.017,0.012,128.103,1.024
'[13:41:09.498 12/05/1995]',0.024,0.001,0.012,128.103,1.024
'[13:41:09.500 12/05/1995]',0.012,0.001,0.012,128.103,1.024
'[13:41:09.502 12/05/1995]',0.012,0.001,0.012,128.103,1.024
'[13:41:09.504 12/05/1995]',0.012,0.001,0.012,127.653,1.024
'[13:41:09.506 12/05/1995]',0.012,0.001,0.012,127.653,1.024
'[13:41:09.508 12/05/1995]',0.012,0.001,0.012,127.653,1.024
'[13:41:09.510 12/05/1995]',0.012,0.001,0.012,127.653,1.024
'[13:41:09.512 12/05/1995]',0.012,0.001,0.006,126.753,-0.077
'[13:41:09.514 12/05/1995]',0.006,0.001,0.006,126.753,-0.077
'[13:41:09.516 12/05/1995]',0.024,0.001,0.006,126.753,-0.077
'[13:41:09.518 12/05/1995]',0.012,0.001,0.006,126.753,-0.077
'[13:41:09.520 12/05/1995]',0.006,0.001,0.006,125.703,-
'[13:41:09.522 12/05/1995]',0.012,0.001,0.006,125.703,-
'[13:41:09.524 12/05/1995]',0.012,0.001,0.006,125.703,-
'[13:41:09.526 12/05/1995]',0.006,0.001,0.006,125.703,-
'[13:41:09.528 12/05/1995]',0.006,0.001,0.006,124.503,-
'[13:41:09.530 12/05/1995]',0.006,0.001,0.006,124.503,-
'[13:41:09.532 12/05/1995]',0.001,0.001,0.001,124.503,-
'[13:41:09.534 12/05/1995]',0.001,0.001,0.001,124.503,-
'[13:41:09.536 12/05/1995]',0.001,0.001,0.001,123.153,-
'[13:41:09.538 12/05/1995]',0.001,0.001,0.001,123.153,-
'[13:41:09.540 12/05/1995]',0.001,0.001,0.001,123.153,-
'[13:41:09.542 12/05/1995]',0.001,0.001,0.001,123.153,-
'[13:41:09.544 12/05/1995]',-0.005,0.001,0.001,121.428,-
'[13:41:09.546 12/05/1995]',0.001,0.001,-0.005,121.428,-
'[13:41:09.548 12/05/1995]',0.001,0.001,-0.005,121.428,-
'[13:41:09.550 12/05/1995]',0.001,0.001,0.001,121.428,-
'[13:41:09.552 12/05/1995]',-0.005,0.017,0.001,119.553,-
'[13:41:09.554 12/05/1995]',0.001,0.034,0.006,119.553,-
'[13:41:09.556 12/05/1995]',-0.005,0.034,0.006,119.553,-
'[13:41:09.558 12/05/1995]',-0.005,0.034,0.006,119.553,-
'[13:41:09.560 12/05/1995]',0.001,0.034,0.006,117.453,-
'[13:41:09.562 12/05/1995]',-0.005,0.017,-0.005,117.453,-
'[13:41:09.564 12/05/1995]',-0.005,0.017,0.001,117.453,-
'[13:41:09.566 12/05/1995]',-0.005,0.017,-0.005,117.453,-
'[13:41:09.568 12/05/1995]',0.001,0.001,-0.005,115.053,-
'[13:41:09.570 12/05/1995]',-0.005,-0.015,-0.005,115.053,-
'[13:41:09.572 12/05/1995]',0.001,-0.015,-0.005,115.053,-
'[13:41:09.574 12/05/1995]',-0.005,-0.015,-0.005,115.053,-
'[13:41:09.576 12/05/1995]',-0.005,-0.015,-0.005,112.353,-
'[13:41:09.578 12/05/1995]',-0.005,-0.015,-0.011,112.353,-
'[13:41:09.580 12/05/1995]',-0.005,-0.015,-0.011,112.353,-
'[13:41:09.582 12/05/1995]',-0.005,-0.015,-0.011,112.353,-
'[13:41:09.584 12/05/1995]',-0.005,-0.015,-0.005,109.203,-
'[13:41:09.586 12/05/1995]',-0.005,-0.015,-0.005,109.203,-
'[13:41:09.588 12/05/1995]',-0.005,-0.015,-0.005,109.203,-
'[13:41:09.590 12/05/1995]',-0.005,-0.015,-0.005,109.203,-
'[13:41:09.592 12/05/1995]',-0.005,0.001,-0.005,105.528,-
'[13:41:09.594 12/05/1995]',-0.005,0.001,-0.005,105.528,-
'[13:41:09.596 12/05/1995]',-0.005,0.001,-0.011,105.528,-
'[13:41:09.598 12/05/1995]',-0.005,0.001,-0.011,105.528,-
'[13:41:09.600 12/05/1995]',-0.005,0.001,-0.005,101.553,-
'[13:41:09.602 12/05/1995]',-0.005,0.001,-0.005,101.553,-
'[13:41:09.604 12/05/1995]',-0.005,0.001,-0.005,101.553,-
'[13:41:09.606 12/05/1995]',-0.005,0.001,-0.005,101.553,-
'[13:41:09.608 12/05/1995]',-0.005,0.001,-0.005,97.727,-
'[13:41:09.610 12/05/1995]',-0.011,0.001,-0.011,97.727,-
'[13:41:09.612 12/05/1995]',-0.011,0.001,-0.011,97.727,-
'[13:41:09.614 12/05/1995]',-0.011,0.001,-0.005,97.727,-
'[13:41:09.616 12/05/1995]',-0.005,0.001,-0.005,94.352,-
'[13:41:09.618 12/05/1995]',-0.005,0.001,-0.005,94.352,-
'[13:41:09.620 12/05/1995]',-0.005,0.001,-0.005,94.352,-
'[13:41:09.622 12/05/1995]',-0.011,0.001,-0.005,94.352,-
'[13:41:09.624 12/05/1995]',-0.011,0.001,-0.005,91.877,-
'[13:41:09.626 12/05/1995]',-0.011,0.017,-0.005,91.877,-
'[13:41:09.628 12/05/1995]',-0.011,0.017,-0.011,91.877,-
'[13:41:09.630 12/05/1995]',-0.011,0.017,-0.011,91.877,-
'[13:41:09.632 12/05/1995]',-0.011,0.017,-0.005,90.302,-
'[13:41:09.634 12/05/1995]',-0.023,0.001,-0.011,90.302,-
'[13:41:09.636 12/05/1995]',-0.011,0.001,-0.011,90.302,-
'[13:41:09.638 12/05/1995]',-0.023,0.001,-0.011,90.302,-
'[13:41:09.640 12/05/1995]',-0.011,0.001,-0.011,89.327,-
'[13:41:09.642 12/05/1995]',-0.011,0.001,-0.011,89.327,-
'[13:41:09.644 12/05/1995]',-0.011,0.001,-0.011,89.327,-
'[13:41:09.646 12/05/1995]',-0.011,0.001,-0.023,89.327,-
'[13:41:09.648 12/05/1995]',-0.023,0.001,-0.023,88.577,-
'[13:41:09.650 12/05/1995]',-0.011,0.001,-0.023,88.577,-
'[13:41:09.652 12/05/1995]',-0.011,0.001,-0.011,88.577,-
'[13:41:09.654 12/05/1995]',-0.011,0.001,-0.011,88.577,-
'[13:41:09.656 12/05/1995]',-0.011,0.001,-0.011,87.902,-
'[13:41:09.658 12/05/1995]',-0.011,0.001,-0.011,87.902,-
'[13:41:09.660 12/05/1995]',-0.011,0.001,-0.023,87.902,-
'[13:41:09.662 12/05/1995]',-0.023,0.001,-0.023,87.902,-
'[13:41:09.664 12/05/1995]',-0.011,0.001,-0.023,87.302,-
'[13:41:09.666 12/05/1995]',-0.011,0.001,-0.023,87.302,-
'[13:41:09.668 12/05/1995]',-0.023,0.001,-0.023,87.302,-
'[13:41:09.670 12/05/1995]',-0.023,0.001,-0.023,87.302,-
'[13:41:09.672 12/05/1995]',-0.011,0.001,-0.011,86.852,-
'[13:41:09.674 12/05/1995]',-0.023,0.001,-0.011,86.852,-
'[13:41:09.676 12/05/1995]',-0.023,0.001,-0.023,86.852,-
'[13:41:09.678 12/05/1995]',-0.023,0.001,-0.023,86.852,-
'[13:41:09.680 12/05/1995]',-0.023,0.001,-0.023,86.477,-
'[13:41:09.682 12/05/1995]',-0.023,0.001,-0.023,86.477,-
'[13:41:09.684 12/05/1995]',-0.023,0.001,-0.023,86.477,-
'[13:41:09.686 12/05/1995]',-0.023,0.001,-0.023,86.477,-
'[13:41:09.688 12/05/1995]',-0.011,0.001,-0.023,85.952,-
'[13:41:09.690 12/05/1995]',-0.023,0.001,-0.011,85.952,-
'[13:41:09.692 12/05/1995]',-0.023,0.001,-0.023,85.952,-
'[13:41:09.694 12/05/1995]',-0.023,0.017,-0.023,85.952,-
'[13:41:09.696 12/05/1995]',-0.011,0.017,-0.011,85.577,-
'[13:41:09.698 12/05/1995]',-0.023,0.017,-0.011,85.577,-
'[13:41:09.700 12/05/1995]',-0.023,0.017,-0.023,85.577,-
'[13:41:09.702 12/05/1995]',-0.023,0.017,-0.011,85.577,-
'[13:41:09.704 12/05/1995]',-0.023,0.001,-0.011,85.127,-
