'Time and date','II','MCL1','V','ABP','RESP'
'[13:00:22.092 19/05/1995]',0.084,0.134,0.126,70.500,-0.583
'[13:00:22.094 19/05/1995]',0.082,0.123,0.118,70.500,-0.583
'[13:00:22.096 19/05/1995]',0.080,0.123,0.110,78.850,-0.581
'[13:00:22.098 19/05/1995]',0.077,0.103,0.101,78.850,-0.581
'[13:00:22.100 19/05/1995]',0.074,0.113,0.110,78.850,-0.581
'[13:00:22.102 19/05/1995]',0.072,0.103,0.093,78.850,-0.581
'[13:00:22.104 19/05/1995]',0.069,0.103,0.093,87.350,-0.580
'[13:00:22.106 19/05/1995]',0.066,0.103,0.084,87.350,-0.580
'[13:00:22.108 19/05/1995]',0.064,0.082,0.084,87.350,-0.580
'[13:00:22.110 19/05/1995]',0.061,0.082,0.076,87.350,-0.580
'[13:00:22.112 19/05/1995]',0.059,0.082,0.076,94.950,-0.578
'[13:00:22.114 19/05/1995]',0.056,0.072,0.076,94.950,-0.578
'[13:00:22.116 19/05/1995]',0.053,0.072,0.076,94.950,-0.578
'[13:00:22.118 19/05/1995]',0.051,0.072,0.076,94.950,-0.578
'[13:00:22.120 19/05/1995]',0.048,0.072,0.068,101.300,-0.577
'[13:00:22.122 19/05/1995]',0.046,0.052,0.059,101.300,-0.577
'[13:00:22.124 19/05/1995]',0.043,0.052,0.059,101.300,-0.577
'[13:00:22.126 19/05/1995]',0.041,0.052,0.051,101.300,-0.577
'[13:00:22.128 19/05/1995]',0.038,0.041,0.042,106.250,-0.575
'[13:00:22.130 19/05/1995]',0.036,0.031,0.034,106.250,-0.575
'[13:00:22.132 19/05/1995]',0.033,0.031,0.034,106.250,-0.575
'[13:00:22.134 19/05/1995]',0.029,0.031,0.026,106.250,-0.575
'[13:00:22.136 19/05/1995]',0.026,0.031,0.026,109.900,-0.573
'[13:00:22.138 19/05/1995]',0.022,0.031,0.026,109.900,-0.573
'[13:00:22.140 19/05/1995]',0.019,0.021,0.017,109.900,-0.573
'[13:00:22.142 19/05/1995]',0.016,0.021,0.009,109.900,-0.573
'[13:00:22.144 19/05/1995]',0.015,0.011,0.009,112.200,-0.570
'[13:00:22.146 19/05/1995]',0.013,0.011,0.009,112.200,-0.570
'[13:00:22.148 19/05/1995]',0.012,0.011,0.001,112.200,-0.570
'[13:00:22.150 19/05/1995]',0.011,0.001,0.001,112.200,-0.570
'[13:00:22.152 19/05/1995]',0.011,0.001,0.001,113.200,-0.566
'[13:00:22.154 19/05/1995]',0.011,0.001,0.001,113.200,-0.566
'[13:00:22.156 19/05/1995]',0.010,-0.009,0.001,113.200,-0.566
'[13:00:22.158 19/05/1995]',0.010,-0.009,0.001,113.200,-0.566
'[13:00:22.160 19/05/1995]',0.010,-0.009,-0.008,113.100,-0.562
'[13:00:22.162 19/05/1995]',0.010,-0.009,-0.008,113.100,-0.562
'[13:00:22.164 19/05/1995]',0.010,-0.009,-0.008,113.100,-0.562
'[13:00:22.166 19/05/1995]',0.009,-0.009,0.001,113.100,-0.562
'[13:00:22.168 19/05/1995]',0.008,0.001,-0.008,112.100,-0.560
'[13:00:22.170 19/05/1995]',0.007,-0.009,-0.008,112.100,-0.560
'[13:00:22.172 19/05/1995]',0.006,-0.020,-0.016,112.100,-0.560
'[13:00:22.174 19/05/1995]',0.004,-0.020,-0.016,112.100,-0.560
'[13:00:22.176 19/05/1995]',0.003,-0.030,-0.016,110.400,-0.558
'[13:00:22.178 19/05/1995]',0.001,-0.030,-0.024,110.400,-0.558
'[13:00:22.180 19/05/1995]',0.001,-0.030,-0.024,110.400,-0.558
'[13:00:22.182 19/05/1995]',0.001,-0.030,-0.033,110.400,-0.558
'[13:00:22.184 19/05/1995]',0.001,-0.030,-0.024,108.150,-0.556
'[13:00:22.186 19/05/1995]',0.001,-0.030,-0.024,108.150,-0.556
'[13:00:22.188 19/05/1995]',0.002,-0.030,-0.024,108.150,-0.556
'[13:00:22.190 19/05/1995]',0.002,-0.030,-0.024,108.150,-0.556
'[13:00:22.192 19/05/1995]',0.002,-0.030,-0.024,105.450,-0.555
'[13:00:22.194 19/05/1995]',0.001,-0.030,-0.016,105.450,-0.555
'[13:00:22.196 19/05/1995]',0.001,-0.030,-0.024,105.450,-0.555
'[13:00:22.198 19/05/1995]',0.000,-0.030,-0.024,105.450,-0.555
'[13:00:22.200 19/05/1995]',-0.001,-0.030,-0.024,102.450,-0.553
'[13:00:22.202 19/05/1995]',-0.001,-0.030,-0.024,102.450,-0.553
'[13:00:22.204 19/05/1995]',-0.002,-0.030,-0.024,102.450,-0.553
'[13:00:22.206 19/05/1995]',-0.002,-0.030,-0.033,102.450,-0.553
'[13:00:22.208 19/05/1995]',-0.003,-0.030,-0.041,99.100,-0.551
'[13:00:22.210 19/05/1995]',-0.003,-0.040,-0.041,99.100,-0.551
'[13:00:22.212 19/05/1995]',-0.003,-0.040,-0.041,99.100,-0.551
'[13:00:22.214 19/05/1995]',-0.002,-0.040,-0.041,99.100,-0.551
'[13:00:22.216 19/05/1995]',-0.001,-0.040,-0.041,95.500,-0.549
'[13:00:22.218 19/05/1995]',0.000,-0.040,-0.041,95.500,-0.549
'[13:00:22.220 19/05/1995]',0.001,-0.050,-0.041,95.500,-0.549
'[13:00:22.222 19/05/1995]',0.003,-0.030,-0.033,95.500,-0.549
'[13:00:22.224 19/05/1995]',0.004,-0.040,-0.041,91.450,-0.547
'[13:00:22.226 19/05/1995]',0.005,-0.030,-0.033,91.450,-0.547
'[13:00:22.228 19/05/1995]',0.005,-0.030,-0.033,91.450,-0.547
'[13:00:22.230 19/05/1995]',0.006,-0.030,-0.024,91.450,-0.547
'[13:00:22.232 19/05/1995]',0.005,-0.030,-0.033,87.050,-0.545
'[13:00:22.234 19/05/1995]',0.005,-0.030,-0.033,87.050,-0.545
'[13:00:22.236 19/05/1995]',0.005,-0.030,-0.033,87.050,-0.545
'[13:00:22.238 19/05/1995]',0.006,-0.030,-0.033,87.050,-0.545
'[13:00:22.240 19/05/1995]',0.007,-0.030,-0.024,82.400,-0.543
'[13:00:22.242 19/05/1995]',0.008,-0.030,-0.033,82.400,-0.543
'[13:00:22.244 19/05/1995]',0.009,-0.030,-0.033,82.400,-0.543
'[13:00:22.246 19/05/1995]',0.011,-0.040,-0.041,82.400,-0.543
'[13:00:22.248 19/05/1995]',0.013,-0.040,-0.033,77.800,-0.541
'[13:00:22.250 19/05/1995]',0.015,-0.040,-0.033,77.800,-0.541
'[13:00:22.252 19/05/1995]',0.019,-0.030,-0.033,77.800,-0.541
'[13:00:22.254 19/05/1995]',0.022,-0.030,-0.033,77.800,-0.541
'[13:00:22.256 19/05/1995]',0.026,-0.030,-0.033,73.450,-0.539
'[13:00:22.258 19/05/1995]',0.029,-0.040,-0.033,73.450,-0.539
'[13:00:22.260 19/05/1995]',0.033,-0.030,-0.033,73.450,-0.539
'[13:00:22.262 19/05/1995]',0.036,-0.030,-0.033,73.450,-0.539
'[13:00:22.264 19/05/1995]',0.038,-0.030,-0.033,69.900,-0.538
'[13:00:22.266 19/05/1995]',0.039,-0.030,-0.041,69.900,-0.538
'[13:00:22.268 19/05/1995]',0.040,-0.030,-0.033,69.900,-0.538
'[13:00:22.270 19/05/1995]',0.041,-0.030,-0.050,69.900,-0.538
'[13:00:22.272 19/05/1995]',0.040,-0.030,-0.050,67.250,-0.537
'[13:00:22.274 19/05/1995]',0.039,-0.030,-0.050,67.250,-0.537
'[13:00:22.276 19/05/1995]',0.035,-0.030,-0.050,67.250,-0.537
'[13:00:22.278 19/05/1995]',0.032,-0.030,-0.050,67.250,-0.537
'[13:00:22.280 19/05/1995]',0.028,-0.030,-0.050,65.650,-0.536
'[13:00:22.282 19/05/1995]',0.024,-0.030,-0.050,65.650,-0.536
'[13:00:22.284 19/05/1995]',0.021,-0.030,-0.050,65.650,-0.536
'[13:00:22.286 19/05/1995]',0.017,-0.030,-0.041,65.650,-0.536
'[13:00:22.288 19/05/1995]',0.014,-0.030,-0.041,65.050,-0.536
'[13:00:22.290 19/05/1995]',0.011,-0.030,-0.041,65.050,-0.536
'[13:00:22.292 19/05/1995]',0.009,-0.030,-0.041,65.050,-0.536
'[13:00:22.294 19/05/1995]',0.006,-0.030,-0.041,65.050,-0.536
'[13:00:22.296 19/05/1995]',0.004,-0.030,-0.041,65.200,-0.535
'[13:00:22.298 19/05/1995]',0.002,-0.030,-0.041,65.200,-0.535
'[13:00:22.300 19/05/1995]',-0.000,-0.040,-0.041,65.200,-0.535
'[13:00:22.302 19/05/1995]',-0.003,-0.030,-0.041,65.200,-0.535
'[13:00:22.304 19/05/1995]',-0.005,-0.030,-0.041,65.800,-0.533
'[13:00:22.306 19/05/1995]',-0.008,-0.030,-0.041,65.800,-0.533
'[13:00:22.308 19/05/1995]',-0.010,-0.040,-0.041,65.800,-0.533
'[13:00:22.310 19/05/1995]',-0.011,-0.040,-0.041,65.800,-0.533
'[13:00:22.312 19/05/1995]',-0.013,-0.040,-0.041,66.550,-0.531
'[13:00:22.314 19/05/1995]',-0.014,-0.040,-0.033,66.550,-0.531
'[13:00:22.316 19/05/1995]',-0.014,-0.030,-0.033,66.550,-0.531
'[13:00:22.318 19/05/1995]',-0.014,-0.030,-0.033,66.550,-0.531
'[13:00:22.320 19/05/1995]',-0.014,-0.040,-0.033,67.400,-0.529
'[13:00:22.322 19/05/1995]',-0.014,-0.030,-0.033,67.400,-0.529
'[13:00:22.324 19/05/1995]',-0.014,-0.030,-0.024,67.400,-0.529
'[13:00:22.326 19/05/1995]',-0.014,-0.030,-0.033,67.400,-0.529
'[13:00:22.328 19/05/1995]',-0.014,-0.030,-0.024,68.250,-0.528
'[13:00:22.330 19/05/1995]',-0.014,-0.030,-0.024,68.250,-0.528
'[13:00:22.332 19/05/1995]',-0.013,-0.030,-0.024,68.250,-0.528
'[13:00:22.334 19/05/1995]',-0.013,-0.030,-0.024,68.250,-0.528
'[13:00:22.336 19/05/1995]',-0.012,-0.030,-0.024,68.900,-0.526
'[13:00:22.338 19/05/1995]',-0.011,-0.030,-0.024,68.900,-0.526
'[13:00:22.340 19/05/1995]',-0.011,-0.030,-0.024,68.900,-0.526
'[13:00:22.342 19/05/1995]',-0.010,-0.030,-0.024,68.900,-0.526
'[13:00:22.344 19/05/1995]',-0.009,-0.030,-0.024,69.250,-0.525
'[13:00:22.346 19/05/1995]',-0.007,-0.030,-0.024,69.250,-0.525
'[13:00:22.348 19/05/1995]',-0.006,-0.030,-0.024,69.250,-0.525
'[13:00:22.350 19/05/1995]',-0.004,-0.030,-0.016,69.250,-0.525
'[13:00:22.352 19/05/1995]',-0.002,-0.030,-0.016,69.350,-0.524
'[13:00:22.354 19/05/1995]',0.000,-0.030,-0.024,69.350,-0.524
'[13:00:22.356 19/05/1995]',0.001,-0.030,-0.016,69.350,-0.524
'[13:00:22.358 19/05/1995]',0.003,-0.030,-0.024,69.350,-0.524
'[13:00:22.360 19/05/1995]',0.004,-0.030,-0.016,69.250,-0.523
'[13:00:22.362 19/05/1995]',0.004,-0.030,-0.016,69.250,-0.523
'[13:00:22.364 19/05/1995]',0.004,-0.020,-0.016,69.250,-0.523
'[13:00:22.366 19/05/1995]',0.004,-0.030,-0.016,69.250,-0.523
'[13:00:22.368 19/05/1995]',0.004,-0.030,-0.016,68.950,-0.522
'[13:00:22.370 19/05/1995]',0.004,-0.020,-0.016,68.950,-0.522
'[13:00:22.372 19/05/1995]',0.005,-0.030,-0.016,68.950,-0.522
'[13:00:22.374 19/05/1995]',0.006,-0.020,-0.016,68.950,-0.522
'[13:00:22.376 19/05/1995]',0.009,-0.020,-0.016,68.400,-0.521
'[13:00:22.378 19/05/1995]',0.011,-0.020,-0.016,68.400,-0.521
'[13:00:22.380 19/05/1995]',0.014,-0.020,-0.016,68.400,-0.521
'[13:00:22.382 19/05/1995]',0.016,-0.020,-0.016,68.400,-0.521
'[13:00:22.384 19/05/1995]',0.019,-0.020,-0.016,67.700,-0.520
'[13:00:22.386 19/05/1995]',0.022,-0.009,-0.008,67.700,-0.520
'[13:00:22.388 19/05/1995]',0.024,0.001,-0.008,67.700,-0.520
'[13:00:22.390 19/05/1995]',0.026,0.001,0.001,67.700,-0.520
'[13:00:22.392 19/05/1995]',0.025,0.021,0.017,66.850,-0.520
'[13:00:22.394 19/05/1995]',0.024,0.041,0.051,66.850,-0.520
'[13:00:22.396 19/05/1995]',0.016,0.072,0.084,66.850,-0.520
'[13:00:22.398 19/05/1995]',0.009,0.103,0.126,66.850,-0.520
'[13:00:22.400 19/05/1995]',-0.006,0.144,0.168,65.900,-0.520
'[13:00:22.402 19/05/1995]',-0.021,0.174,0.227,65.900,-0.520
'[13:00:22.404 19/05/1995]',-0.044,0.215,0.268,65.900,-0.520
'[13:00:22.406 19/05/1995]',-0.066,0.225,0.302,65.900,-0.520
'[13:00:22.408 19/05/1995]',-0.093,0.246,0.335,64.950,-0.520
'[13:00:22.410 19/05/1995]',-0.120,0.246,0.360,64.950,-0.520
'[13:00:22.412 19/05/1995]',-0.148,0.256,0.377,64.950,-0.520
'[13:00:22.414 19/05/1995]',-0.177,0.225,0.377,64.950,-0.520
'[13:00:22.416 19/05/1995]',-0.204,0.215,0.394,64.000,-0.520
'[13:00:22.418 19/05/1995]',-0.231,0.205,0.394,64.000,-0.520
'[13:00:22.420 19/05/1995]',-0.255,0.164,0.377,64.000,-0.520
'[13:00:22.422 19/05/1995]',-0.278,0.113,0.327,64.000,-0.520
'[13:00:22.424 19/05/1995]',-0.295,0.062,0.268,63.150,-0.520
'[13:00:22.426 19/05/1995]',-0.312,0.001,0.193,63.150,-0.520
'[13:00:22.428 19/05/1995]',-0.322,-0.081,0.101,63.150,-0.520
'[13:00:22.430 19/05/1995]',-0.331,-0.162,0.001,63.150,-0.520
'[13:00:22.432 19/05/1995]',-0.331,-0.244,-0.092,62.300,-0.520
'[13:00:22.434 19/05/1995]',-0.330,-0.315,-0.167,62.300,-0.520
'[13:00:22.436 19/05/1995]',-0.320,-0.367,-0.242,62.300,-0.520
'[13:00:22.438 19/05/1995]',-0.310,-0.408,-0.301,62.300,-0.520
'[13:00:22.440 19/05/1995]',-0.292,-0.428,-0.326,61.550,-0.520
'[13:00:22.442 19/05/1995]',-0.273,-0.418,-0.334,61.550,-0.520
'[13:00:22.444 19/05/1995]',-0.248,-0.397,-0.326,61.550,-0.520
'[13:00:22.446 19/05/1995]',-0.224,-0.356,-0.309,61.550,-0.520
'[13:00:22.448 19/05/1995]',-0.197,-0.336,-0.284,60.800,-0.521
'[13:00:22.450 19/05/1995]',-0.169,-0.295,-0.250,60.800,-0.521
'[13:00:22.452 19/05/1995]',-0.143,-0.265,-0.226,60.800,-0.521
'[13:00:22.454 19/05/1995]',-0.117,-0.224,-0.200,60.800,-0.521
'[13:00:22.456 19/05/1995]',-0.095,-0.193,-0.175,60.150,-0.522
'[13:00:22.458 19/05/1995]',-0.072,-0.162,-0.158,60.150,-0.522
'[13:00:22.460 19/05/1995]',-0.054,-0.142,-0.133,60.150,-0.522
'[13:00:22.462 19/05/1995]',-0.035,-0.112,-0.117,60.150,-0.522
'[13:00:22.464 19/05/1995]',-0.022,-0.101,-0.100,59.500,-0.523
'[13:00:22.466 19/05/1995]',-0.009,-0.071,-0.083,59.500,-0.523
'[13:00:22.468 19/05/1995]',0.000,-0.060,-0.075,59.500,-0.523
'[13:00:22.470 19/05/1995]',0.009,-0.050,-0.075,59.500,-0.523
'[13:00:22.472 19/05/1995]',0.015,-0.030,-0.066,59.000,-0.524
'[13:00:22.474 19/05/1995]',0.021,-0.030,-0.066,59.000,-0.524
'[13:00:22.476 19/05/1995]',0.026,-0.030,-0.058,59.000,-0.524
'[13:00:22.478 19/05/1995]',0.030,-0.030,-0.050,59.000,-0.524
'[13:00:22.480 19/05/1995]',0.034,-0.030,-0.050,58.400,-0.526
'[13:00:22.482 19/05/1995]',0.038,-0.020,-0.050,58.400,-0.526
'[13:00:22.484 19/05/1995]',0.040,-0.009,-0.041,58.400,-0.526
'[13:00:22.486 19/05/1995]',0.043,-0.009,-0.041,58.400,-0.526
'[13:00:22.488 19/05/1995]',0.045,-0.009,-0.033,57.850,-0.529
'[13:00:22.490 19/05/1995]',0.048,0.001,-0.033,57.850,-0.529
'[13:00:22.492 19/05/1995]',0.050,0.001,-0.033,57.850,-0.529
'[13:00:22.494 19/05/1995]',0.052,0.001,-0.024,57.850,-0.529
'[13:00:22.496 19/05/1995]',0.053,0.001,-0.024,57.400,-0.533
'[13:00:22.498 19/05/1995]',0.054,0.001,-0.024,57.400,-0.533
'[13:00:22.500 19/05/1995]',0.055,0.001,-0.024,57.400,-0.533
'[13:00:22.502 19/05/1995]',0.056,0.001,-0.016,57.400,-0.533
'[13:00:22.504 19/05/1995]',0.059,0.001,-0.024,56.950,-0.537
'[13:00:22.506 19/05/1995]',0.061,0.001,-0.016,56.950,-0.537
'[13:00:22.508 19/05/1995]',0.065,0.001,-0.016,56.950,-0.537
'[13:00:22.510 19/05/1995]',0.069,0.001,-0.008,56.950,-0.537
'[13:00:22.512 19/05/1995]',0.072,0.001,-0.016,56.450,-0.542
'[13:00:22.514 19/05/1995]',0.076,0.011,-0.008,56.450,-0.542
'[13:00:22.516 19/05/1995]',0.081,0.011,-0.008,56.450,-0.542
'[13:00:22.518 19/05/1995]',0.086,0.021,0.001,56.450,-0.542
'[13:00:22.520 19/05/1995]',0.090,0.031,0.001,56.000,-0.546
'[13:00:22.522 19/05/1995]',0.095,0.031,0.001,56.000,-0.546
'[13:00:22.524 19/05/1995]',0.100,0.031,0.001,56.000,-0.546
'[13:00:22.526 19/05/1995]',0.104,0.031,0.001,56.000,-0.546
'[13:00:22.528 19/05/1995]',0.108,0.041,0.001,55.650,-0.551
'[13:00:22.530 19/05/1995]',0.112,0.052,0.001,55.650,-0.551
'[13:00:22.532 19/05/1995]',0.114,0.052,0.001,55.650,-0.551
'[13:00:22.534 19/05/1995]',0.117,0.052,0.001,55.650,-0.551
'[13:00:22.536 19/05/1995]',0.119,0.062,0.001,55.300,-0.556
'[13:00:22.538 19/05/1995]',0.122,0.062,0.001,55.300,-0.556
'[13:00:22.540 19/05/1995]',0.122,0.072,0.009,55.300,-0.556
'[13:00:22.542 19/05/1995]',0.123,0.072,0.009,55.300,-0.556
'[13:00:22.544 19/05/1995]',0.123,0.072,0.017,55.000,-0.561
'[13:00:22.546 19/05/1995]',0.123,0.072,0.017,55.000,-0.561
'[13:00:22.548 19/05/1995]',0.123,0.082,0.026,55.000,-0.561
'[13:00:22.550 19/05/1995]',0.122,0.082,0.034,55.000,-0.561
'[13:00:22.552 19/05/1995]',0.122,0.093,0.042,54.800,-0.565
'[13:00:22.554 19/05/1995]',0.121,0.093,0.042,54.800,-0.565
'[13:00:22.556 19/05/1995]',0.120,0.103,0.051,54.800,-0.565
'[13:00:22.558 19/05/1995]',0.119,0.103,0.059,54.800,-0.565
'[13:00:22.560 19/05/1995]',0.118,0.103,0.068,54.700,-0.568
'[13:00:22.562 19/05/1995]',0.116,0.103,0.068,54.700,-0.568
'[13:00:22.564 19/05/1995]',0.114,0.113,0.076,54.700,-0.568
'[13:00:22.566 19/05/1995]',0.112,0.113,0.076,54.700,-0.568
'[13:00:22.568 19/05/1995]',0.110,0.123,0.084,54.700,-0.570
'[13:00:22.570 19/05/1995]',0.109,0.123,0.084,54.700,-0.570
'[13:00:22.572 19/05/1995]',0.107,0.134,0.093,54.700,-0.570
'[13:00:22.574 19/05/1995]',0.106,0.134,0.093,54.700,-0.570
'[13:00:22.576 19/05/1995]',0.105,0.134,0.101,55.100,-0.572
'[13:00:22.578 19/05/1995]',0.104,0.134,0.110,55.100,-0.572
'[13:00:22.580 19/05/1995]',0.104,0.134,0.110,55.100,-0.572
'[13:00:22.582 19/05/1995]',0.104,0.134,0.118,55.100,-0.572
'[13:00:22.584 19/05/1995]',0.103,0.144,0.118,56.150,-0.574
'[13:00:22.586 19/05/1995]',0.102,0.144,0.118,56.150,-0.574
'[13:00:22.588 19/05/1995]',0.101,0.144,0.126,56.150,-0.574
'[13:00:22.590 19/05/1995]',0.100,0.144,0.126,56.150,-0.574
'[13:00:22.592 19/05/1995]',0.098,0.144,0.126,58.450,-0.575
'[13:00:22.594 19/05/1995]',0.097,0.144,0.126,58.450,-0.575
'[13:00:22.596 19/05/1995]',0.095,0.144,0.118,58.450,-0.575
'[13:00:22.598 19/05/1995]',0.093,0.134,0.118,58.450,-0.575
'[13:00:22.600 19/05/1995]',0.092,0.144,0.118,62.650,-0.576
'[13:00:22.602 19/05/1995]',0.091,0.144,0.118,62.650,-0.576
'[13:00:22.604 19/05/1995]',0.089,0.134,0.118,62.650,-0.576
'[13:00:22.606 19/05/1995]',0.088,0.134,0.118,62.650,-0.576
'[13:00:22.608 19/05/1995]',0.087,0.123,0.118,68.950,-0.577
'[13:00:22.610 19/05/1995]',0.086,0.123,0.110,68.950,-0.577
'[13:00:22.612 19/05/1995]',0.084,0.123,0.110,68.950,-0.577
'[13:00:22.614 19/05/1995]',0.082,0.123,0.110,68.950,-0.577
'[13:00:22.616 19/05/1995]',0.080,0.113,0.101,76.800,-0.577
'[13:00:22.618 19/05/1995]',0.077,0.103,0.101,76.800,-0.577
'[13:00:22.620 19/05/1995]',0.074,0.103,0.093,76.800,-0.577
'[13:00:22.622 19/05/1995]',0.072,0.103,0.084,76.800,-0.577
'[13:00:22.624 19/05/1995]',0.069,0.103,0.093,85.100,-0.578
'[13:00:22.626 19/05/1995]',0.066,0.093,0.084,85.100,-0.578
'[13:00:22.628 19/05/1995]',0.064,0.093,0.076,85.100,-0.578
'[13:00:22.630 19/05/1995]',0.061,0.093,0.076,85.100,-0.578
'[13:00:22.632 19/05/1995]',0.057,0.082,0.076,92.800,-0.578
'[13:00:22.634 19/05/1995]',0.054,0.082,0.076,92.800,-0.578
'[13:00:22.636 19/05/1995]',0.051,0.082,0.076,92.800,-0.578
'[13:00:22.638 19/05/1995]',0.048,0.072,0.076,92.800,-0.578
'[13:00:22.640 19/05/1995]',0.045,0.072,0.068,99.350,-0.577
'[13:00:22.642 19/05/1995]',0.043,0.072,0.068,99.350,-0.577
'[13:00:22.644 19/05/1995]',0.040,0.062,0.051,99.350,-0.577
'[13:00:22.646 19/05/1995]',0.038,0.052,0.042,99.350,-0.577
'[13:00:22.648 19/05/1995]',0.035,0.062,0.042,104.700,-0.576
'[13:00:22.650 19/05/1995]',0.033,0.052,0.034,104.700,-0.576
'[13:00:22.652 19/05/1995]',0.030,0.052,0.034,104.700,-0.576
'[13:00:22.654 19/05/1995]',0.028,0.041,0.034,104.700,-0.576
'[13:00:22.656 19/05/1995]',0.026,0.031,0.026,108.650,-0.574
'[13:00:22.658 19/05/1995]',0.024,0.031,0.026,108.650,-0.574
'[13:00:22.660 19/05/1995]',0.023,0.031,0.017,108.650,-0.574
'[13:00:22.662 19/05/1995]',0.021,0.031,0.009,108.650,-0.574
'[13:00:22.664 19/05/1995]',0.019,0.021,0.009,111.350,-0.572
'[13:00:22.666 19/05/1995]',0.017,0.011,0.001,111.350,-0.572
'[13:00:22.668 19/05/1995]',0.016,0.011,0.001,111.350,-0.572
'[13:00:22.670 19/05/1995]',0.014,0.011,0.001,111.350,-0.572
'[13:00:22.672 19/05/1995]',0.013,0.001,0.001,112.850,-0.569
'[13:00:22.674 19/05/1995]',0.012,0.001,0.001,112.850,-0.569
'[13:00:22.676 19/05/1995]',0.011,0.001,0.001,112.850,-0.569
'[13:00:22.678 19/05/1995]',0.011,0.001,0.001,112.850,-0.569
'[13:00:22.680 19/05/1995]',0.010,0.001,0.001,113.100,-0.567
'[13:00:22.682 19/05/1995]',0.010,0.001,0.001,113.100,-0.567
'[13:00:22.684 19/05/1995]',0.010,0.001,0.001,113.100,-0.567
'[13:00:22.686 19/05/1995]',0.010,0.001,-0.008,113.100,-0.567
'[13:00:22.688 19/05/1995]',0.010,0.001,-0.008,112.600,-0.565
'[13:00:22.690 19/05/1995]',0.010,0.001,-0.008,112.600,-0.565
'[13:00:22.692 19/05/1995]',0.010,0.001,-0.008,112.600,-0.565
