'Time and date','MCL1 ','II ','V ','ABP ','PLETH '
'[11:00:26.114 11/05/1995]',0.032,0.002,0.023,180.400,-0.358
'[11:00:26.116 11/05/1995]',0.025,0.002,0.012,180.400,-0.358
'[11:00:26.118 11/05/1995]',0.032,0.002,0.023,180.400,-0.358
'[11:00:26.120 11/05/1995]',0.032,0.002,0.034,180.400,-0.329
'[11:00:26.122 11/05/1995]',0.032,0.002,0.057,180.400,-0.329
'[11:00:26.124 11/05/1995]',0.032,0.002,0.068,180.400,-0.329
'[11:00:26.126 11/05/1995]',0.032,0.002,0.057,180.400,-0.329
'[11:00:26.128 11/05/1995]',0.025,0.002,0.034,180.400,-0.291
'[11:00:26.130 11/05/1995]',0.013,0.002,0.001,180.400,-0.291
'[11:00:26.132 11/05/1995]',0.013,0.025,0.001,180.400,-0.291
'[11:00:26.134 11/05/1995]',0.013,0.002,0.001,180.400,-0.291
'[11:00:26.136 11/05/1995]',0.013,0.002,0.001,180.400,-0.247
'[11:00:26.138 11/05/1995]',0.013,0.002,0.034,180.400,-0.247
'[11:00:26.140 11/05/1995]',0.007,0.002,0.034,180.400,-0.247
'[11:00:26.142 11/05/1995]',0.013,0.002,0.034,180.400,-0.247
'[11:00:26.144 11/05/1995]',0.007,0.002,0.012,180.400,-0.198
'[11:00:26.146 11/05/1995]',0.007,0.002,0.001,180.400,-0.198
'[11:00:26.148 11/05/1995]',0.001,0.002,-0.010,180.400,-0.198
'[11:00:26.150 11/05/1995]',0.001,0.025,-0.021,180.400,-0.198
'[11:00:26.152 11/05/1995]',0.001,0.002,0.001,180.400,-0.141
'[11:00:26.154 11/05/1995]',-0.006,0.002,0.001,180.400,-0.141
'[11:00:26.156 11/05/1995]',0.001,0.002,0.023,180.400,-0.141
'[11:00:26.158 11/05/1995]',-0.006,0.002,0.023,180.400,-0.141
'[11:00:26.160 11/05/1995]',0.001,0.002,0.001,180.400,-0.080
'[11:00:26.162 11/05/1995]',-0.006,0.002,0.001,180.400,-0.080
'[11:00:26.164 11/05/1995]',-0.012,0.025,-0.033,180.400,-0.080
'[11:00:26.166 11/05/1995]',-0.012,0.025,-0.033,180.400,-0.080
'[11:00:26.168 11/05/1995]',-0.012,0.002,-0.021,180.400,-0.017
'[11:00:26.170 11/05/1995]',-0.012,0.002,-0.010,180.400,-0.017
'[11:00:26.172 11/05/1995]',-0.006,0.002,0.001,180.400,-0.017
'[11:00:26.174 11/05/1995]',-0.006,0.002,0.012,180.400,-0.017
'[11:00:26.176 11/05/1995]',-0.006,0.002,0.012,180.400,0.049
'[11:00:26.178 11/05/1995]',-0.012,0.002,0.001,180.400,0.049
'[11:00:26.180 11/05/1995]',-0.025,0.025,-0.033,180.400,0.049
'[11:00:26.182 11/05/1995]',-0.012,0.025,-0.033,180.400,0.049
'[11:00:26.184 11/05/1995]',-0.012,0.025,-0.033,180.400,0.115
'[11:00:26.186 11/05/1995]',-0.012,0.002,-0.021,180.400,0.115
'[11:00:26.188 11/05/1995]',-0.006,0.002,0.001,180.400,0.115
'[11:00:26.190 11/05/1995]',-0.006,0.002,0.001,180.400,0.115
'[11:00:26.192 11/05/1995]',-0.006,0.002,0.012,180.400,0.178
'[11:00:26.194 11/05/1995]',-0.012,0.002,0.001,180.400,0.178
'[11:00:26.196 11/05/1995]',-0.025,0.025,-0.021,180.400,0.178
'[11:00:26.198 11/05/1995]',-0.012,0.025,-0.033,180.400,0.178
'[11:00:26.200 11/05/1995]',-0.012,0.025,-0.033,180.400,0.238
'[11:00:26.202 11/05/1995]',-0.012,0.002,-0.033,180.400,0.238
'[11:00:26.204 11/05/1995]',-0.012,0.002,0.001,180.400,0.238
'[11:00:26.206 11/05/1995]',-0.012,0.002,0.001,180.400,0.238
'[11:00:26.208 11/05/1995]',-0.012,0.002,0.001,180.400,0.295
'[11:00:26.210 11/05/1995]',-0.012,0.002,0.001,180.400,0.295
'[11:00:26.212 11/05/1995]',-0.025,0.002,-0.021,180.400,0.295
'[11:00:26.214 11/05/1995]',-0.025,0.025,-0.033,180.400,0.295
'[11:00:26.216 11/05/1995]',-0.012,0.025,-0.044,180.400,0.344
'[11:00:26.218 11/05/1995]',-0.025,0.025,-0.033,180.400,0.344
'[11:00:26.220 11/05/1995]',-0.025,0.002,-0.010,180.400,0.344
'[11:00:26.222 11/05/1995]',-0.006,0.002,0.001,180.400,0.344
'[11:00:26.224 11/05/1995]',-0.012,0.002,0.012,180.400,0.391
'[11:00:26.226 11/05/1995]',-0.006,0.002,0.001,180.400,0.391
'[11:00:26.228 11/05/1995]',-0.012,0.002,0.001,180.400,0.391
'[11:00:26.230 11/05/1995]',-0.012,0.025,-0.033,180.400,0.391
'[11:00:26.232 11/05/1995]',-0.012,0.025,-0.033,180.400,0.426
'[11:00:26.234 11/05/1995]',-0.012,0.025,-0.033,180.400,0.426
'[11:00:26.236 11/05/1995]',-0.012,0.002,-0.021,180.400,0.426
'[11:00:26.238 11/05/1995]',-0.012,0.002,0.001,180.400,0.426
'[11:00:26.240 11/05/1995]',-0.012,0.002,0.001,180.400,0.458
'[11:00:26.242 11/05/1995]',-0.012,0.002,0.001,180.400,0.458
'[11:00:26.244 11/05/1995]',-0.012,0.002,0.001,180.400,0.458
'[11:00:26.246 11/05/1995]',-0.012,0.025,-0.033,180.400,0.458
'[11:00:26.248 11/05/1995]',-0.025,0.025,-0.044,180.400,0.482
'[11:00:26.250 11/05/1995]',-0.025,0.025,-0.044,180.400,0.482
'[11:00:26.252 11/05/1995]',-0.025,0.025,-0.033,180.400,0.482
'[11:00:26.254 11/05/1995]',-0.012,0.002,0.001,180.400,0.482
'[11:00:26.256 11/05/1995]',-0.012,0.002,0.001,180.400,0.497
'[11:00:26.258 11/05/1995]',-0.012,0.002,0.001,180.400,0.497
'[11:00:26.260 11/05/1995]',-0.012,0.002,0.001,180.400,0.497
'[11:00:26.262 11/05/1995]',-0.025,0.025,-0.021,180.400,0.497
'[11:00:26.264 11/05/1995]',-0.025,0.025,-0.044,180.400,0.508
'[11:00:26.266 11/05/1995]',-0.025,0.025,-0.044,180.400,0.508
'[11:00:26.268 11/05/1995]',-0.025,0.025,-0.033,180.400,0.508
'[11:00:26.270 11/05/1995]',-0.012,0.025,-0.021,180.400,0.508
'[11:00:26.272 11/05/1995]',-0.012,0.002,0.001,180.400,0.512
'[11:00:26.274 11/05/1995]',-0.012,0.002,0.001,180.400,0.512
'[11:00:26.276 11/05/1995]',-0.012,0.002,0.001,180.400,0.512
'[11:00:26.278 11/05/1995]',-0.006,0.025,-0.010,180.400,0.512
'[11:00:26.280 11/05/1995]',-0.012,0.025,-0.033,180.400,0.510
'[11:00:26.282 11/05/1995]',-0.025,0.025,-0.044,180.400,0.510
'[11:00:26.284 11/05/1995]',-0.012,0.025,-0.044,180.400,0.510
'[11:00:26.286 11/05/1995]',-0.012,0.025,-0.033,180.400,0.510
'[11:00:26.288 11/05/1995]',-0.012,0.002,0.001,180.400,0.501
'[11:00:26.290 11/05/1995]',-0.012,0.002,0.001,180.400,0.501
'[11:00:26.292 11/05/1995]',-0.012,0.002,0.001,180.400,0.501
'[11:00:26.294 11/05/1995]',-0.025,0.025,-0.010,180.400,0.501
'[11:00:26.296 11/05/1995]',-0.025,0.025,-0.033,180.400,0.487
'[11:00:26.298 11/05/1995]',-0.025,0.025,-0.044,180.400,0.487
'[11:00:26.300 11/05/1995]',-0.025,0.025,-0.044,180.400,0.487
'[11:00:26.302 11/05/1995]',-0.012,0.025,-0.033,180.400,0.487
'[11:00:26.304 11/05/1995]',-0.012,0.002,-0.010,180.400,0.470
'[11:00:26.306 11/05/1995]',-0.012,0.002,0.001,180.400,0.470
'[11:00:26.308 11/05/1995]',-0.012,0.002,0.001,180.400,0.470
'[11:00:26.310 11/05/1995]',-0.012,0.002,0.001,180.400,0.470
'[11:00:26.312 11/05/1995]',-0.012,0.025,-0.021,180.400,0.448
'[11:00:26.314 11/05/1995]',-0.025,0.025,-0.033,180.400,0.448
'[11:00:26.316 11/05/1995]',-0.012,0.025,-0.044,180.400,0.448
'[11:00:26.318 11/05/1995]',-0.025,0.025,-0.033,180.400,0.448
'[11:00:26.320 11/05/1995]',-0.012,0.002,-0.010,180.400,0.422
'[11:00:26.322 11/05/1995]',-0.012,0.002,0.001,180.400,0.422
'[11:00:26.324 11/05/1995]',-0.012,0.002,0.012,180.400,0.422
'[11:00:26.326 11/05/1995]',-0.012,0.002,0.001,180.400,0.422
'[11:00:26.328 11/05/1995]',-0.025,0.002,-0.010,180.400,0.392
'[11:00:26.330 11/05/1995]',-0.012,0.025,-0.033,180.400,0.392
'[11:00:26.332 11/05/1995]',-0.025,0.025,-0.044,180.400,0.392
'[11:00:26.334 11/05/1995]',-0.025,0.025,-0.033,180.400,0.392
'[11:00:26.336 11/05/1995]',-0.025,0.002,-0.021,180.400,0.357
'[11:00:26.338 11/05/1995]',-0.012,0.002,0.001,180.400,0.357
'[11:00:26.340 11/05/1995]',-0.012,0.002,0.001,180.400,0.357
'[11:00:26.342 11/05/1995]',-0.012,0.002,0.001,180.400,0.357
'[11:00:26.344 11/05/1995]',-0.012,0.002,0.001,180.400,0.323
'[11:00:26.346 11/05/1995]',-0.012,0.025,-0.021,180.400,0.323
'[11:00:26.348 11/05/1995]',-0.025,0.025,-0.033,180.400,0.323
'[11:00:26.350 11/05/1995]',-0.012,0.025,-0.033,180.400,0.323
'[11:00:26.352 11/05/1995]',-0.012,0.002,-0.021,180.400,0.285
'[11:00:26.354 11/05/1995]',-0.025,0.002,0.001,180.400,0.285
'[11:00:26.356 11/05/1995]',-0.012,0.002,0.001,180.400,0.285
'[11:00:26.358 11/05/1995]',-0.006,0.002,0.001,180.400,0.285
'[11:00:26.360 11/05/1995]',-0.012,0.002,0.001,180.400,0.247
'[11:00:26.362 11/05/1995]',-0.012,0.002,-0.010,180.400,0.247
'[11:00:26.364 11/05/1995]',-0.012,0.025,-0.033,180.400,0.247
'[11:00:26.366 11/05/1995]',-0.012,0.025,-0.033,180.400,0.247
'[11:00:26.368 11/05/1995]',-0.012,0.002,-0.033,180.400,0.209
'[11:00:26.370 11/05/1995]',-0.025,0.002,-0.010,180.400,0.209
'[11:00:26.372 11/05/1995]',-0.006,0.002,0.001,180.400,0.209
'[11:00:26.374 11/05/1995]',-0.006,0.002,0.012,180.400,0.209
'[11:00:26.376 11/05/1995]',-0.006,0.002,0.001,180.400,0.171
'[11:00:26.378 11/05/1995]',-0.006,0.002,0.001,180.400,0.171
'[11:00:26.380 11/05/1995]',-0.012,0.002,-0.021,180.400,0.171
'[11:00:26.382 11/05/1995]',-0.012,0.025,-0.033,180.400,0.171
'[11:00:26.384 11/05/1995]',-0.012,0.002,-0.033,180.400,0.133
'[11:00:26.386 11/05/1995]',-0.012,0.002,-0.010,180.400,0.133
'[11:00:26.388 11/05/1995]',-0.012,0.002,0.001,180.400,0.133
'[11:00:26.390 11/05/1995]',-0.012,0.002,0.012,180.400,0.133
'[11:00:26.392 11/05/1995]',-0.012,0.002,0.001,180.400,0.096
'[11:00:26.394 11/05/1995]',-0.012,0.002,0.001,180.400,0.096
'[11:00:26.396 11/05/1995]',-0.012,0.002,-0.021,180.400,0.096
'[11:00:26.398 11/05/1995]',-0.012,0.002,-0.033,180.400,0.096
'[11:00:26.400 11/05/1995]',-0.025,0.002,-0.033,180.400,0.061
'[11:00:26.402 11/05/1995]',-0.012,0.002,-0.021,180.400,0.061
'[11:00:26.404 11/05/1995]',-0.012,0.002,0.001,180.400,0.061
'[11:00:26.406 11/05/1995]',-0.012,0.002,0.012,180.400,0.061
'[11:00:26.408 11/05/1995]',-0.012,0.002,0.012,180.400,0.029
'[11:00:26.410 11/05/1995]',-0.012,0.002,0.001,180.400,0.029
'[11:00:26.412 11/05/1995]',-0.012,0.002,-0.010,180.400,0.029
'[11:00:26.414 11/05/1995]',-0.012,0.002,-0.033,180.400,0.029
'[11:00:26.416 11/05/1995]',-0.012,0.002,-0.033,180.400,-0.003
'[11:00:26.418 11/05/1995]',-0.025,0.002,-0.021,180.400,-0.003
'[11:00:26.420 11/05/1995]',-0.012,0.002,0.001,180.400,-0.003
'[11:00:26.422 11/05/1995]',-0.012,0.002,0.012,180.400,-0.003
'[11:00:26.424 11/05/1995]',-0.006,0.002,0.023,180.400,-0.033
'[11:00:26.426 11/05/1995]',-0.012,0.002,0.001,180.400,-0.033
'[11:00:26.428 11/05/1995]',-0.012,0.002,0.001,180.400,-0.033
'[11:00:26.430 11/05/1995]',-0.012,0.002,-0.033,180.400,-0.033
'[11:00:26.432 11/05/1995]',-0.012,0.002,-0.033,180.400,-0.059
'[11:00:26.434 11/05/1995]',-0.012,0.002,-0.033,180.400,-0.059
'[11:00:26.436 11/05/1995]',-0.012,0.002,-0.010,180.400,-0.059
'[11:00:26.438 11/05/1995]',-0.012,0.002,0.001,180.400,-0.059
'[11:00:26.440 11/05/1995]',-0.006,0.002,0.012,180.400,-0.085
'[11:00:26.442 11/05/1995]',-0.006,0.002,0.012,180.400,-0.085
'[11:00:26.444 11/05/1995]',-0.012,0.002,0.001,180.400,-0.085
'[11:00:26.446 11/05/1995]',-0.012,0.002,-0.021,180.400,-0.085
'[11:00:26.448 11/05/1995]',-0.012,0.002,-0.033,180.400,-0.108
'[11:00:26.450 11/05/1995]',-0.025,0.002,-0.033,180.400,-0.108
'[11:00:26.452 11/05/1995]',-0.012,0.002,-0.021,180.400,-0.108
'[11:00:26.454 11/05/1995]',-0.012,0.002,0.001,180.400,-0.108
'[11:00:26.456 11/05/1995]',-0.012,0.002,0.023,180.400,-0.133
'[11:00:26.458 11/05/1995]',-0.006,0.002,0.012,180.400,-0.133
'[11:00:26.460 11/05/1995]',-0.012,0.002,0.001,180.400,-0.133
'[11:00:26.462 11/05/1995]',-0.012,0.002,-0.010,180.400,-0.133
'[11:00:26.464 11/05/1995]',-0.012,0.002,-0.033,180.400,-0.155
'[11:00:26.466 11/05/1995]',-0.006,0.002,-0.033,180.400,-0.155
'[11:00:26.468 11/05/1995]',-0.012,0.002,-0.021,180.400,-0.155
'[11:00:26.470 11/05/1995]',-0.006,0.002,0.001,180.400,-0.155
'[11:00:26.472 11/05/1995]',0.001,0.002,0.012,180.400,-0.175
'[11:00:26.474 11/05/1995]',0.001,0.002,0.012,180.400,-0.175
'[11:00:26.476 11/05/1995]',-0.006,0.002,0.001,180.400,-0.175
'[11:00:26.478 11/05/1995]',-0.006,0.002,0.001,180.400,-0.175
'[11:00:26.480 11/05/1995]',-0.006,0.002,-0.033,180.400,-0.196
'[11:00:26.482 11/05/1995]',-0.012,0.002,-0.033,180.400,-0.196
'[11:00:26.484 11/05/1995]',-0.006,0.002,-0.033,180.400,-0.196
'[11:00:26.486 11/05/1995]',-0.006,0.002,-0.010,180.400,-0.196
'[11:00:26.488 11/05/1995]',-0.006,0.002,0.001,180.400,-0.215
'[11:00:26.490 11/05/1995]',0.001,0.002,0.012,180.400,-0.215
'[11:00:26.492 11/05/1995]',-0.006,0.002,0.012,180.400,-0.215
'[11:00:26.494 11/05/1995]',-0.006,0.002,0.001,180.400,-0.215
'[11:00:26.496 11/05/1995]',-0.006,0.002,-0.021,180.400,-0.235
'[11:00:26.498 11/05/1995]',-0.006,0.002,-0.033,180.400,-0.235
'[11:00:26.500 11/05/1995]',-0.006,0.002,-0.033,180.400,-0.235
'[11:00:26.502 11/05/1995]',-0.012,0.002,-0.010,180.400,-0.235
'[11:00:26.504 11/05/1995]',0.001,0.002,0.001,180.400,-0.254
'[11:00:26.506 11/05/1995]',-0.006,0.002,0.012,180.400,-0.254
'[11:00:26.508 11/05/1995]',0.001,0.002,0.023,180.400,-0.254
'[11:00:26.510 11/05/1995]',0.001,0.002,0.001,180.400,-0.254
'[11:00:26.512 11/05/1995]',-0.006,0.002,0.001,180.400,-0.272
'[11:00:26.514 11/05/1995]',-0.006,0.002,-0.021,180.400,-0.272
'[11:00:26.516 11/05/1995]',-0.006,0.002,-0.033,180.400,-0.272
'[11:00:26.518 11/05/1995]',-0.006,0.025,-0.010,180.400,-0.272
'[11:00:26.520 11/05/1995]',-0.006,0.002,0.001,180.400,-0.289
'[11:00:26.522 11/05/1995]',-0.006,0.002,0.023,180.400,-0.289
'[11:00:26.524 11/05/1995]',-0.006,0.002,0.023,180.400,-0.289
'[11:00:26.526 11/05/1995]',-0.006,0.025,0.012,180.400,-0.289
'[11:00:26.528 11/05/1995]',-0.012,0.025,0.001,180.400,-0.307
'[11:00:26.530 11/05/1995]',-0.025,0.074,-0.033,180.400,-0.307
'[11:00:26.532 11/05/1995]',-0.025,0.074,-0.044,180.400,-0.307
'[11:00:26.534 11/05/1995]',-0.025,0.074,-0.033,180.400,-0.307
'[11:00:26.536 11/05/1995]',-0.012,0.050,0.001,180.400,-0.323
'[11:00:26.538 11/05/1995]',0.001,0.025,0.001,180.400,-0.323
'[11:00:26.540 11/05/1995]',0.001,0.025,0.023,180.400,-0.323
'[11:00:26.542 11/05/1995]',0.001,0.002,0.034,180.400,-0.323
'[11:00:26.544 11/05/1995]',0.001,0.025,0.012,180.400,-0.338
'[11:00:26.546 11/05/1995]',-0.006,0.025,0.001,180.400,-0.338
'[11:00:26.548 11/05/1995]',-0.012,0.025,-0.021,180.400,-0.338
'[11:00:26.550 11/05/1995]',-0.025,0.025,-0.021,180.400,-0.338
'[11:00:26.552 11/05/1995]',-0.031,0.025,-0.021,180.400,-0.353
'[11:00:26.554 11/05/1995]',-0.031,0.025,0.001,180.400,-0.353
'[11:00:26.556 11/05/1995]',-0.037,0.002,0.001,180.400,-0.353
'[11:00:26.558 11/05/1995]',-0.037,0.002,0.001,180.400,-0.353
'[11:00:26.560 11/05/1995]',-0.050,0.002,-0.010,180.400,-0.367
'[11:00:26.562 11/05/1995]',-0.050,0.025,-0.033,180.400,-0.367
'[11:00:26.564 11/05/1995]',-0.050,0.025,-0.055,180.400,-0.367
'[11:00:26.566 11/05/1995]',-0.050,0.025,-0.066,180.400,-0.367
'[11:00:26.568 11/05/1995]',-0.050,0.025,-0.044,180.400,-0.382
'[11:00:26.570 11/05/1995]',-0.037,0.002,-0.033,180.400,-0.382
'[11:00:26.572 11/05/1995]',-0.037,0.002,-0.010,180.400,-0.382
'[11:00:26.574 11/05/1995]',-0.037,0.002,0.001,180.400,-0.382
'[11:00:26.576 11/05/1995]',-0.037,0.002,-0.010,180.400,-0.395
'[11:00:26.578 11/05/1995]',-0.050,0.025,-0.033,180.400,-0.395
'[11:00:26.580 11/05/1995]',-0.050,0.025,-0.055,180.400,-0.395
'[11:00:26.582 11/05/1995]',-0.050,0.025,-0.055,180.400,-0.395
'[11:00:26.584 11/05/1995]',-0.037,0.025,-0.055,180.400,-0.409
'[11:00:26.586 11/05/1995]',-0.031,0.025,-0.033,180.400,-0.409
'[11:00:26.588 11/05/1995]',-0.025,0.025,-0.010,180.400,-0.409
'[11:00:26.590 11/05/1995]',-0.025,0.002,0.001,180.400,-0.409
'[11:00:26.592 11/05/1995]',-0.012,0.025,0.001,180.400,-0.423
'[11:00:26.594 11/05/1995]',-0.012,0.025,-0.010,180.400,-0.423
'[11:00:26.596 11/05/1995]',-0.006,0.025,-0.033,180.400,-0.423
'[11:00:26.598 11/05/1995]',-0.006,0.025,-0.033,180.400,-0.423
'[11:00:26.600 11/05/1995]',0.001,0.002,-0.033,180.400,-0.436
'[11:00:26.602 11/05/1995]',0.001,0.002,-0.010,180.400,-0.436
'[11:00:26.604 11/05/1995]',0.007,0.002,0.001,180.400,-0.436
'[11:00:26.606 11/05/1995]',0.007,-0.022,0.023,180.400,-0.436
'[11:00:26.608 11/05/1995]',0.007,-0.022,0.023,180.400,-0.450
'[11:00:26.610 11/05/1995]',0.007,-0.022,0.012,180.400,-0.450
'[11:00:26.612 11/05/1995]',0.007,0.002,0.001,180.400,-0.450
'[11:00:26.614 11/05/1995]',0.007,0.002,-0.021,180.400,-0.450
'[11:00:26.616 11/05/1995]',0.007,0.002,-0.021,180.400,-0.464
'[11:00:26.618 11/05/1995]',0.007,0.002,-0.010,180.400,-0.464
'[11:00:26.620 11/05/1995]',0.007,-0.022,0.001,180.400,-0.464
'[11:00:26.622 11/05/1995]',0.007,-0.022,0.023,180.400,-0.464
'[11:00:26.624 11/05/1995]',0.007,-0.022,0.034,180.400,-0.478
'[11:00:26.626 11/05/1995]',0.007,-0.022,0.012,180.400,-0.478
'[11:00:26.628 11/05/1995]',0.001,-0.022,0.001,180.400,-0.478
'[11:00:26.630 11/05/1995]',0.001,0.002,-0.021,180.400,-0.478
'[11:00:26.632 11/05/1995]',0.001,0.002,-0.021,180.400,-0.492
'[11:00:26.634 11/05/1995]',0.001,0.002,-0.021,180.400,-0.492
'[11:00:26.636 11/05/1995]',0.001,-0.022,0.001,180.400,-0.492
'[11:00:26.638 11/05/1995]',0.007,-0.022,0.012,180.400,-0.492
'[11:00:26.640 11/05/1995]',0.013,-0.022,0.023,180.400,-0.507
'[11:00:26.642 11/05/1995]',0.007,-0.022,0.023,180.400,-0.507
'[11:00:26.644 11/05/1995]',0.007,-0.022,0.001,180.400,-0.507
'[11:00:26.646 11/05/1995]',0.007,0.002,-0.010,180.400,-0.507
'[11:00:26.648 11/05/1995]',0.001,0.002,-0.021,180.400,-0.521
'[11:00:26.650 11/05/1995]',0.001,0.002,-0.033,180.400,-0.521
'[11:00:26.652 11/05/1995]',0.001,0.002,-0.010,180.400,-0.521
'[11:00:26.654 11/05/1995]',0.001,-0.022,0.001,180.400,-0.521
'[11:00:26.656 11/05/1995]',0.007,-0.022,0.023,180.400,-0.534
'[11:00:26.658 11/05/1995]',0.007,-0.022,0.023,180.400,-0.534
'[11:00:26.660 11/05/1995]',0.001,-0.022,0.001,180.400,-0.534
'[11:00:26.662 11/05/1995]',0.001,0.002,0.001,180.400,-0.534
'[11:00:26.664 11/05/1995]',0.001,0.002,-0.021,180.400,-0.546
'[11:00:26.666 11/05/1995]',-0.006,0.002,-0.021,180.400,-0.546
'[11:00:26.668 11/05/1995]',0.007,0.002,0.001,180.400,-0.546
'[11:00:26.670 11/05/1995]',0.013,0.002,0.012,180.400,-0.546
'[11:00:26.672 11/05/1995]',0.032,-0.022,0.045,180.400,-0.557
'[11:00:26.674 11/05/1995]',0.057,-0.022,0.068,180.400,-0.557
'[11:00:26.676 11/05/1995]',0.082,0.002,0.090,180.400,-0.557
'[11:00:26.678 11/05/1995]',0.119,0.002,0.102,180.400,-0.557
'[11:00:26.680 11/05/1995]',0.151,0.002,0.113,180.400,-0.567
'[11:00:26.682 11/05/1995]',0.188,0.002,0.146,180.400,-0.567
'[11:00:26.684 11/05/1995]',0.220,0.002,0.168,180.400,-0.567
'[11:00:26.686 11/05/1995]',0.239,0.025,0.202,180.400,-0.567
'[11:00:26.688 11/05/1995]',0.257,0.025,0.224,180.400,-0.576
'[11:00:26.690 11/05/1995]',0.245,0.074,0.224,180.400,-0.576
'[11:00:26.692 11/05/1995]',0.245,0.147,0.202,180.400,-0.576
'[11:00:26.694 11/05/1995]',0.239,0.196,0.168,180.400,-0.576
