'Time and date','aVR','II','V','ABP','PLETH','RESP'
'[09:10:08.122 26/12/1995]',-0.010,-0.015,-0.061,49.783,-,-0.403
'[09:10:08.124 26/12/1995]',-0.011,-0.015,-0.054,49.783,-,-0.403
'[09:10:08.126 26/12/1995]',-0.011,-0.007,-0.061,49.783,-,-0.403
'[09:10:08.128 26/12/1995]',-0.012,-0.007,-0.061,49.532,-,-0.456
'[09:10:08.130 26/12/1995]',-0.012,-0.007,-0.061,49.532,-,-0.456
'[09:10:08.132 26/12/1995]',-0.011,0.001,-0.061,49.532,-,-0.456
'[09:10:08.134 26/12/1995]',-0.010,0.008,-0.068,49.532,-,-0.456
'[09:10:08.136 26/12/1995]',-0.005,0.016,-0.074,49.382,-,-0.505
'[09:10:08.138 26/12/1995]',-0.001,0.023,-0.088,49.382,-,-0.505
'[09:10:08.140 26/12/1995]',0.008,0.016,-0.088,49.382,-,-0.505
'[09:10:08.142 26/12/1995]',0.016,0.001,-0.088,49.382,-,-0.505
'[09:10:08.144 26/12/1995]',0.028,-0.015,-0.088,49.132,-,-0.553
'[09:10:08.146 26/12/1995]',0.041,-0.022,-0.074,49.132,-,-0.553
'[09:10:08.148 26/12/1995]',0.054,-0.053,-0.068,49.132,-,-0.553
'[09:10:08.150 26/12/1995]',0.067,-0.075,-0.068,49.132,-,-0.553
'[09:10:08.152 26/12/1995]',0.080,-0.091,-0.061,48.881,-,-0.600
'[09:10:08.154 26/12/1995]',0.092,-0.106,-0.054,48.881,-,-0.600
'[09:10:08.156 26/12/1995]',0.105,-0.136,-0.047,48.881,-,-0.600
'[09:10:08.158 26/12/1995]',0.117,-0.151,-0.020,48.881,-,-0.600
'[09:10:08.160 26/12/1995]',0.129,-0.174,-0.013,48.631,-,-0.643
'[09:10:08.162 26/12/1995]',0.141,-0.181,0.001,48.631,-,-0.643
'[09:10:08.164 26/12/1995]',0.153,-0.212,0.007,48.631,-,-0.643
'[09:10:08.166 26/12/1995]',0.165,-0.227,0.014,48.631,-,-0.643
'[09:10:08.168 26/12/1995]',0.176,-0.242,0.028,48.381,-,-0.682
'[09:10:08.170 26/12/1995]',0.187,-0.280,0.048,48.381,-,-0.682
'[09:10:08.172 26/12/1995]',0.196,-0.303,0.062,48.381,-,-0.682
'[09:10:08.174 26/12/1995]',0.204,-0.340,0.075,48.381,-,-0.682
'[09:10:08.176 26/12/1995]',0.208,-0.371,0.102,48.130,-,-0.719
'[09:10:08.178 26/12/1995]',0.212,-0.386,0.109,48.130,-,-0.719
'[09:10:08.180 26/12/1995]',0.210,-0.409,0.109,48.130,-,-0.719
'[09:10:08.182 26/12/1995]',0.208,-0.416,0.116,48.130,-,-0.719
'[09:10:08.184 26/12/1995]',0.200,-0.416,0.129,47.830,-,-0.751
'[09:10:08.186 26/12/1995]',0.192,-0.386,0.116,47.830,-,-0.751
'[09:10:08.188 26/12/1995]',0.182,-0.363,0.109,47.830,-,-0.751
'[09:10:08.190 26/12/1995]',0.171,-0.340,0.096,47.830,-,-0.751
'[09:10:08.192 26/12/1995]',0.160,-0.318,0.089,47.529,-,-0.781
'[09:10:08.194 26/12/1995]',0.150,-0.303,0.075,47.529,-,-0.781
'[09:10:08.196 26/12/1995]',0.140,-0.295,0.075,47.529,-,-0.781
'[09:10:08.198 26/12/1995]',0.131,-0.287,0.068,47.529,-,-0.781
'[09:10:08.200 26/12/1995]',0.122,-0.272,0.062,47.229,-,-0.806
'[09:10:08.202 26/12/1995]',0.113,-0.249,0.055,47.229,-,-0.806
'[09:10:08.204 26/12/1995]',0.104,-0.242,0.048,47.229,-,-0.806
'[09:10:08.206 26/12/1995]',0.095,-0.227,0.034,47.229,-,-0.806
'[09:10:08.208 26/12/1995]',0.084,-0.219,0.028,46.928,-,-0.829
'[09:10:08.210 26/12/1995]',0.073,-0.219,0.021,46.928,-,-0.829
'[09:10:08.212 26/12/1995]',0.062,-0.212,0.014,46.928,-,-0.829
'[09:10:08.214 26/12/1995]',0.051,-0.189,0.014,46.928,-,-0.829
'[09:10:08.216 26/12/1995]',0.040,-0.159,0.001,46.678,-,-0.848
'[09:10:08.218 26/12/1995]',0.030,-0.121,-0.013,46.678,-,-0.848
'[09:10:08.220 26/12/1995]',0.021,-0.091,-0.020,46.678,-,-0.848
'[09:10:08.222 26/12/1995]',0.012,-0.075,-0.033,46.678,-,-0.848
'[09:10:08.224 26/12/1995]',0.006,-0.045,-0.033,46.327,-,-0.863
'[09:10:08.226 26/12/1995]',0.000,-0.037,-0.047,46.327,-,-0.863
'[09:10:08.228 26/12/1995]',-0.005,-0.015,-0.047,46.327,-,-0.863
'[09:10:08.230 26/12/1995]',-0.009,-0.007,-0.047,46.327,-,-0.863
'[09:10:08.232 26/12/1995]',-0.013,0.001,-0.054,45.876,-,-0.875
'[09:10:08.234 26/12/1995]',-0.017,-0.007,-0.054,45.876,-,-0.875
'[09:10:08.236 26/12/1995]',-0.020,-0.015,-0.054,45.876,-,-0.875
'[09:10:08.238 26/12/1995]',-0.023,-0.007,-0.054,45.876,-,-0.875
'[09:10:08.240 26/12/1995]',-0.026,0.008,-0.061,45.476,-,-0.884
'[09:10:08.242 26/12/1995]',-0.028,0.023,-0.061,45.476,-,-0.884
'[09:10:08.244 26/12/1995]',-0.030,0.031,-0.068,45.476,-,-0.884
'[09:10:08.246 26/12/1995]',-0.031,0.031,-0.068,45.476,-,-0.884
'[09:10:08.248 26/12/1995]',-0.033,0.023,-0.061,45.075,-,-0.890
'[09:10:08.250 26/12/1995]',-0.035,0.016,-0.061,45.075,-,-0.890
'[09:10:08.252 26/12/1995]',-0.036,0.023,-0.061,45.075,-,-0.890
'[09:10:08.254 26/12/1995]',-0.038,0.038,-0.068,45.075,-,-0.890
'[09:10:08.256 26/12/1995]',-0.041,0.046,-0.068,44.674,-,-0.894
'[09:10:08.258 26/12/1995]',-0.043,0.046,-0.068,44.674,-,-0.894
'[09:10:08.260 26/12/1995]',-0.045,0.054,-0.068,44.674,-,-0.894
'[09:10:08.262 26/12/1995]',-0.047,0.054,-0.068,44.674,-,-0.894
'[09:10:08.264 26/12/1995]',-0.048,0.069,-0.068,44.374,-,-0.894
'[09:10:08.266 26/12/1995]',-0.049,0.069,-0.068,44.374,-,-0.894
'[09:10:08.268 26/12/1995]',-0.048,0.069,-0.068,44.374,-,-0.894
'[09:10:08.270 26/12/1995]',-0.048,0.054,-0.068,44.374,-,-0.894
'[09:10:08.272 26/12/1995]',-0.046,0.046,-0.068,44.123,-,-0.892
'[09:10:08.274 26/12/1995]',-0.045,0.038,-0.068,44.123,-,-0.892
'[09:10:08.276 26/12/1995]',-0.045,0.038,-0.068,44.123,-,-0.892
'[09:10:08.278 26/12/1995]',-0.044,0.046,-0.068,44.123,-,-0.892
'[09:10:08.280 26/12/1995]',-0.043,0.046,-0.061,43.973,-,-0.888
'[09:10:08.282 26/12/1995]',-0.043,0.054,-0.068,43.973,-,-0.888
'[09:10:08.284 26/12/1995]',-0.043,0.054,-0.068,43.973,-,-0.888
'[09:10:08.286 26/12/1995]',-0.043,0.046,-0.061,43.973,-,-0.888
'[09:10:08.288 26/12/1995]',-0.043,0.054,-0.061,43.773,-,-0.881
'[09:10:08.290 26/12/1995]',-0.042,0.054,-0.061,43.773,-,-0.881
'[09:10:08.292 26/12/1995]',-0.042,0.054,-0.061,43.773,-,-0.881
'[09:10:08.294 26/12/1995]',-0.041,0.054,-0.061,43.773,-,-0.881
'[09:10:08.296 26/12/1995]',-0.041,0.054,-0.061,43.723,-,-0.872
'[09:10:08.298 26/12/1995]',-0.042,0.054,-0.061,43.723,-,-0.872
'[09:10:08.300 26/12/1995]',-0.042,0.054,-0.054,43.723,-,-0.872
'[09:10:08.302 26/12/1995]',-0.042,0.054,-0.061,43.723,-,-0.872
'[09:10:08.304 26/12/1995]',-0.042,0.069,-0.061,44.023,-,-0.860
'[09:10:08.306 26/12/1995]',-0.042,0.054,-0.054,44.023,-,-0.860
'[09:10:08.308 26/12/1995]',-0.043,0.054,-0.054,44.023,-,-0.860
'[09:10:08.310 26/12/1995]',-0.043,0.069,-0.054,44.023,-,-0.860
'[09:10:08.312 26/12/1995]',-0.043,0.069,-0.054,44.875,-,-0.845
'[09:10:08.314 26/12/1995]',-0.044,0.054,-0.054,44.875,-,-0.845
'[09:10:08.316 26/12/1995]',-0.044,0.069,-0.054,44.875,-,-0.845
'[09:10:08.318 26/12/1995]',-0.044,0.054,-0.061,44.875,-,-0.845
'[09:10:08.320 26/12/1995]',-0.044,0.069,-0.054,46.728,-,-0.828
'[09:10:08.322 26/12/1995]',-0.044,0.069,-0.061,46.728,-,-0.828
'[09:10:08.324 26/12/1995]',-0.045,0.076,-0.054,46.728,-,-0.828
'[09:10:08.326 26/12/1995]',-0.045,0.076,-0.054,46.728,-,-0.828
'[09:10:08.328 26/12/1995]',-0.045,0.076,-0.047,49.733,-,-0.806
'[09:10:08.330 26/12/1995]',-0.044,0.069,-0.047,49.733,-,-0.806
'[09:10:08.332 26/12/1995]',-0.044,0.069,-0.047,49.733,-,-0.806
'[09:10:08.334 26/12/1995]',-0.044,0.069,-0.047,49.733,-,-0.806
'[09:10:08.336 26/12/1995]',-0.044,0.069,-0.054,53.739,-,-0.780
'[09:10:08.338 26/12/1995]',-0.044,0.069,-0.054,53.739,-,-0.780
'[09:10:08.340 26/12/1995]',-0.044,0.076,-0.054,53.739,-,-0.780
'[09:10:08.342 26/12/1995]',-0.045,0.069,-0.054,53.739,-,-0.780
'[09:10:08.344 26/12/1995]',-0.046,0.084,-0.054,58.598,-,-0.751
'[09:10:08.346 26/12/1995]',-0.048,0.076,-0.054,58.598,-,-0.751
'[09:10:08.348 26/12/1995]',-0.048,0.069,-0.054,58.598,-,-0.751
'[09:10:08.350 26/12/1995]',-0.049,0.069,-0.061,58.598,-,-0.751
'[09:10:08.352 26/12/1995]',-0.048,0.076,-0.054,63.756,-,-0.719
'[09:10:08.354 26/12/1995]',-0.047,0.076,-0.054,63.756,-,-0.719
'[09:10:08.356 26/12/1995]',-0.045,0.076,-0.054,63.756,-,-0.719
'[09:10:08.358 26/12/1995]',-0.043,0.076,-0.054,63.756,-,-0.719
'[09:10:08.360 26/12/1995]',-0.040,0.076,-0.054,68.965,-,-0.681
'[09:10:08.362 26/12/1995]',-0.037,0.069,-0.054,68.965,-,-0.681
'[09:10:08.364 26/12/1995]',-0.034,0.069,-0.054,68.965,-,-0.681
'[09:10:08.366 26/12/1995]',-0.031,0.054,-0.047,68.965,-,-0.681
'[09:10:08.368 26/12/1995]',-0.029,0.054,-0.047,74.123,-,-0.639
'[09:10:08.370 26/12/1995]',-0.028,0.054,-0.054,74.123,-,-0.639
'[09:10:08.372 26/12/1995]',-0.027,0.046,-0.047,74.123,-,-0.639
'[09:10:08.374 26/12/1995]',-0.026,0.046,-0.047,74.123,-,-0.639
'[09:10:08.376 26/12/1995]',-0.026,0.046,-0.047,78.982,-,-0.593
'[09:10:08.378 26/12/1995]',-0.026,0.038,-0.054,78.982,-,-0.593
'[09:10:08.380 26/12/1995]',-0.026,0.046,-0.054,78.982,-,-0.593
'[09:10:08.382 26/12/1995]',-0.025,0.038,-0.047,78.982,-,-0.593
'[09:10:08.384 26/12/1995]',-0.023,0.038,-0.047,83.389,-,-0.546
'[09:10:08.386 26/12/1995]',-0.022,0.038,-0.047,83.389,-,-0.546
'[09:10:08.388 26/12/1995]',-0.021,0.038,-0.047,83.389,-,-0.546
'[09:10:08.390 26/12/1995]',-0.020,0.031,-0.047,83.389,-,-0.546
'[09:10:08.392 26/12/1995]',-0.019,0.031,-0.047,87.295,-,-0.500
'[09:10:08.394 26/12/1995]',-0.019,0.023,-0.047,87.295,-,-0.500
'[09:10:08.396 26/12/1995]',-0.019,0.023,-0.047,87.295,-,-0.500
'[09:10:08.398 26/12/1995]',-0.018,0.016,-0.047,87.295,-,-0.500
'[09:10:08.400 26/12/1995]',-0.018,0.023,-0.047,90.551,-,-0.455
'[09:10:08.402 26/12/1995]',-0.017,0.023,-0.047,90.551,-,-0.455
'[09:10:08.404 26/12/1995]',-0.016,0.023,-0.047,90.551,-,-0.455
'[09:10:08.406 26/12/1995]',-0.015,0.016,-0.054,90.551,-,-0.455
'[09:10:08.408 26/12/1995]',-0.013,0.016,-0.054,93.205,-,-0.410
'[09:10:08.410 26/12/1995]',-0.011,0.016,-0.047,93.205,-,-0.410
'[09:10:08.412 26/12/1995]',-0.008,0.016,-0.047,93.205,-,-0.410
'[09:10:08.414 26/12/1995]',-0.005,0.023,-0.033,93.205,-,-0.410
'[09:10:08.416 26/12/1995]',-0.003,0.008,-0.033,95.209,-,-0.367
'[09:10:08.418 26/12/1995]',-0.001,0.001,-0.027,95.209,-,-0.367
'[09:10:08.420 26/12/1995]',0.001,-0.007,-0.033,95.209,-,-0.367
'[09:10:08.422 26/12/1995]',0.003,-0.007,-0.033,95.209,-,-0.367
'[09:10:08.424 26/12/1995]',0.004,-0.007,-0.033,96.411,-,-0.326
'[09:10:08.426 26/12/1995]',0.005,-0.007,-0.047,96.411,-,-0.326
'[09:10:08.428 26/12/1995]',0.006,-0.007,-0.047,96.411,-,-0.326
'[09:10:08.430 26/12/1995]',0.008,-0.007,-0.033,96.411,-,-0.326
'[09:10:08.432 26/12/1995]',0.009,-0.007,-0.033,97.112,-,-0.287
'[09:10:08.434 26/12/1995]',0.010,-0.007,-0.033,97.112,-,-0.287
'[09:10:08.436 26/12/1995]',0.011,-0.015,-0.033,97.112,-,-0.287
'[09:10:08.438 26/12/1995]',0.012,-0.015,-0.047,97.112,-,-0.287
'[09:10:08.440 26/12/1995]',0.012,-0.030,-0.033,97.312,-,-0.251
'[09:10:08.442 26/12/1995]',0.012,-0.037,-0.027,97.312,-,-0.251
'[09:10:08.444 26/12/1995]',0.013,-0.045,-0.027,97.312,-,-0.251
'[09:10:08.446 26/12/1995]',0.013,-0.037,-0.033,97.312,-,-0.251
'[09:10:08.448 26/12/1995]',0.013,-0.022,-0.033,97.112,-,-0.215
'[09:10:08.450 26/12/1995]',0.013,-0.022,-0.033,97.112,-,-0.215
'[09:10:08.452 26/12/1995]',0.013,-0.022,-0.033,97.112,-,-0.215
'[09:10:08.454 26/12/1995]',0.014,-0.015,-0.033,97.112,-,-0.215
'[09:10:08.456 26/12/1995]',0.014,-0.022,-0.027,96.711,-,-0.181
'[09:10:08.458 26/12/1995]',0.015,-0.022,-0.033,96.711,-,-0.181
'[09:10:08.460 26/12/1995]',0.015,-0.022,-0.033,96.711,-,-0.181
'[09:10:08.462 26/12/1995]',0.015,-0.022,-0.033,96.711,-,-0.181
'[09:10:08.464 26/12/1995]',0.016,-0.030,-0.033,96.060,-,-0.148
'[09:10:08.466 26/12/1995]',0.017,-0.022,-0.027,96.060,-,-0.148
'[09:10:08.468 26/12/1995]',0.018,-0.030,-0.033,96.060,-,-0.148
'[09:10:08.470 26/12/1995]',0.018,-0.030,-0.027,96.060,-,-0.148
'[09:10:08.472 26/12/1995]',0.019,-0.030,-0.027,95.158,-,-0.117
'[09:10:08.474 26/12/1995]',0.019,-0.037,-0.027,95.158,-,-0.117
'[09:10:08.476 26/12/1995]',0.019,-0.030,-0.027,95.158,-,-0.117
'[09:10:08.478 26/12/1995]',0.018,-0.045,-0.027,95.158,-,-0.117
'[09:10:08.480 26/12/1995]',0.018,-0.037,-0.020,93.956,-,-0.086
'[09:10:08.482 26/12/1995]',0.018,-0.037,-0.027,93.956,-,-0.086
'[09:10:08.484 26/12/1995]',0.019,-0.037,-0.020,93.956,-,-0.086
'[09:10:08.486 26/12/1995]',0.019,-0.037,-0.027,93.956,-,-0.086
'[09:10:08.488 26/12/1995]',0.021,-0.037,-0.020,92.454,-,-0.057
'[09:10:08.490 26/12/1995]',0.022,-0.037,-0.020,92.454,-,-0.057
'[09:10:08.492 26/12/1995]',0.024,-0.030,-0.020,92.454,-,-0.057
'[09:10:08.494 26/12/1995]',0.026,-0.037,-0.020,92.454,-,-0.057
'[09:10:08.496 26/12/1995]',0.027,-0.037,-0.020,90.601,-,-0.029
'[09:10:08.498 26/12/1995]',0.028,-0.037,-0.020,90.601,-,-0.029
'[09:10:08.500 26/12/1995]',0.027,-0.045,-0.020,90.601,-,-0.029
'[09:10:08.502 26/12/1995]',0.027,-0.053,-0.020,90.601,-,-0.029
'[09:10:08.504 26/12/1995]',0.025,-0.045,-0.020,88.648,-,-0.003
'[09:10:08.506 26/12/1995]',0.023,-0.037,-0.027,88.648,-,-0.003
'[09:10:08.508 26/12/1995]',0.020,-0.030,-0.020,88.648,-,-0.003
'[09:10:08.510 26/12/1995]',0.017,-0.037,-0.027,88.648,-,-0.003
'[09:10:08.512 26/12/1995]',0.015,-0.030,-0.027,86.344,-0.973,0.021
'[09:10:08.514 26/12/1995]',0.013,-0.030,-0.027,86.344,-0.973,0.021
'[09:10:08.516 26/12/1995]',0.012,-0.022,-0.027,86.344,-0.973,0.021
'[09:10:08.518 26/12/1995]',0.011,-0.022,-0.027,86.344,-0.973,0.021
'[09:10:08.520 26/12/1995]',0.012,-0.015,-0.027,83.890,-0.893,0.039
'[09:10:08.522 26/12/1995]',0.012,-0.022,-0.027,83.890,-0.893,0.039
'[09:10:08.524 26/12/1995]',0.012,-0.022,-0.020,83.890,-0.893,0.039
'[09:10:08.526 26/12/1995]',0.011,-0.022,-0.027,83.890,-0.893,0.039
'[09:10:08.528 26/12/1995]',0.010,-0.022,-0.027,81.235,-0.821,0.053
'[09:10:08.530 26/12/1995]',0.009,-0.015,-0.027,81.235,-0.821,0.053
'[09:10:08.532 26/12/1995]',0.007,-0.015,-0.027,81.235,-0.821,0.053
'[09:10:08.534 26/12/1995]',0.005,-0.022,-0.027,81.235,-0.821,0.053
'[09:10:08.536 26/12/1995]',0.004,-0.015,-0.027,78.531,-0.751,0.063
'[09:10:08.538 26/12/1995]',0.003,-0.015,-0.027,78.531,-0.751,0.063
'[09:10:08.540 26/12/1995]',0.002,-0.007,-0.027,78.531,-0.751,0.063
'[09:10:08.542 26/12/1995]',0.002,-0.007,-0.027,78.531,-0.751,0.063
'[09:10:08.544 26/12/1995]',0.002,-0.007,-0.033,75.826,-0.689,0.070
'[09:10:08.546 26/12/1995]',0.002,0.001,-0.033,75.826,-0.689,0.070
'[09:10:08.548 26/12/1995]',0.001,0.008,-0.027,75.826,-0.689,0.070
'[09:10:08.550 26/12/1995]',0.001,0.001,-0.033,75.826,-0.689,0.070
'[09:10:08.552 26/12/1995]',0.000,0.001,-0.033,73.322,-0.632,0.074
'[09:10:08.554 26/12/1995]',-0.001,-0.007,-0.033,73.322,-0.632,0.074
'[09:10:08.556 26/12/1995]',-0.002,-0.007,-0.047,73.322,-0.632,0.074
'[09:10:08.558 26/12/1995]',-0.003,-0.007,-0.047,73.322,-0.632,0.074
'[09:10:08.560 26/12/1995]',-0.004,-0.007,-0.047,70.968,-0.580,0.075
'[09:10:08.562 26/12/1995]',-0.005,0.001,-0.033,70.968,-0.580,0.075
'[09:10:08.564 26/12/1995]',-0.006,0.001,-0.047,70.968,-0.580,0.075
'[09:10:08.566 26/12/1995]',-0.007,0.001,-0.047,70.968,-0.580,0.075
'[09:10:08.568 26/12/1995]',-0.007,0.001,-0.047,68.915,-0.530,0.074
'[09:10:08.570 26/12/1995]',-0.007,0.001,-0.047,68.915,-0.530,0.074
'[09:10:08.572 26/12/1995]',-0.005,-0.007,-0.033,68.915,-0.530,0.074
'[09:10:08.574 26/12/1995]',-0.004,0.001,-0.033,68.915,-0.530,0.074
'[09:10:08.576 26/12/1995]',-0.001,-0.007,-0.033,67.012,-0.491,0.071
'[09:10:08.578 26/12/1995]',0.002,-0.007,-0.033,67.012,-0.491,0.071
'[09:10:08.580 26/12/1995]',0.005,-0.007,-0.027,67.012,-0.491,0.071
'[09:10:08.582 26/12/1995]',0.009,-0.015,-0.033,67.012,-0.491,0.071
'[09:10:08.584 26/12/1995]',0.012,-0.015,-0.027,65.459,-0.454,0.064
'[09:10:08.586 26/12/1995]',0.015,-0.022,-0.027,65.459,-0.454,0.064
'[09:10:08.588 26/12/1995]',0.017,-0.022,-0.027,65.459,-0.454,0.064
'[09:10:08.590 26/12/1995]',0.019,-0.030,-0.027,65.459,-0.454,0.064
'[09:10:08.592 26/12/1995]',0.020,-0.030,-0.027,64.057,-0.424,0.053
'[09:10:08.594 26/12/1995]',0.021,-0.037,-0.027,64.057,-0.424,0.053
'[09:10:08.596 26/12/1995]',0.021,-0.045,-0.020,64.057,-0.424,0.053
'[09:10:08.598 26/12/1995]',0.021,-0.053,-0.020,64.057,-0.424,0.053
'[09:10:08.600 26/12/1995]',0.020,-0.037,-0.020,62.905,-0.398,0.041
'[09:10:08.602 26/12/1995]',0.019,-0.030,-0.033,62.905,-0.398,0.041
'[09:10:08.604 26/12/1995]',0.019,-0.030,-0.027,62.905,-0.398,0.041
'[09:10:08.606 26/12/1995]',0.018,-0.037,-0.027,62.905,-0.398,0.041
'[09:10:08.608 26/12/1995]',0.019,-0.030,-0.027,61.903,-0.371,0.026
'[09:10:08.610 26/12/1995]',0.019,-0.030,-0.027,61.903,-0.371,0.026
'[09:10:08.612 26/12/1995]',0.020,-0.030,-0.027,61.903,-0.371,0.026
'[09:10:08.614 26/12/1995]',0.021,-0.030,-0.027,61.903,-0.371,0.026
'[09:10:08.616 26/12/1995]',0.022,-0.022,-0.020,61.102,-0.350,0.011
'[09:10:08.618 26/12/1995]',0.022,-0.022,-0.020,61.102,-0.350,0.011
'[09:10:08.620 26/12/1995]',0.021,-0.022,-0.027,61.102,-0.350,0.011
'[09:10:08.622 26/12/1995]',0.021,-0.030,-0.020,61.102,-0.350,0.011
'[09:10:08.624 26/12/1995]',0.019,-0.030,-0.020,60.451,-0.331,-0.005
'[09:10:08.626 26/12/1995]',0.017,-0.030,-0.020,60.451,-0.331,-0.005
'[09:10:08.628 26/12/1995]',0.016,-0.030,-0.020,60.451,-0.331,-0.005
'[09:10:08.630 26/12/1995]',0.016,-0.030,-0.020,60.451,-0.331,-0.005
'[09:10:08.632 26/12/1995]',0.016,-0.022,-0.020,59.900,-0.311,-0.022
'[09:10:08.634 26/12/1995]',0.016,-0.030,-0.027,59.900,-0.311,-0.022
'[09:10:08.636 26/12/1995]',0.015,-0.030,-0.027,59.900,-0.311,-0.022
'[09:10:08.638 26/12/1995]',0.015,-0.015,-0.020,59.900,-0.311,-0.022
